domain,error_type,bad_rows_count,bad_rows_pct_of_total,bad_rows_pct_of_bad,total_bad_rows_domain,total_rows_domain,bad_rows_pct_domain
employment,too_many_fields,660,2.3782069760737965,81.3810110974106,811,27752,2.922311905448256
employment,odd_number_of_symbols,63,0.2270106658979533,7.768187422934648,811,27752,2.922311905448256
employment,row_structure_error,88,0.3170942634765062,10.850801479654747,811,27752,2.922311905448256
lending,too_many_fields,5628,19.758460890324393,86.78488820354666,6485,28484,22.76716753264991
lending,empty_line,857,3.008706642325516,13.215111796453355,6485,28484,22.76716753264991
hatecrime,too_many_fields,1780,6.357369906068073,37.93691389599318,4692,27999,16.757741347905284
hatecrime,odd_number_of_symbols,246,0.8786028072431158,5.242966751918159,4692,27999,16.757741347905284
hatecrime,row_structure_error,2386,8.521732919032821,50.852514919011085,4692,27999,16.757741347905284
hatecrime,too_few_fields,230,0.8214579092110432,4.901960784313726,4692,27999,16.757741347905284
hatecrime,empty_line,50,0.1785778063502268,1.0656436487638534,4692,27999,16.757741347905284
