shot,error_type,bad_rows_count,bad_rows_pct_of_total,bad_rows_pct_of_bad,total_bad_rows_shot,total_rows_shot,bad_rows_pct_shot
few,too_many_fields,2888,10.367977023873632,60.431052521448,4779,27855,17.156704361873988
few,odd_number_of_symbols,89,0.31951175731466525,1.8623142916928226,4779,27855,17.156704361873988
few,row_structure_error,1727,6.199964099802549,36.13726721071354,4779,27855,17.156704361873988
few,empty_line,65,0.23335128343205885,1.360117179326219,4779,27855,17.156704361873988
few,too_few_fields,10,0.03590019745108598,0.2092487968194183,4779,27855,17.156704361873988
one,too_many_fields,2473,8.797893912981607,63.13505233597141,3917,28109,13.93503859973674
one,odd_number_of_symbols,108,0.3842185776797467,2.7572121521572632,3917,28109,13.93503859973674
one,row_structure_error,661,2.351559998576968,16.875159560888438,3917,28109,13.93503859973674
one,too_few_fields,209,0.7435340993987691,5.335716109267297,3917,28109,13.93503859973674
one,empty_line,466,1.6578320110996476,11.896859841715598,3917,28109,13.93503859973674
zero,too_many_fields,2707,9.575183049768315,82.22964763061968,3292,28271,11.644441300272364
zero,odd_number_of_symbols,112,0.39616568214778397,3.402187120291616,3292,28271,11.644441300272364
zero,empty_line,376,1.3299847900675603,11.421628189550425,3292,28271,11.644441300272364
zero,row_structure_error,86,0.3041986487920484,2.612393681652491,3292,28271,11.644441300272364
zero,too_few_fields,11,0.03890912949665735,0.33414337788578374,3292,28271,11.644441300272364
