model,domain,shot_type,total_chunks_mean,total_chunks_std,total_chunks_min,total_chunks_max,total_chunks_count
Qwen/Qwen3-Coder-30B-A3B-Instruct,employment,few,16.0,0.0,16,16,3
Qwen/Qwen3-Coder-30B-A3B-Instruct,employment,one,16.0,0.0,16,16,3
Qwen/Qwen3-Coder-30B-A3B-Instruct,employment,zero,15.0,0.0,15,15,3
Qwen/Qwen3-Coder-30B-A3B-Instruct,hatecrime,few,18.0,0.0,18,18,3
Qwen/Qwen3-Coder-30B-A3B-Instruct,hatecrime,one,18.0,0.0,18,18,3
Qwen/Qwen3-Coder-30B-A3B-Instruct,hatecrime,zero,15.33,0.58,15,16,3
Qwen/Qwen3-Coder-30B-A3B-Instruct,lending,few,27.0,0.0,27,27,3
Qwen/Qwen3-Coder-30B-A3B-Instruct,lending,one,28.0,1.0,27,29,3
Qwen/Qwen3-Coder-30B-A3B-Instruct,lending,zero,24.0,0.0,24,24,3
meta-llama/Llama-3.1-8B-Instruct,employment,few,25.67,0.58,25,26,3
meta-llama/Llama-3.1-8B-Instruct,employment,one,25.0,1.0,24,26,3
meta-llama/Llama-3.1-8B-Instruct,employment,zero,27.67,1.53,26,29,3
meta-llama/Llama-3.1-8B-Instruct,hatecrime,few,22.67,0.58,22,23,3
meta-llama/Llama-3.1-8B-Instruct,hatecrime,one,24.33,1.53,23,26,3
meta-llama/Llama-3.1-8B-Instruct,hatecrime,zero,22.0,2.65,19,24,3
meta-llama/Llama-3.1-8B-Instruct,lending,few,24.67,2.08,23,27,3
meta-llama/Llama-3.1-8B-Instruct,lending,one,25.0,1.0,24,26,3
meta-llama/Llama-3.1-8B-Instruct,lending,zero,25.33,0.58,25,26,3
moonshotai/Kimi-K2-Instruct-0905,employment,few,20.0,1.0,19,21,3
moonshotai/Kimi-K2-Instruct-0905,employment,one,21.33,0.58,21,22,3
moonshotai/Kimi-K2-Instruct-0905,employment,zero,21.33,0.58,21,22,3
moonshotai/Kimi-K2-Instruct-0905,hatecrime,few,21.0,0.0,21,21,3
moonshotai/Kimi-K2-Instruct-0905,hatecrime,one,21.33,0.58,21,22,3
moonshotai/Kimi-K2-Instruct-0905,hatecrime,zero,22.0,0.0,22,22,3
moonshotai/Kimi-K2-Instruct-0905,lending,few,24.0,0.0,24,24,3
moonshotai/Kimi-K2-Instruct-0905,lending,one,22.67,0.58,22,23,3
moonshotai/Kimi-K2-Instruct-0905,lending,zero,23.67,0.58,23,24,3
