model,domain,shot,first_chunk_s,last_chunk_s,avg_time_s
kimi-k2-instruct-0905,hatecrime,zero,6.81,7.55,7.48
kimi-k2-instruct-0905,hatecrime,one,8.8,7.7,7.96
kimi-k2-instruct-0905,hatecrime,few,8.33,8.34,8.44
kimi-k2-instruct-0905,employment,zero,9.45,10.46,11.79
kimi-k2-instruct-0905,employment,one,12.13,13.82,13.29
kimi-k2-instruct-0905,employment,few,12.85,12.91,14.1
kimi-k2-instruct-0905,lending,zero,15.2,19.1,16.69
kimi-k2-instruct-0905,lending,one,19.91,19.09,18.49
kimi-k2-instruct-0905,lending,few,18.3,18.05,17.97
llama-3.1-8b-instruct,hatecrime,zero,63.84,41.15,41.76
llama-3.1-8b-instruct,hatecrime,one,40.08,30.35,34.39
llama-3.1-8b-instruct,hatecrime,few,48.48,41.37,45.35
llama-3.1-8b-instruct,employment,zero,44.79,28.91,41.91
llama-3.1-8b-instruct,employment,one,51.77,53.16,53.99
llama-3.1-8b-instruct,employment,few,52.98,44.54,51.95
llama-3.1-8b-instruct,lending,zero,126.33,82.59,100.29
llama-3.1-8b-instruct,lending,one,107.53,73.53,97.74
llama-3.1-8b-instruct,lending,few,112.5,78.94,109.5
qwen3-coder-30b-a3b-instruct,hatecrime,zero,30.16,29.84,27.83
qwen3-coder-30b-a3b-instruct,hatecrime,one,29.17,24.52,26.37
qwen3-coder-30b-a3b-instruct,hatecrime,few,30.23,28.43,29.49
qwen3-coder-30b-a3b-instruct,employment,zero,49.51,44.03,43.95
qwen3-coder-30b-a3b-instruct,employment,one,54.38,47.93,50.45
qwen3-coder-30b-a3b-instruct,employment,few,48.42,49.84,51.6
qwen3-coder-30b-a3b-instruct,lending,zero,58.6,57.69,56.97
qwen3-coder-30b-a3b-instruct,lending,one,56.61,56.88,57.32
qwen3-coder-30b-a3b-instruct,lending,few,56.95,56.74,58.27
