model,run,shot,di_overall,di_race,di_ethnicity,di_sex
qwen3-coder-30b-a3b-instruct,run3,zero,,,,
qwen3-coder-30b-a3b-instruct,run3,one,0.7757201646090534,1.1666666666666665,0.16049382716049365,1.0
qwen3-coder-30b-a3b-instruct,run3,few,2.7631055706354792,3.166666666666667,1.5364431486880465,3.586206896551724
llama-3.1-8b-instruct,run1,zero,0.3613466075548988,0.41025641025641013,,0.31243680485338743
llama-3.1-8b-instruct,run1,one,2.1266545557304912,3.4347826086956523,1.9451810584958213,1.0
llama-3.1-8b-instruct,run1,few,4.810555456947895,7.296296296296296,4.270833333333333,2.8645367412140574
qwen3-coder-30b-a3b-instruct,run2,zero,0.23339299758630974,0.5,0.12549019607843137,0.07468879668049788
qwen3-coder-30b-a3b-instruct,run2,one,0.467825148077249,1.0,0.11338535414165674,0.29009009009009024
qwen3-coder-30b-a3b-instruct,run2,few,0.5169147427191791,0.9166666666666667,0.3493333333333333,0.2847442281575374
kimi-k2-instruct-0905,run1,zero,,,,
kimi-k2-instruct-0905,run1,one,,,,
kimi-k2-instruct-0905,run1,few,0.8150909318430433,0.8381076388888891,0.8099424552429666,0.7972227013972744
llama-3.1-8b-instruct,run2,zero,0.45235771564273985,0.5,0.5151515151515151,0.3419216317767044
llama-3.1-8b-instruct,run2,one,12.01934984520124,24.5,2.4264705882352944,9.131578947368421
llama-3.1-8b-instruct,run2,few,5.191333819190603,5.572033898305085,1.7536231884057973,8.248344370860927
qwen3-coder-30b-a3b-instruct,run1,zero,0.0710406552988904,0.12903225806451624,0.01799919646444348,0.06609051136771149
qwen3-coder-30b-a3b-instruct,run1,one,0.678201506591337,1.0,0.7846045197740112,0.25
qwen3-coder-30b-a3b-instruct,run1,few,0.8662367724867724,1.0,1.2619047619047619,0.3368055555555556
llama-3.1-8b-instruct,run3,zero,0.39486346654805443,0.18165784832451504,1.0,0.0029325513196483133
llama-3.1-8b-instruct,run3,one,0.45716973658150134,1.0,0.18166963755199061,0.18983957219251346
llama-3.1-8b-instruct,run3,few,3.4325396825396823,8.297619047619047,1.0,1.0
kimi-k2-instruct-0905,run3,zero,0.015252562864869793,0.025773195876288568,0.01559332253080603,0.004391170187514781
kimi-k2-instruct-0905,run3,one,,,,
kimi-k2-instruct-0905,run3,few,0.287627425471197,0.33333333333333326,0.21456918599523767,0.31497975708502013
kimi-k2-instruct-0905,run2,zero,0.011897748225187188,0.022222222222222143,0.0073282340759543985,0.006142788377385022
kimi-k2-instruct-0905,run2,one,,,,
kimi-k2-instruct-0905,run2,few,1.0595705946635565,1.1851851851851851,1.0117197452229298,0.9818068535825544
