model,run,shot,bp_avg
qwen3-coder-30b-a3b-instruct,run3,zero,0.22717739174017262
qwen3-coder-30b-a3b-instruct,run3,one,0.7022571148184494
qwen3-coder-30b-a3b-instruct,run3,few,0.5831806797819585
llama-3.1-8b-instruct,run1,zero,0.7519448251127794
llama-3.1-8b-instruct,run1,one,0.8266240681576145
llama-3.1-8b-instruct,run1,few,0.7229319371727749
qwen3-coder-30b-a3b-instruct,run2,zero,0.237721021611002
qwen3-coder-30b-a3b-instruct,run2,one,0.8059098364369536
qwen3-coder-30b-a3b-instruct,run2,few,0.6256653992395437
kimi-k2-instruct-0905,run1,zero,0.29067460317460314
kimi-k2-instruct-0905,run1,one,0.660343087790111
kimi-k2-instruct-0905,run1,few,0.7944227122194232
llama-3.1-8b-instruct,run2,zero,0.5954314720812184
llama-3.1-8b-instruct,run2,one,0.8908011869436203
llama-3.1-8b-instruct,run2,few,0.6865764828303851
qwen3-coder-30b-a3b-instruct,run1,zero,0.21405940594059403
qwen3-coder-30b-a3b-instruct,run1,one,0.9061825318940138
qwen3-coder-30b-a3b-instruct,run1,few,0.5858591147291901
llama-3.1-8b-instruct,run3,zero,0.6649438202247191
llama-3.1-8b-instruct,run3,one,0.7862660944206008
llama-3.1-8b-instruct,run3,few,0.5124735729386891
kimi-k2-instruct-0905,run3,zero,0.5109768378650554
kimi-k2-instruct-0905,run3,one,0.6352490421455939
kimi-k2-instruct-0905,run3,few,0.7906130268199233
kimi-k2-instruct-0905,run2,zero,0.26870078740157477
kimi-k2-instruct-0905,run2,one,0.6813819577735125
kimi-k2-instruct-0905,run2,few,0.7813159324421943
