model,run,shot,di_avg
qwen3-coder-30b-a3b-instruct,run3,zero,1.0340402942373235
qwen3-coder-30b-a3b-instruct,run3,one,0.5669747988928628
qwen3-coder-30b-a3b-instruct,run3,few,0.652057040558373
llama-3.1-8b-instruct,run1,zero,1.156616368802654
llama-3.1-8b-instruct,run1,one,0.6918814226682123
llama-3.1-8b-instruct,run1,few,0.7072892545797336
qwen3-coder-30b-a3b-instruct,run2,zero,1.016215169755633
qwen3-coder-30b-a3b-instruct,run2,one,0.5540162832701677
qwen3-coder-30b-a3b-instruct,run2,few,0.6963179895918479
kimi-k2-instruct-0905,run1,zero,1.1277714954787323
kimi-k2-instruct-0905,run1,one,0.8326143174941578
kimi-k2-instruct-0905,run1,few,0.9604632854307253
llama-3.1-8b-instruct,run2,zero,1.1424826950587639
llama-3.1-8b-instruct,run2,one,0.6154023124990433
llama-3.1-8b-instruct,run2,few,0.7757138111983644
qwen3-coder-30b-a3b-instruct,run1,zero,1.0359380042077533
qwen3-coder-30b-a3b-instruct,run1,one,0.5811991189224134
qwen3-coder-30b-a3b-instruct,run1,few,0.7021632676880893
llama-3.1-8b-instruct,run3,zero,1.2870969599911262
llama-3.1-8b-instruct,run3,one,0.6685201509407509
llama-3.1-8b-instruct,run3,few,0.765203447285864
kimi-k2-instruct-0905,run3,zero,1.3309886569300464
kimi-k2-instruct-0905,run3,one,0.8240529653418289
kimi-k2-instruct-0905,run3,few,1.0383895191403325
kimi-k2-instruct-0905,run2,zero,1.1066345631860093
kimi-k2-instruct-0905,run2,one,0.7892078805098887
kimi-k2-instruct-0905,run2,few,0.9317030230199086
