model,run,shot,md_avg
qwen3-coder-30b-a3b-instruct,run3,zero,1.3196752516316814
qwen3-coder-30b-a3b-instruct,run3,one,29.787791952895
qwen3-coder-30b-a3b-instruct,run3,few,22.131920489187348
llama-3.1-8b-instruct,run1,zero,316.84292342709375
llama-3.1-8b-instruct,run1,one,28.89585071350165
llama-3.1-8b-instruct,run1,few,20.777311900261502
qwen3-coder-30b-a3b-instruct,run2,zero,1.5836935166994117
qwen3-coder-30b-a3b-instruct,run2,one,32.519044556204975
qwen3-coder-30b-a3b-instruct,run2,few,19.155280685061847
kimi-k2-instruct-0905,run1,zero,4.859682539682534
kimi-k2-instruct-0905,run1,one,20.390727272727272
kimi-k2-instruct-0905,run1,few,18.943460273429757
llama-3.1-8b-instruct,run2,zero,381.39468136516587
llama-3.1-8b-instruct,run2,one,35.25349159248269
llama-3.1-8b-instruct,run2,few,18.391845639578968
qwen3-coder-30b-a3b-instruct,run1,zero,1.3437821782178205
qwen3-coder-30b-a3b-instruct,run1,one,31.56580961727183
qwen3-coder-30b-a3b-instruct,run1,few,18.49003108437001
llama-3.1-8b-instruct,run3,zero,876.4500318445356
llama-3.1-8b-instruct,run3,one,31.364117577673447
llama-3.1-8b-instruct,run3,few,16.06995652173913
kimi-k2-instruct-0905,run3,zero,13.261570996978856
kimi-k2-instruct-0905,run3,one,20.330593869731803
kimi-k2-instruct-0905,run3,few,20.786858237547897
kimi-k2-instruct-0905,run2,zero,4.545024630541874
kimi-k2-instruct-0905,run2,one,23.972495201535505
kimi-k2-instruct-0905,run2,few,20.38213761661371
