model,run,shot,brp_overall,brp_ethnicity,brp_race
kimi-k2-instruct-0905,run2,few,0.1744937577558004,0.15209359605911332,0.19689391945248746
kimi-k2-instruct-0905,run2,one,0.4108608608608608,0.22037037037037038,0.6013513513513513
kimi-k2-instruct-0905,run2,zero,0.3791286530890369,0.04731980617807385,0.7109375
kimi-k2-instruct-0905,run3,few,0.18235308752550128,0.11183261183261178,0.2528735632183908
kimi-k2-instruct-0905,run3,one,0.27427554572326684,0.3410918839873263,0.20745920745920743
kimi-k2-instruct-0905,run3,zero,0.23951666294281232,0.05623047552933008,0.42280285035629456
llama-3.1-8b-instruct,run3,few,0.3712086121118545,0.20908389089037566,0.5333333333333333
llama-3.1-8b-instruct,run3,one,0.4049117358613926,0.3455377574370709,0.4642857142857143
llama-3.1-8b-instruct,run3,zero,0.3520088949193427,0.08785617367706922,0.6161616161616161
qwen3-coder-30b-a3b-instruct,run1,few,0.22617562951452558,0.056272827656502156,0.396078431372549
qwen3-coder-30b-a3b-instruct,run1,one,0.25149542618578785,0.2570821529745042,0.2459086993970715
qwen3-coder-30b-a3b-instruct,run1,zero,0.5459280472525506,0.5350993377483444,0.5567567567567568
llama-3.1-8b-instruct,run2,few,0.12015637376623145,0.0018512090709245088,0.2384615384615384
llama-3.1-8b-instruct,run2,one,0.29769802017445735,0.0632859486057955,0.5321100917431192
llama-3.1-8b-instruct,run2,zero,0.23346792749729084,0.08306488725264616,0.3838709677419355
kimi-k2-instruct-0905,run1,few,0.13882584024443473,0.09999999999999998,0.17765168048886948
kimi-k2-instruct-0905,run1,one,0.4100967177112025,0.2585495998059666,0.5616438356164384
kimi-k2-instruct-0905,run1,zero,0.15915161466885602,0.05968253968253967,0.2586206896551724
qwen3-coder-30b-a3b-instruct,run2,few,0.8235930735930737,0.7380952380952381,0.9090909090909091
qwen3-coder-30b-a3b-instruct,run2,one,0.08932040025506449,0.08068758413585997,0.09795321637426901
qwen3-coder-30b-a3b-instruct,run2,zero,0.330658049126616,0.031244499207885967,0.630071599045346
llama-3.1-8b-instruct,run1,few,0.4915688710187092,0.11950137840105479,0.8636363636363636
llama-3.1-8b-instruct,run1,one,0.36710584101888444,0.28888888888888886,0.44532279314888007
llama-3.1-8b-instruct,run1,zero,0.12283934599802582,0.06904887020493955,0.17662982179111208
qwen3-coder-30b-a3b-instruct,run3,few,0.37607172128926997,0.06969218909664576,0.6824512534818942
qwen3-coder-30b-a3b-instruct,run3,one,0.3389423076923077,0.6153846153846154,0.0625
qwen3-coder-30b-a3b-instruct,run3,zero,0.2421820405310971,0.3223270440251572,0.162037037037037
