model,run,shot,di_overall,di_race,di_ethnicity
kimi-k2-instruct-0905,run2,few,0.41368085488505757,0.5057471264367817,0.3216145833333335
kimi-k2-instruct-0905,run2,one,1.0107028053769724,1.5084745762711864,0.5129310344827587
kimi-k2-instruct-0905,run2,zero,1.2943492499944114,2.4594594594594597,0.12923904052936308
kimi-k2-instruct-0905,run3,few,0.42721960579103424,0.6111111111111109,0.24332810047095754
kimi-k2-instruct-0905,run3,one,0.732236965932618,0.6742424242424241,0.7902315076228119
kimi-k2-instruct-0905,run3,zero,0.5801583374567045,1.0,0.16031667491340906
llama-3.1-8b-instruct,run3,few,0.769485903814262,1.0,0.5389718076285239
llama-3.1-8b-instruct,run3,one,1.2540204678362572,1.625,0.8830409356725144
llama-3.1-8b-instruct,run3,zero,0.5800865800865801,1.0,0.1601731601731602
qwen3-coder-30b-a3b-instruct,run1,few,0.8324456851719858,1.4637681159420288,0.20112325440194279
qwen3-coder-30b-a3b-instruct,run1,one,0.8345907930421622,0.6408529741863076,1.0283286118980168
qwen3-coder-30b-a3b-instruct,run1,zero,2.1544444444444446,2.2888888888888888,2.02
llama-3.1-8b-instruct,run2,few,0.2600150655174829,0.5166666666666664,0.0033634643682993737
llama-3.1-8b-instruct,run2,one,0.6288511762665524,1.1372549019607843,0.12044745057232054
llama-3.1-8b-instruct,run2,zero,0.44404613154738115,0.7437500000000001,0.14434226309476217
kimi-k2-instruct-0905,run1,few,0.35917721518987344,0.4683544303797469,0.25
kimi-k2-instruct-0905,run1,one,0.9271841397849463,1.28125,0.5731182795698926
kimi-k2-instruct-0905,run1,zero,0.6166092943201376,1.0714285714285712,0.16179001721170394
qwen3-coder-30b-a3b-instruct,run2,few,6.409090909090909,10.0,2.818181818181818
qwen3-coder-30b-a3b-instruct,run2,one,0.231723178432097,0.25187969924812026,0.21156665761607374
qwen3-coder-30b-a3b-instruct,run2,zero,0.8940161521507946,1.7032258064516128,0.08480649784997629
llama-3.1-8b-instruct,run1,few,3.317910598705502,6.333333333333334,0.30248786407767003
llama-3.1-8b-instruct,run1,one,0.8134469696969696,0.9602272727272727,0.6666666666666665
llama-3.1-8b-instruct,run1,zero,0.25136383217421143,0.3769860375541645,0.12574162679425838
qwen3-coder-30b-a3b-instruct,run3,few,1.1869981352513606,2.149122807017544,0.224873463485177
qwen3-coder-30b-a3b-instruct,run3,one,0.8714285714285712,0.1428571428571428,1.5999999999999996
qwen3-coder-30b-a3b-instruct,run3,zero,0.8888888888888888,0.7777777777777777,1.0
