model,run,shot,br_overall,br_race,br_ethnicity
kimi-k2-instruct-0905,run2,few,0.18768619662363456,0.17576961271102284,0.19960278053624628
kimi-k2-instruct-0905,run2,one,0.1790816326530612,0.19795918367346937,0.16020408163265307
kimi-k2-instruct-0905,run2,zero,0.20723586474356637,0.2265446224256293,0.1879271070615034
kimi-k2-instruct-0905,run3,few,0.18033596837944665,0.16403162055335968,0.1966403162055336
kimi-k2-instruct-0905,run3,one,0.16067961165048544,0.1815533980582524,0.13980582524271845
kimi-k2-instruct-0905,run3,zero,0.18955297178200736,0.20554272517321015,0.17356321839080457
llama-3.1-8b-instruct,run3,few,0.2205355670224547,0.1453900709219858,0.2956810631229236
llama-3.1-8b-instruct,run3,one,0.2234280194403357,0.27488151658767773,0.17197452229299365
llama-3.1-8b-instruct,run3,zero,0.315631439505446,0.21265822784810126,0.41860465116279066
qwen3-coder-30b-a3b-instruct,run1,few,0.13040300957733142,0.14786967418546365,0.11293634496919917
qwen3-coder-30b-a3b-instruct,run1,one,0.22381282998138372,0.24370860927152319,0.20391705069124424
qwen3-coder-30b-a3b-instruct,run1,zero,0.16060659703782382,0.15613382899628253,0.16507936507936508
llama-3.1-8b-instruct,run2,few,0.15466947648624668,0.1358695652173913,0.17346938775510207
llama-3.1-8b-instruct,run2,one,0.22968184837971506,0.15959252971137522,0.2997711670480549
llama-3.1-8b-instruct,run2,zero,0.221091818084077,0.2112676056338028,0.23091603053435117
kimi-k2-instruct-0905,run1,few,0.18426294820717132,0.16334661354581675,0.2051792828685259
kimi-k2-instruct-0905,run1,one,0.1791464339131682,0.17748478701825557,0.1808080808080808
kimi-k2-instruct-0905,run1,zero,0.24782918029848072,0.2197149643705463,0.2759433962264151
qwen3-coder-30b-a3b-instruct,run2,few,0.12731757451181913,0.12,0.13463514902363824
qwen3-coder-30b-a3b-instruct,run2,one,0.19076125867483287,0.2346298619824341,0.14689265536723164
qwen3-coder-30b-a3b-instruct,run2,zero,0.19773929608898388,0.2078272604588394,0.18765133171912834
llama-3.1-8b-instruct,run1,few,0.20489695489695492,0.11375661375661375,0.29603729603729606
llama-3.1-8b-instruct,run1,one,0.2743076476757939,0.23237597911227156,0.3162393162393162
llama-3.1-8b-instruct,run1,zero,0.20234335839599,0.13714285714285712,0.26754385964912286
qwen3-coder-30b-a3b-instruct,run3,few,0.1285091363600855,0.150066401062417,0.10695187165775401
qwen3-coder-30b-a3b-instruct,run3,one,0.19187049025604688,0.199501246882793,0.18423973362930077
qwen3-coder-30b-a3b-instruct,run3,zero,0.22116763642510867,0.2237851662404092,0.21855010660980811
