model,run,shot,bp_overall,bp_race,bp_ethnicity,bp_sex
kimi-k2-instruct-0905,run2,few,0.47744670432184116,0.5423728813559322,0.45166060054595086,0.4383066310636404
kimi-k2-instruct-0905,run2,one,0.0,,,0.0
kimi-k2-instruct-0905,run2,zero,0.011683389900856008,0.021739130434782594,0.007245228188362707,0.006065811079422723
kimi-k2-instruct-0905,run3,few,0.18683505675361914,0.2222222222222222,0.1414205998604976,0.19686234817813764
kimi-k2-instruct-0905,run3,one,,,,
kimi-k2-instruct-0905,run3,zero,0.014907678338734595,0.025125628140703515,0.01528505256314594,0.004312354312354327
llama-3.1-8b-instruct,run3,few,0.2890595332516163,0.6111111111111112,0.12173913043478261,0.13432835820895522
llama-3.1-8b-instruct,run3,one,0.08853515639519317,0.20754716981132076,0.02872915198496595,0.02932914738929282
llama-3.1-8b-instruct,run3,zero,0.3265166600292049,0.12716049382716055,0.85,0.002389486260454099
qwen3-coder-30b-a3b-instruct,run1,few,0.21289334447229183,0.30303030303030304,0.2656641604010025,0.06998556998556998
qwen3-coder-30b-a3b-instruct,run1,one,0.28772184699035724,0.48,0.2831655409710717,0.09999999999999998
qwen3-coder-30b-a3b-instruct,run1,zero,0.06301958249819532,0.11428571428571432,0.016601200622544998,0.05817183258632663
llama-3.1-8b-instruct,run2,few,0.12561142057970273,0.13983050847457626,0.09229595728451565,0.14470779598001626
llama-3.1-8b-instruct,run2,one,0.27354837801395687,0.5,0.12496844231254735,0.1956766917293233
llama-3.1-8b-instruct,run2,zero,0.2946913580246914,0.33333333333333337,0.31481481481481477,0.23592592592592598
kimi-k2-instruct-0905,run1,few,0.41553437795335996,0.43102678571428577,0.411015574302401,0.40456077384339295
kimi-k2-instruct-0905,run1,one,,,,
kimi-k2-instruct-0905,run1,zero,,,,
qwen3-coder-30b-a3b-instruct,run2,few,0.26965884562554315,0.4782608695652174,0.1786363636363636,0.1520793036750484
qwen3-coder-30b-a3b-instruct,run2,one,0.194180052868976,0.3333333333333333,0.06931855711717005,0.17988826815642467
qwen3-coder-30b-a3b-instruct,run2,zero,0.17013147601382897,0.33333333333333337,0.1075630252100841,0.06949806949806947
llama-3.1-8b-instruct,run1,few,0.14515082745913416,0.2222222222222222,0.09821428571428571,0.11501597444089456
llama-3.1-8b-instruct,run1,one,0.21623111858144295,0.2463768115942029,0.1821330579115938,0.22018348623853212
llama-3.1-8b-instruct,run1,zero,0.25930863535874593,0.2909090909090909,,0.22770817980840097
qwen3-coder-30b-a3b-instruct,run3,few,0.5953846027219115,0.6333333333333333,0.37086558761435606,0.7819548872180451
qwen3-coder-30b-a3b-instruct,run3,one,0.5435533733406074,0.5384615384615384,0.0921985815602836,1.0
qwen3-coder-30b-a3b-instruct,run3,zero,,,,
