model,run,shot,br_overall,br_race,br_ethnicity,br_sex
kimi-k2-instruct-0905,run2,few,0.45533435426237884,0.41960183767228176,0.549770290964778,0.39663093415007655
kimi-k2-instruct-0905,run2,one,0.47452353169972766,0.44224037339556593,0.44457409568261375,0.5367561260210035
kimi-k2-instruct-0905,run2,zero,0.3155658555426806,0.44380069524913096,0.42526071842410196,0.07763615295480886
kimi-k2-instruct-0905,run3,few,0.40637681159420286,0.37565217391304345,0.49391304347826087,0.3495652173913043
kimi-k2-instruct-0905,run3,one,0.3259668508287293,0.06408839779005526,0.4795580110497238,0.43425414364640885
kimi-k2-instruct-0905,run3,zero,0.31606425702811247,0.43734939759036146,0.44939759036144583,0.061445783132530185
llama-3.1-8b-instruct,run3,few,0.04938271604938271,0.035759897828863345,0.06130268199233716,0.05108556832694764
llama-3.1-8b-instruct,run3,one,0.048832271762208064,0.08917197452229299,0.04936305732484077,0.007961783439490444
llama-3.1-8b-instruct,run3,zero,0.2662835249042146,0.3850574712643678,0.3563218390804598,0.05747126436781613
qwen3-coder-30b-a3b-instruct,run1,few,0.12195121951219512,0.1073170731707317,0.14634146341463414,0.11219512195121951
qwen3-coder-30b-a3b-instruct,run1,one,0.18190486470926884,0.2708333333333333,0.05208333333333334,0.22279792746113988
qwen3-coder-30b-a3b-instruct,run1,zero,0.39882121807465615,0.6090373280943026,0.42436149312377214,0.16306483300589386
llama-3.1-8b-instruct,run2,few,0.06135770234986945,0.0587467362924282,0.06135770234986945,0.0639686684073107
llama-3.1-8b-instruct,run2,one,0.09018264840182648,0.06506849315068493,0.10273972602739725,0.10273972602739725
llama-3.1-8b-instruct,run2,zero,0.24067886326793927,0.30386740331491713,0.2634730538922156,0.15469613259668508
kimi-k2-instruct-0905,run1,few,0.48152610441767063,0.43253012048192774,0.5915662650602409,0.42048192771084336
kimi-k2-instruct-0905,run1,one,0.3641552511415525,0.0993150684931507,0.4406392694063927,0.5525114155251142
kimi-k2-instruct-0905,run1,zero,,,,
qwen3-coder-30b-a3b-instruct,run2,few,0.3230994152046784,0.3530701754385965,0.3355263157894737,0.2807017543859649
qwen3-coder-30b-a3b-instruct,run2,one,0.3772683858643744,0.4183381088825215,0.3982808022922636,0.3151862464183381
qwen3-coder-30b-a3b-instruct,run2,zero,0.4738609112709831,0.6071942446043165,0.2762589928057554,0.5381294964028777
llama-3.1-8b-instruct,run1,few,0.050173869846000994,0.03129657228017884,0.06557377049180328,0.05365126676602087
llama-3.1-8b-instruct,run1,one,0.1189358372456964,0.0892018779342723,0.15492957746478872,0.11267605633802817
llama-3.1-8b-instruct,run1,zero,0.24528301886792456,0.24528301886792453,0.1949685534591195,0.29559748427672955
qwen3-coder-30b-a3b-instruct,run3,few,0.2766720812706271,0.29296875,0.2811881188118812,0.255859375
qwen3-coder-30b-a3b-instruct,run3,one,0.3710691823899371,0.38005390835579517,0.3611859838274933,0.3719676549865229
qwen3-coder-30b-a3b-instruct,run3,zero,0.39855072463768115,0.4565217391304348,0.2608695652173913,0.4782608695652174
