model_base,domain,shot,num_rows_run1,num_rows_run2,num_rows_run3,avg_rows_per_run,numeric_score,categorical_score,semantic_score,overall_stability
kimi-k2-instruct-0905,employment,few,1031,1003,1044,1026.0,0.7396925248674502,0.7836871017693595,0.665272033876843,0.7294862749849232
qwen3-coder-30b-a3b-instruct,employment,few,1067,1052,1031,1050.0,0.0,0.765974074231897,0.6655228369765811,0.47735399426939984
llama-3.1-8b-instruct,employment,few,955,961,946,954.0,0.0,0.6504669153550157,0.664730879995558,0.4386255967317366
qwen3-coder-30b-a3b-instruct,employment,one,1020,1051,1019,1030.0,0.7835618620757768,0.849322529835988,0.6640518506368001,0.7655438206193089
kimi-k2-instruct-0905,employment,one,991,1042,1044,1025.7,0.0,0.812980488850895,0.6652996010250516,0.4929325695297153
llama-3.1-8b-instruct,employment,one,939,1011,933,961.0,0.0,0.6712160418145996,0.6634916252560085,0.4451211447597685
qwen3-coder-30b-a3b-instruct,employment,zero,1010,1018,1027,1018.3,0.7811863963729594,0.768204797426557,0.3324963119294908,0.6270010357196889
kimi-k2-instruct-0905,employment,zero,1008,1016,993,1005.7,0.0,0.6845808833434458,0.6600195456434179,0.4484119623982691
llama-3.1-8b-instruct,employment,zero,986,791,952,909.7,0.0,0.56228007543693,0.3304233928521474,0.29760067833311493
kimi-k2-instruct-0905,hatecrime,few,1004,1007,1012,1007.7,0.9451537955328454,0.9264491946676434,0.999961902697881,0.9572310712378551
qwen3-coder-30b-a3b-instruct,hatecrime,few,1032,1031,1018,1027.0,0.33582343674854676,0.8474917773872154,0.9999233384927113,0.7280183613637744
llama-3.1-8b-instruct,hatecrime,few,441,237,334,337.3,0.0,0.7552206122764124,0.9982401430606842,0.5849006716703138
qwen3-coder-30b-a3b-instruct,hatecrime,one,1009,1019,1015,1014.3,0.44005016290666665,0.8039494908433799,0.9998881916205089,0.7482145407000155
kimi-k2-instruct-0905,hatecrime,one,1000,998,1047,1015.0,0.0,0.8244162518188819,0.9998234808444977,0.60847165445775
llama-3.1-8b-instruct,hatecrime,one,569,733,351,551.0,0.0,0.6946065775112872,0.9980090161164601,0.5646390016941563
kimi-k2-instruct-0905,hatecrime,zero,1042,1026,1039,1035.7,0.8434309820033807,0.8749317224994271,0.9999660154183705,0.9062034297491708
qwen3-coder-30b-a3b-instruct,hatecrime,zero,1012,987,988,995.7,0.5798449570863213,0.8047267865073483,0.9999597767988841,0.7950489560675194
llama-3.1-8b-instruct,hatecrime,zero,830,749,777,785.3,0.0,0.701214611774607,0.9948795437812805,0.5657942333438919
qwen3-coder-30b-a3b-instruct,lending,few,456,630,629,571.7,0.5214958539763962,0.6117062667712969,0.0,0.37735630620898186
llama-3.1-8b-instruct,lending,few,984,1034,1018,1012.0,0.0,0.7622995456450992,0.0,0.253845748699818
kimi-k2-instruct-0905,lending,few,834,704,581,706.3,0.0,0.7075567567405208,0.0,0.23561639999459344
kimi-k2-instruct-0905,lending,one,1011,1030,1014,1018.3,0.6551979186552962,0.7959906346375021,0.0,0.48324578824650183
qwen3-coder-30b-a3b-instruct,lending,one,425,461,505,463.7,0.36086227109240976,0.6642753399495158,0.0,0.3413708244769612
llama-3.1-8b-instruct,lending,one,967,1013,975,985.0,0.0,0.7487880775444511,0.0,0.24934642982230223
qwen3-coder-30b-a3b-instruct,lending,zero,513,703,764,660.0,0.1732336101108358,0.5977028598994965,0.0,0.25672184451344066
llama-3.1-8b-instruct,lending,zero,964,1011,1040,1005.0,0.0,0.6953428742876449,0.0,0.23154917713778575
kimi-k2-instruct-0905,lending,zero,1040,863,830,911.0,0.320086755714443,0.25820877128963354,0.0,0.19257241049235752
