EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
BP PLC,82990,-1.21,38.83,8.54,45.38,63.5,36.9,46.11,53.89,37.62,62.38,79.9,20.1,38.4,61.6,250-499,2024-08-10 00:25:31
CO-OPERATIVE GROUP LTD,64205,13.96,5.78,49.15,16.92,41.2,34.6,73.22,26.78,75.77,24.23,75.15,24.85,47.4,52.6,1000-4999,2025-02-04 16:35:45
ALDI STORES LTD,64205,2.83,33.43,-3.41,-12.82,59.9,47.2,61.25,38.75,66.58,33.42,70.69,29.31,27.92,72.08,"5000-19,999",2024-07-04 10:51:50
CO-OPERATIVE GROUP LTD,47730,35.49,19.01,21.72,57.67,23.3,67.1,67.7,32.3,29.72,70.28,44.7,55.3,52.86,47.14,"20,000 or more",2024-06-05 21:20:43
PRIMARK LTD,70229,41.89,43.18,-16.64,-19.48,36.7,42.7,41.06,58.94,52.09,47.91,48.75,51.25,24.43,75.57,500-999,2025-03-14 08:29:28
SAINSBURY'S SUPERMARKET LTD,86210,57.52,25.72,-10.01,10.02,42.1,69.5,25.64,74.36,22.72,77.28,28.55,71.45,29.06,70.94,"20,000 or more",2024-04-17 03:36:37
BP PLC,86210,29.94,-10.0,24.69,39.78,29.7,58.9,39.21,60.79,54.48,45.52,54.36,45.64,29.14,70.86,1000-4999,2024-11-25 11:17:42
TATA STEEL UK LTD,82990,41.91,54.09,-6.16,58.22,19.6,10.2,39.79,60.21,58.44,41.56,34.95,65.05,33.37,66.63,500-999,2024-04-15 22:36:14
BRITISH AIRWAYS PLC,71129,35.31,11.81,-12.47,-19.31,49.0,59.1,59.59,40.41,46.7,53.3,73.55,26.45,23.83,76.17,500-999,2024-12-17 06:07:55
TESCO PLC,71129,4.18,48.43,24.1,-0.87,39.3,54.1,25.66,74.34,66.12,33.88,55.68,44.32,42.78,57.22,Less than 250,2024-06-30 07:09:05
COSTA LTD,47730,25.54,22.39,34.21,-15.74,12.5,47.3,51.29,48.71,51.01,48.99,61.69,38.31,30.2,69.8,1000-4999,2024-06-02 13:23:39
ALDI STORES LTD,,47.69,-7.37,57.95,-7.34,12.1,35.1,62.15,37.85,79.17,20.83,23.98,76.02,30.24,69.76,250-499,2025-02-15 13:00:01
CAMBRIDGE UNIVERSITY,56102,56.7,9.8,5.29,44.55,64.8,15.4,31.34,68.66,67.62,32.38,67.58,32.42,60.66,39.34,"5000-19,999",2024-08-03 22:10:15
COSTA LTD,70229,35.02,49.5,5.39,52.1,14.9,13.7,68.42,31.58,68.08,31.92,78.48,21.52,44.62,55.38,1000-4999,2024-09-10 01:29:53
OXFORD UNIVERSITY,51210,29.43,9.2,38.91,45.94,54.2,5.6,79.16,20.84,76.92,23.08,40.4,59.6,61.52,38.48,Less than 250,2024-12-13 09:34:36
PRIMARK LTD,86101,4.38,36.42,15.87,13.81,23.0,31.8,26.86,73.14,41.87,58.13,65.98,34.02,49.61,50.39,Less than 250,2024-07-10 18:41:04
OXFORD UNIVERSITY,71129,0.42,-5.11,-5.52,32.6,40.5,16.4,29.15,70.85,28.54,71.46,57.28,42.72,29.74,70.26,500-999,2024-05-05 12:43:57
MARKS AND SPENCER PLC,51210,31.83,24.29,15.44,38.19,66.8,29.9,56.18,43.82,78.52,21.48,31.29,68.71,47.25,52.75,"20,000 or more",2024-10-31 09:26:18
ABERYSTWYTH UNIVERSITY,51210,32.27,19.76,36.48,27.71,50.9,49.7,34.76,65.24,61.13,38.87,45.72,54.28,73.1,26.9,250-499,2024-12-08 06:24:12
HSBC UK,86101,-10.97,21.64,18.55,57.37,23.5,65.8,71.62,28.38,51.61,48.39,50.14,49.86,76.58,23.42,"20,000 or more",2024-10-25 10:27:47
ASTON MARTIN LAGONDA LTD,82990,-10.64,-12.56,39.33,36.03,40.0,42.5,66.24,33.76,71.53,28.47,22.86,77.14,39.51,60.49,1000-4999,2024-10-13 18:05:33
10442565 LTD,86210,12.33,33.37,5.26,5.55,63.3,21.7,32.09,67.91,28.0,72.0,21.92,78.08,21.81,78.19,"5000-19,999",2024-08-21 21:09:04
ABERYSTWYTH UNIVERSITY,47730,43.26,20.68,23.81,14.66,44.4,51.6,50.72,49.28,67.0,33.0,56.45,43.55,67.39,32.61,250-499,2025-01-30 12:44:54
ICELAND FOODS LTD,86101,38.91,33.4,-2.23,-4.17,15.6,64.0,76.31,23.69,29.11,70.89,45.58,54.42,35.8,64.2,250-499,2024-08-05 22:35:06
TESCO PLC,51210,40.94,-8.95,-19.59,-1.96,14.4,22.6,28.81,71.19,35.96,64.04,46.65,53.35,21.18,78.82,"5000-19,999",2025-03-03 09:41:45
NEXT PLC,71129,31.55,-19.66,-9.64,-4.83,68.8,21.7,74.65,25.35,25.8,74.2,65.28,34.72,62.54,37.46,250-499,2025-03-27 19:16:35
TATA STEEL UK LTD,86101,-11.0,-17.39,4.37,21.45,40.9,9.0,24.92,75.08,40.08,59.92,69.92,30.08,66.2,33.8,250-499,2024-06-27 05:17:34
10442565 LTD,47730,-19.07,11.54,-8.58,39.06,63.3,24.8,31.19,68.81,29.52,70.48,42.26,57.74,54.07,45.93,Less than 250,2025-02-10 01:15:55
CAMBRIDGE UNIVERSITY,71129,16.84,-15.19,59.73,13.19,59.6,68.9,77.29,22.71,32.74,67.26,36.87,63.13,76.14,23.86,Less than 250,2025-03-27 08:51:01
ROLLS-ROYCE HOLDINGS PLC,64205,8.46,38.05,5.86,17.43,21.5,55.4,77.23,22.77,71.88,28.12,52.23,47.77,29.45,70.55,1000-4999,2024-07-27 08:33:53
ABERYSTWYTH UNIVERSITY,56102,44.32,24.68,-19.74,14.0,61.5,14.0,22.56,77.44,52.59,47.41,21.88,78.12,45.05,54.95,"5000-19,999",2024-10-13 07:11:19
NEXT PLC,47730,56.07,-14.74,47.26,-19.86,45.9,22.0,23.92,76.08,79.39,20.61,61.12,38.88,73.33,26.67,500-999,2024-08-19 07:57:21
BBC,86101,-1.14,45.18,25.59,54.9,55.1,67.3,54.03,45.97,74.01,25.99,46.38,53.62,33.6,66.4,"5000-19,999",2024-12-31 16:30:27
AMAZON UK SERVICES LTD,51210,45.85,4.96,34.14,42.64,33.6,12.2,45.82,54.18,54.98,45.02,49.02,50.98,61.5,38.5,1000-4999,2024-10-04 12:17:21
COSTA LTD,71129,57.22,28.1,45.99,28.12,61.3,38.6,60.99,39.01,65.26,34.74,66.48,33.52,72.87,27.13,500-999,2024-05-26 15:18:52
COSTA LTD,82990,-17.84,20.07,28.46,53.95,68.2,33.5,71.35,28.65,62.56,37.44,52.2,47.8,27.64,72.36,500-999,2025-02-22 17:25:14
BP PLC,,29.39,46.87,3.67,49.6,8.0,8.6,63.95,36.05,58.88,41.12,62.85,37.15,66.55,33.45,"5000-19,999",2024-07-10 19:48:42
LLOYDS BANKING GROUP,82990,-1.71,-14.53,-19.61,45.95,18.1,31.4,43.0,57.0,74.61,25.39,52.79,47.21,72.09,27.91,500-999,2024-11-30 15:14:44
SHELL UK,86210,4.83,-12.43,13.02,20.77,67.3,44.1,22.39,77.61,31.47,68.53,39.6,60.4,24.29,75.71,1000-4999,2024-12-30 00:58:28
PRIMARK LTD,56102,-7.08,21.32,39.92,35.28,26.9,68.6,49.62,50.38,44.43,55.57,61.88,38.12,61.04,38.96,1000-4999,2024-10-17 17:17:31
TESCO PLC,71129,24.77,5.77,8.66,2.86,46.8,52.4,35.68,64.32,42.22,57.78,36.2,63.8,47.39,52.61,250-499,2024-06-18 17:56:43
JOHN LEWIS PARTNERSHIP,82990,32.29,-16.23,-9.52,42.37,31.0,45.9,53.04,46.96,74.92,25.08,43.76,56.24,38.83,61.17,"20,000 or more",2024-10-16 17:01:17
UNILEVER UK LTD,64205,-6.35,27.45,42.68,-19.48,11.9,54.6,79.69,20.31,20.8,79.2,55.75,44.25,34.18,65.82,Less than 250,2024-05-11 20:43:32
ROLLS-ROYCE HOLDINGS PLC,86101,1.84,1.63,42.45,55.26,51.1,11.5,79.32,20.68,77.44,22.56,63.27,36.73,69.36,30.64,"20,000 or more",2024-07-20 06:16:42
PRIMARK LTD,,30.48,34.52,48.87,28.22,51.8,30.1,78.84,21.16,69.87,30.13,45.93,54.07,50.0,50.0,250-499,2024-05-21 00:22:05
MARKS AND SPENCER PLC,64205,52.79,-1.52,47.46,-4.04,29.7,36.0,44.72,55.28,33.0,67.0,68.06,31.94,56.84,43.16,"5000-19,999",2024-10-23 01:37:47
PRIMARK LTD,86101,12.26,36.0,41.59,-14.51,58.7,64.9,27.33,72.67,68.17,31.83,23.23,76.77,29.99,70.01,"20,000 or more",2024-05-13 20:31:13
SHELL UK,,30.23,38.94,27.7,49.97,35.9,63.3,21.63,78.37,66.74,33.26,48.79,51.21,31.68,68.32,"20,000 or more",2024-11-07 12:08:17
MCDONALD'S RESTAURANTS LTD,,-11.74,1.7,2.52,24.11,42.4,63.2,59.14,40.86,57.39,42.61,48.16,51.84,25.74,74.26,"20,000 or more",2024-04-16 23:14:41
HSBC UK,70229,-6.43,54.91,58.65,55.0,18.1,59.1,36.3,63.7,25.38,74.62,44.94,55.06,76.2,23.8,500-999,2025-02-04 08:49:39
BP PLC,64205,44.75,12.68,42.92,52.32,56.2,59.9,52.84,47.16,73.83,26.17,27.9,72.1,35.3,64.7,"20,000 or more",2024-10-16 04:53:11
10 TRINITY SQUARE HOTEL LIMITED,86210,43.31,33.76,-19.42,35.85,5.8,12.5,61.36,38.64,49.42,50.58,44.47,55.53,38.68,61.32,1000-4999,2024-04-30 14:13:27
SAINSBURY'S SUPERMARKET LTD,86210,14.96,7.6,51.27,-6.94,31.3,49.7,36.03,63.97,65.1,34.9,44.57,55.43,21.09,78.91,250-499,2024-11-12 12:45:21
UNILEVER UK LTD,71129,9.44,-18.43,34.11,44.59,8.2,15.3,23.54,76.46,47.72,52.28,31.61,68.39,33.18,66.82,250-499,2024-06-17 22:19:46
CO-OPERATIVE GROUP LTD,82990,12.3,22.06,58.69,20.6,43.2,42.9,67.49,32.51,62.79,37.21,54.53,45.47,42.7,57.3,Less than 250,2024-09-01 19:08:14
BRITISH AIRWAYS PLC,,38.62,24.4,47.34,43.02,45.6,6.4,57.61,42.39,57.82,42.18,54.55,45.45,41.13,58.87,Less than 250,2024-10-27 00:54:44
"RED BAND CHEMICAL COMPANY, LIMITED",56102,-12.66,-3.54,-0.6,38.09,25.1,5.4,41.63,58.37,60.64,39.36,70.47,29.53,45.62,54.38,250-499,2025-02-22 07:43:10
BP PLC,64205,32.71,55.06,-11.18,46.12,13.4,14.5,51.51,48.49,56.94,43.06,35.21,64.79,55.25,44.75,1000-4999,2024-07-08 03:02:30
NHS TRUST LONDON,82990,47.34,-3.77,-8.87,20.06,69.1,29.5,38.53,61.47,41.96,58.04,52.5,47.5,24.14,75.86,500-999,2025-02-05 22:30:01
ALDI STORES LTD,86210,5.57,25.02,48.26,-13.97,7.0,52.3,56.66,43.34,39.79,60.21,57.31,42.69,45.41,54.59,"20,000 or more",2024-05-15 04:26:44
