data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,City,CA,California,1991-03-15,,,1,,,White,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1991,City,TX,Texas,1991-09-02,,,2,,,White,Not Specified,1,Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Individual,S,S
1991,City,FL,Florida,1991-11-20,,,1,,,Black or African American,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,School/College,Anti-White,Individual,S,S
1991,County,NY,New York,1991-01-08,,,1,,,White,Not Specified,2,Simple Assault,2.0,Park/Playground,Anti-Homosexual,Individual,S,S
1991,City,PA,Pennsylvania,1991-05-17,,,1,,,White,Not Specified,1,Aggravated Assault,1.0,Bar/Nightclub,Anti-Asian,Individual,S,S
1992,City,IL,Illinois,1992-04-25,,,1,,,Black or African American,Not Specified,1,Simple Assault,1.0,Shopping Mall,Anti-White,Individual,S,S
1992,County,MI,Michigan,1992-07-04,,,2,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
1992,City,GA,Georgia,1992-10-12,,,1,,,White,Not Specified,2,Intimidation;Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,M,S
1992,City,AZ,Arizona,1992-06-01,,,1,,,White,Hispanic or Latino,1,Aggravated Assault,1.0,School/College,Anti-Hispanic or Latino,Individual,S,S
1992,City,CO,Colorado,1992-03-03,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque/Other Religious Institution,Anti-Other Religion,Religious Organization,S,S
1993,City,NJ,New Jersey,1993-08-14,,,1,,,Black or African American,Not Specified,1,Arson,1.0,Residence/Home,Anti-White,Individual,S,S
1993,County,VA,Virginia,1993-02-28,,,1,,,White,Not Specified,1,Simple Assault,1.0,Government/Public Building,Anti-Government/Law Enforcement,Individual,S,S
1993,City,WA,Washington,1993-09-19,,,2,,,White,Not Specified,3,Intimidation,3.0,Bus/Train Station,Anti-Homosexual,Individual,S,S
1993,City,OH,Ohio,1993-05-10,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Parking Lot/Garage,Anti-Black or African American,Individual,S,S
1993,City,MD,Maryland,1993-11-05,,,1,,,White,Not Specified,1,Simple Assault,1.0,School/College,Anti-Jewish,Individual,S,S
1994,City,MA,Massachusetts,1994-01-22,,,1,,,White,Not Specified,1,Aggravated Assault,1.0,Residence/Home,Anti-Asian,Individual,S,S
1994,City,NC,North Carolina,1994-07-04,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
1994,County,OR,Oregon,1994-12-11,,,1,,,White,Not Specified,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Homosexual,Individual,S,S
1994,City,CT,Connecticut,1994-06-15,,,1,,,White,Not Specified,1,Intimidation,1.0,Apartment/Condo,Anti-Sikh,Individual,S,S
1994,City,LA,Louisiana,1994-03-30,,,1,,,Black or African American,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual,S,S
1995,City,TN,Tennessee,1995-10-06,,,1,,,White,Not Specified,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
1995,County,AL,Alabama,1995-02-18,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque/Other Religious Institution,Anti-Black or African American,Individual,S,S
1995,City,MO,Missouri,1995-05-23,,,2,,,White,Not Specified,2,Aggravated Assault;Simple Assault,2.0,Residence/Home,Anti-Homosexual,Individual,M,S
1995,City,MN,Minnesota,1995-09-08,,,1,,,White,Not Specified,1,Intimidation,1.0,Park/Playground,Anti-Native American,Individual,S,S
