EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Barclays Bank UK PLC,64191,32.1,28.5,68.2,45.7,78.9,65.4,31.2,68.8,28.4,71.6,35.7,64.3,62.1,37.9,5000+,2025-04-05 09:12:33
Tesco Stores Limited,47110,8.2,5.1,22.4,18.9,41.2,38.7,45.8,54.2,42.3,57.7,48.1,51.9,55.4,44.6,5000+,2025-04-06 11:23:45
NHS England,86101,15.7,12.3,41.8,35.2,52.6,48.9,38.5,61.5,35.2,64.8,42.1,57.9,48.7,51.3,5000+,2025-04-07 14:56:12
BP Oil UK Limited,19201,28.4,24.7,59.3,48.6,71.5,58.2,29.3,70.7,31.8,68.2,39.4,60.6,68.9,31.1,5000+,2025-04-08 16:34:28
Sainsbury's Supermarkets Ltd,47110,11.5,7.8,31.2,24.6,48.3,42.1,41.7,58.3,39.5,60.5,44.2,55.8,52.6,47.4,5000+,2025-04-09 08:45:11
HSBC UK Bank PLC,64191,35.8,31.2,72.5,56.8,82.1,68.7,28.4,71.6,25.7,74.3,32.9,67.1,69.5,30.5,5000+,2025-04-10 10:22:44
Amazon UK Services Ltd,47910,18.9,14.2,45.7,38.4,58.2,51.3,52.1,47.9,49.6,50.4,54.8,45.2,61.3,38.7,5000+,2025-04-11 13:11:55
Asda Stores Limited,47110,13.7,9.4,35.8,28.1,51.7,45.2,43.9,56.1,41.3,58.7,46.8,53.2,54.9,45.1,5000+,2025-04-12 15:47:22
Royal Mail Group PLC,53201,22.1,18.5,48.9,41.2,62.3,54.7,48.2,51.8,45.7,54.3,51.4,48.6,64.8,35.2,5000+,2025-04-13 07:28:33
Morrisons Supermarkets PLC,47110,14.2,10.1,37.5,29.8,53.1,46.8,42.4,57.6,40.1,59.9,47.3,52.7,56.2,43.8,5000+,2025-04-14 09:15:44
Lloyds Banking Group PLC,64191,33.7,29.8,69.4,52.1,79.6,66.2,29.7,70.3,27.2,72.8,34.5,65.5,67.8,32.2,5000+,2025-04-15 11:52:17
AstraZeneca UK Limited,21200,26.3,22.8,56.7,43.2,68.9,55.4,32.1,67.9,35.4,64.6,41.7,58.3,65.2,34.8,5000+,2025-04-16 14:39:28
Marks and Spencer PLC,47110,16.8,12.9,41.3,33.7,55.8,48.2,39.7,60.3,37.4,62.6,44.1,55.9,58.6,41.4,5000+,2025-04-17 16:24:51
National Grid PLC,35110,24.5,20.7,52.8,44.1,65.7,57.3,35.4,64.6,38.2,61.8,45.9,54.1,62.8,37.2,5000+,2025-04-18 08:11:02
BT Group PLC,61900,27.2,23.4,58.1,46.7,70.4,58.9,33.8,66.2,36.1,63.9,43.5,56.5,64.7,35.3,5000+,2025-04-19 10:48:33
Rolls-Royce PLC,30300,29.8,25.3,61.7,49.8,73.2,61.5,30.5,69.5,33.7,66.3,40.2,59.8,67.4,32.6,5000+,2025-04-20 13:35:44
Vodafone Limited,61900,25.7,21.9,54.3,42.8,67.1,55.8,34.6,65.4,37.3,62.7,44.8,55.2,63.5,36.5,5000+,2025-04-21 15:22:15
Shell UK Limited,19201,31.4,27.6,66.8,51.4,76.3,63.7,27.9,72.1,30.4,69.6,36.8,63.2,70.1,29.9,5000+,2025-04-22 07:53:26
Walmart UK Limited,47110,12.4,8.7,34.1,26.8,50.4,43.9,42.8,57.2,40.5,59.5,47.1,52.9,55.3,44.7,5000+,2025-04-23 09:41:37
Unilever UK Limited,10890,19.6,15.8,46.2,37.9,59.7,51.4,37.2,62.8,40.5,59.5,47.3,52.7,60.8,39.2,5000+,2025-04-24 12:18:48
GlaxoSmithKline PLC,21200,24.8,20.9,53.4,44.7,66.8,58.1,33.7,66.3,36.9,63.1,44.2,55.8,63.4,36.6,5000+,2025-04-25 14:55:59
British Airways PLC,51101,21.3,17.6,49.5,40.8,63.1,55.4,46.7,53.3,44.2,55.8,51.9,48.1,62.5,37.5,5000+,2025-04-26 16:32:11
J Sainsbury PLC,47110,13.1,9.6,36.4,28.9,52.7,46.1,41.3,58.7,39.8,60.2,46.4,53.6,55.8,44.2,5000+,2025-04-27 08:19:22
Next PLC,47710,17.5,13.7,42.8,34.2,57.3,49.6,38.4,61.6,36.1,63.9,45.7,54.3,59.2,40.8,5000+,2025-04-28 10:57:33
Tesco PLC,47110,9.7,6.3,24.1,19.8,43.5,39.2,44.6,55.4,42.1,57.9,47.3,52.7,54.8,45.2,5000+,2025-04-29 13:44:44
John Lewis PLC,47990,15.2,11.8,38.7,30.4,54.9,47.2,40.1,59.9,37.8,62.2,48.5,51.5,57.3,42.7,5000+,2025-04-30 15:31:55
Aviva PLC,65120,30.1,26.4,64.2,48.9,74.6,62.1,28.7,71.3,31.5,68.5,37.4,62.6,68.7,31.3,5000+,2025-05-01 07:12:06
RBS PLC,64191,34.2,30.5,70.8,54.3,81.2,67.8,27.3,72.7,29.8,70.2,35.1,64.9,69.4,30.6,5000+,2025-05-02 09:58:17
Diageo PLC,11050,23.7,19.8,51.6,42.3,65.4,56.9,36.2,63.8,39.1,60.9,46.7,53.3,62.1,37.9,5000+,2025-05-03 12:35:28
BSkyB Limited,61300,26.8,22.9,57.3,45.1,69.8,57.5,34.1,65.9,36.8,63.2,43.9,56.1,64.2,35.8,5000+,2025-05-04 14:22:39
Network Rail Limited,52210,25.4,21.6,55.7,43.8,68.2,56.7,35.8,64.2,38.4,61.6,45.3,54.7,63.9,36.1,5000+,2025-05-05 16:09:50
BAE Systems PLC,25110,28.9,24.1,60.5,47.2,72.8,60.3,31.2,68.8,34.6,65.4,41.7,58.3,66.8,33.2,5000+,2025-05-06 08:46:01
WPP Group PLC,73110,29.6,25.8,62.1,49.7,74.3,62.8,29.5,70.5,32.7,67.3,38.9,61.1,68.2,31.8,5000+,2025-05-07 10:33:12
Centrica PLC,35230,26.1,22.3,56.8,44.5,69.1,57.6,34.7,65.3,37.5,62.5,44.6,55.4,64.1,35.9,5000+,2025-05-08 13:20:23
Compass Group PLC,56210,20.4,16.7,47.2,38.6,61.5,53.7,41.3,58.7,44.1,55.9,50.8,49.2,59.6,40.4,5000+,2025-05-09 15:07:34
Tesco Personal Finance PLC,64191,18.7,14.9,44.6,35.8,58.9,50.4,36.8,63.2,39.4,60.6,48.2,51.8,61.3,38.7,1000-4999,2025-05-10 07:48:45
Serco Limited,84230,24.3,20.5,52.9,43.6,66.7,58.2,37.1,62.9,40.3,59.7,47.5,52.5,61.8,38.2,5000+,2025-05-11 09:34:56
Capita PLC,82200,27.5,23.7,58.9,46.3,70.8,59.5,32.6,67.4,35.8,64.2,43.1,56.9,65.7,34.3,5000+,2025-05-12 12:11:07
G4S PLC,80100,23.8,19.9,53.1,43.8,67.2,58.6,38.4,61.6,41.7,58.3,48.9,51.1,62.4,37.6,5000+,2025-05-13 14:58:18
Atkins Limited,71111,25.9,22.1,56.2,44.9,68.5,57.1,33.9,66.1,36.7,63.3,45.2,54.8,64.6,35.4,5000+,2025-05-14 16:45:29
Mitie Group PLC,81210,21.6,17.8,48.7,39.5,62.8,54.3,40.2,59.8,43.1,56.9,49.6,50.4,60.7,39.3,5000+,2025-05-15 08:22:30
KPMG UK LLP,69201,31.7,28.0,67.4,52.1,77.8,65.2,26.8,73.2,29.4,70.6,36.2,63.8,69.8,30.2,5000+,2025-05-16 10:09:41
PwC LLP,69201,32.4,28.7,68.9,53.6,79.1,66.5,25.9,74.1,28.7,71.3,35.4,64.6,70.5,29.5,5000+,2025-05-17 12:56:52
Deloitte LLP,69201,31.1,27.5,66.1,50.8,76.4,64.7,27.6,72.4,30.2,69.8,37.1,62.9,68.9,31.1,5000+,2025-05-18 14:43:03
