EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
BRITISH TELECOMMUNICATIONS PLC,61900,14.8,11.2,45.7,22.1,32.5,28.3,41.2,58.8,38.7,61.3,45.1,54.9,62.3,37.7,5000+,2025-04-05 09:22:15
TESCO STORES LIMITED,"47110,47190",8.2,5.6,28.4,15.7,21.3,18.9,47.8,52.2,44.3,55.7,49.2,50.8,58.1,41.9,5000+,2025-04-06 11:15:33
NATIONAL HEALTH SERVICE TRUST,86101,22.3,18.9,58.2,41.5,12.7,8.3,18.4,81.6,22.1,77.9,28.5,71.5,45.2,54.8,10000+,2025-04-07 14:30:22
BARCLAYS BANK UK PLC,64191,32.1,28.7,68.9,52.3,78.2,65.4,35.7,64.3,42.1,57.9,58.3,41.7,72.6,27.4,5000+,2025-04-08 16:45:12
J SAINSBURY PLC,47110,12.5,9.8,35.2,21.4,25.6,22.1,44.2,55.8,41.3,58.7,48.9,51.1,61.5,38.5,5000+,2025-04-09 10:18:44
MARKS AND SPENCER PLC,47190,15.7,12.3,42.8,28.5,28.7,24.3,39.6,60.4,36.8,63.2,44.7,55.3,59.2,40.8,5000+,2025-04-10 12:22:11
MORRONS SUPERMARKETS PLC,47110,11.4,8.2,31.7,18.9,23.1,20.4,46.1,53.9,43.2,56.8,47.5,52.5,60.3,39.7,5000+,2025-04-11 15:33:28
LLOYDS BANK PLC,64191,29.8,25.4,65.7,48.2,75.3,62.8,38.2,61.8,45.6,54.4,61.9,38.1,74.1,25.9,5000+,2025-04-12 08:55:17
ROYAL MAIL PLC,53201,18.6,14.2,48.3,31.7,35.4,29.8,42.7,57.3,39.5,60.5,48.2,51.8,63.4,36.6,5000+,2025-04-13 13:11:42
BRITISH AIRWAYS PLC,51101,26.4,22.1,59.7,42.8,68.5,55.2,33.9,66.1,40.7,59.3,54.8,45.2,71.3,28.7,5000+,2025-04-14 17:28:59
VODAFONE LIMITED,61900,16.9,13.5,44.2,27.8,30.1,26.4,40.5,59.5,37.8,62.2,46.3,53.7,61.8,38.2,5000+,2025-04-15 09:44:33
SHELL UK LIMITED,06100,28.7,24.3,62.5,45.7,72.8,59.1,36.4,63.6,43.9,56.1,59.7,40.3,73.5,26.5,5000+,2025-04-16 11:57:21
BP PLC,06100,27.2,23.8,61.3,44.2,71.5,57.8,37.1,62.9,44.6,55.4,60.2,39.8,72.9,27.1,5000+,2025-04-17 14:12:08
UNILEVER UK LIMITED,10890,19.5,16.1,49.7,33.2,36.8,31.5,41.3,58.7,38.9,61.1,47.6,52.4,64.2,35.8,5000+,2025-04-18 16:25:45
ROLLS-ROYCE PLC,30300,24.8,20.5,56.9,40.1,65.2,52.7,34.6,65.4,41.8,58.2,55.3,44.7,70.8,29.2,5000+,2025-04-19 10:38:12
ASTON MARTIN LIMITED,29100,31.2,27.6,67.4,50.8,74.6,61.3,32.8,67.2,39.5,60.5,57.9,42.1,73.7,26.3,1000-4999,2025-04-20 12:51:29
JAGUAR LAND ROVER LIMITED,29100,29.1,25.7,64.8,47.3,71.2,58.5,35.7,64.3,42.4,57.6,58.1,41.9,72.4,27.6,5000+,2025-04-21 15:04:36
BMW UK LIMITED,45111,25.6,21.9,58.3,41.7,67.8,54.9,37.2,62.8,44.1,55.9,56.7,43.3,71.5,28.5,5000+,2025-04-22 08:17:43
MERcedes-benz uk limited,45111,26.8,23.2,59.6,43.1,69.1,56.4,36.5,63.5,43.6,56.4,57.3,42.7,72.1,27.9,5000+,2025-04-23 11:30:17
JOHN LEWIS PARTNERSHIP PLC,47190,13.2,10.4,36.8,23.1,26.4,22.7,43.9,56.1,40.8,59.2,47.3,52.7,60.9,39.1,5000+,2025-04-24 13:43:28
