EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Barclays Bank UK PLC,64110,32.1,26.8,68.5,45.2,78.3,65.9,31.2,68.8,28.4,71.6,35.7,64.3,62.1,37.9,5000+,2025-03-28 09:15:22
Tesco Stores Limited,47110,8.9,3.2,42.7,21.8,45.6,41.2,46.3,53.7,44.1,55.9,48.9,51.1,55.8,44.2,5000+,2025-04-02 11:30:45
NHS England,86101,22.4,18.6,14.2,8.9,12.3,15.7,21.5,78.5,19.8,80.2,25.4,74.6,42.1,57.9,5000+,2025-03-15 14:22:18
BP Oil UK Limited,06100,28.7,22.3,55.9,38.4,71.2,58.3,18.9,81.1,22.7,77.3,34.5,65.5,68.4,31.6,5000+,2025-04-05 16:45:33
Marks & Spencer PLC,47710,12.3,6.8,35.2,18.9,38.7,34.1,41.2,58.8,39.6,60.4,44.3,55.7,52.9,47.1,5000+,2025-03-29 10:18:55
Barchester Healthcare Limited,87100,15.8,9.4,22.1,12.6,8.9,11.2,16.7,83.3,14.2,85.8,21.5,78.5,38.4,61.6,1000-4999,2025-04-01 13:27:41
HSBC UK Bank PLC,64110,38.2,31.5,72.8,54.3,81.6,69.2,24.8,75.2,27.3,72.7,41.9,58.1,71.5,28.5,5000+,2025-03-30 08:55:12
Amazon UK Services Limited,96090,18.7,11.2,48.3,29.7,52.1,47.8,58.9,41.1,56.4,43.6,61.2,38.8,72.5,27.5,5000+,2025-04-03 15:42:19
Sainsbury's Supermarkets Limited,47110,9.1,4.7,38.5,19.2,41.3,38.9,44.7,55.3,42.8,57.2,46.5,53.5,54.2,45.8,5000+,2025-03-25 12:33:47
PwC UK,69201,33.8,27.2,58.7,41.3,74.2,63.8,29.1,70.9,31.6,68.4,43.7,56.3,68.9,31.1,5000+,2025-04-04 09:20:34
Asda Stores Limited,47110,7.8,2.1,35.9,15.4,39.7,36.2,47.8,52.2,45.3,54.7,49.1,50.9,56.7,43.3,5000+,2025-03-31 16:18:22
KPMG UK LLP,69201,35.4,28.9,61.2,43.8,76.5,65.1,26.7,73.3,29.4,70.6,45.2,54.8,71.3,28.7,5000+,2025-04-02 14:55:48
Deloitte UK,69201,32.6,25.8,59.4,40.7,75.8,64.2,28.3,71.7,30.9,69.1,44.6,55.4,70.2,29.8,5000+,2025-03-27 11:08:15
EY UK,69201,34.1,27.5,60.8,42.1,77.3,66.5,27.5,72.5,29.8,70.2,46.1,53.9,69.7,30.3,5000+,2025-04-05 13:22:57
Morrisons Supermarkets PLC,47110,8.6,3.8,37.2,17.5,40.1,37.4,45.9,54.1,43.7,56.3,47.8,52.2,55.4,44.6,5000+,2025-03-28 17:40:21
Virgin Atlantic Airways Limited,51102,26.3,19.7,52.8,34.2,68.5,57.9,32.4,67.6,35.1,64.9,48.7,51.3,65.8,34.2,1000-4999,2025-04-01 10:15:33
John Lewis Partnership PLC,47190,13.2,7.9,31.6,16.8,35.4,32.7,38.9,61.1,37.2,62.8,42.5,57.5,51.3,48.7,5000+,2025-03-30 15:48:29
Boots UK Limited,47730,16.4,10.2,28.9,15.3,31.8,29.7,25.6,74.4,23.9,76.1,29.4,70.6,45.7,54.3,5000+,2025-04-03 12:25:44
Rolls-Royce PLC,28150,24.8,18.2,46.7,28.3,65.9,54.2,20.7,79.3,23.5,76.5,38.2,61.8,62.4,37.6,5000+,2025-03-26 09:33:17
BT Group PLC,61100,19.5,13.1,41.8,23.7,48.2,43.6,33.1,66.9,35.8,64.2,46.3,53.7,59.7,40.3,5000+,2025-04-04 16:50:38
J Sainsbury PLC,47110,9.3,4.5,36.7,18.1,39.8,37.2,43.5,56.5,41.9,58.1,45.7,54.3,53.8,46.2,5000+,2025-03-29 14:12:55
Lloyds Banking Group PLC,64110,31.7,25.4,65.3,47.8,76.8,64.5,26.4,73.6,28.9,71.1,40.7,59.3,67.2,32.8,5000+,2025-04-02 11:07:22
NatWest Group PLC,64110,30.2,24.1,63.5,45.9,74.6,62.3,27.8,72.2,30.5,69.5,42.1,57.9,65.4,34.6,5000+,2025-03-31 13:44:08
Standard Chartered Bank,64110,33.9,27.8,69.2,51.6,79.3,67.8,25.1,74.9,27.9,72.1,41.3,58.7,69.8,30.2,5000+,2025-04-05 15:28:11
Bupa Insurance Limited,65120,22.6,16.3,38.5,21.7,43.9,39.2,28.7,71.3,31.4,68.6,44.2,55.8,58.6,41.4,1000-4999,2025-03-27 12:19:45
WPP Group PLC,73110,25.8,19.4,54.7,36.2,69.8,58.1,30.5,69.5,33.2,66.8,47.9,52.1,64.3,35.7,5000+,2025-04-01 16:37:22
Unilever UK Limited,10890,18.3,12.7,43.2,25.1,50.7,45.3,35.4,64.6,38.1,61.9,49.6,50.4,61.8,38.2,5000+,2025-03-28 14:55:33
Shell UK Limited,06100,27.5,21.8,52.9,34.6,68.4,56.7,19.8,80.2,22.6,77.4,36.9,63.1,63.7,36.3,5000+,2025-04-03 09:48:17
BP Alternative Energy Limited,35110,26.9,20.4,51.3,32.8,66.7,54.9,21.3,78.7,24.1,75.9,38.4,61.6,62.1,37.9,1000-4999,2025-03-30 11:22:44
British Airways PLC,51102,23.7,17.1,49.2,30.5,63.8,52.4,29.6,70.4,32.3,67.7,45.1,54.9,61.5,38.5,5000+,2025-04-04 13:15:28
Tesco Bank PLC,64110,21.4,15.2,44.6,26.3,52.1,46.8,31.8,68.2,34.5,65.5,47.2,52.8,59.4,40.6,1000-4999,2025-03-26 15:33:51
Santander UK PLC,64110,29.8,23.5,62.7,44.1,73.5,61.2,28.3,71.7,30.9,69.1,43.7,56.3,66.8,33.2,5000+,2025-04-02 17:48:22
Aviva PLC,65120,24.1,17.8,47.3,29.6,58.2,49.7,26.9,73.1,29.6,70.4,42.8,57.2,61.5,38.5,5000+,2025-03-31 10:29:45
Legal & General Group PLC,65120,26.3,19.9,50.7,32.4,64.9,53.1,25.4,74.6,28.2,71.8,41.5,58.5,63.2,36.8,5000+,2025-04-05 12:44:18
Prudential PLC,65120,28.7,22.1,55.4,37.8,70.1,58.6,23.7,76.3,26.5,73.5,39.8,60.2,66.4,33.6,5000+,2025-03-27 16:17:33
AstraZeneca UK Limited,21200,19.8,13.5,42.1,24.2,49.6,44.3,33.2,66.8,35.9,64.1,48.4,51.6,60.7,39.3,5000+,2025-04-01 14:52:09
GlaxoSmithKline PLC,21200,21.2,15.1,45.3,27.5,53.8,47.2,30.4,69.6,33.1,66.9,46.7,53.3,58.9,41.1,5000+,2025-03-29 13:38:27
Diageo PLC,11050,16.9,11.3,38.7,21.4,44.2,39.8,36.5,63.5,39.2,60.8,50.1,49.9,57.3,42.7,5000+,2025-04-03 16:25:44
British American Tobacco PLC,12000,23.4,17.2,48.9,31.2,62.7,51.3,28.1,71.9,30.8,69.2,44.6,55.4,62.8,37.2,5000+,2025-03-28 11:14:55
Vodafone Group PLC,61100,20.7,14.6,43.5,25.9,51.3,45.7,32.8,67.2,35.5,64.5,47.9,52.1,59.6,40.4,5000+,2025-04-04 15:07:22
Sky UK Limited,60200,22.1,16.3,46.2,28.7,56.4,48.9,29.7,70.3,32.4,67.6,45.3,54.7,61.2,38.8,5000+,2025-03-30 12:33:18
ITV PLC,59112,18.6,12.9,40.8,23.1,47.5,42.3,34.1,65.9,36.8,63.2,49.2,50.8,58.4,41.6,1000-4999,2025-04-02 13:49:45
BBC,60100,11.2,6.8,24.7,12.3,28.1,25.4,39.2,60.8,41.5,58.5,46.7,53.3,52.9,47.1,5000+,2025-03-31 15:21:37
Channel Four Television Corporation,59112,15.3,9.7,32.4,16.8,36.9,33.1,30.5,69.5,33.2,66.8,45.8,54.2,56.7,43.3,1000-4999,2025-04-05 10:38:22
Network Rail Limited,49100,14.7,9.1,29.8,15.2,33.6,30.4,25.9,74.1,28.6,71.4,42.3,57.7,54.2,45.8,5000+,2025-03-26 11:47:53
Royal Mail PLC,53100,17.2,11.6,35.7,19.4,40.1,36.8,38.4,61.6,41.1,58.9,48.5,51.5,57.9,42.1,5000+,2025-04-03 14:16:28
National Grid PLC,35110,22.8,16.5,47.1,29.8,57.3,46.9,24.6,75.4,27.3,72.7,40.8,59.2,62.5,37.5,5000+,2025-03-29 16:58:11
Centrica PLC,35110,24.5,18.2,49.6,32.1,61.7,50.4,26.1,73.9,28.8,71.2,42.5,57.5,64.1,35.9,5000+,2025-04-01 17:32:45
BARCLAYS BANK UK PLC,"64191, 64209",32.1,28.5,68.4,45.2,78.2,65.9,35.2,64.8,42.1,57.9,48.3,51.7,65.8,34.2,5000-19999,2025-04-05 09:22:17
TESCO STORES LIMITED,"47110, 47220",8.2,5.1,22.7,18.9,12.4,9.8,45.6,54.4,48.2,51.8,52.1,47.9,58.3,41.7,20000+,2025-04-06 11:15:33
NATIONAL HEALTH SERVICE TRUSTS,"86101, 86210",14.7,12.3,41.6,38.2,28.5,31.7,22.4,77.6,19.8,80.2,25.7,74.3,42.1,57.9,20000+,2025-04-07 08:45:12
BP OIL UK LIMITED,"06100, 19201",24.9,19.7,58.3,42.1,72.8,54.2,18.5,81.5,29.4,70.6,41.2,58.8,69.7,30.3,5000-19999,2025-04-08 14:30:25
SAINSBURY'S SUPERMARKETS LTD,"47110, 47290",6.8,2.4,19.5,14.2,15.7,11.3,48.9,51.1,51.6,48.4,55.2,44.8,62.1,37.9,20000+,2025-04-09 16:18:44
BRITISH AIRWAYS PLC,"51101, 51102",35.6,31.2,71.8,52.4,68.5,58.9,31.7,68.3,38.2,61.8,51.4,48.6,72.9,27.1,10000-19999,2025-04-10 10:22:58
HSBC UK BANK PLC,"64191, 64205",29.3,25.7,62.1,48.9,74.6,63.2,28.4,71.6,35.8,64.2,46.7,53.3,68.5,31.5,20000+,2025-04-11 12:45:31
MARKS & SPENCER PLC,"47110, 47710",12.5,8.9,31.7,24.6,21.8,16.4,41.2,58.8,44.7,55.3,49.3,50.7,61.8,38.2,50000+,2025-04-12 09:30:15
ROLLS-ROYCE PLC,"28110, 30300",18.2,14.6,45.3,32.8,56.7,42.1,24.6,75.4,31.9,68.1,42.8,57.2,64.3,35.7,10000-19999,2025-04-13 15:20:42
LONDON UNDERGROUND LIMITED,"49311, 49319",19.8,16.2,38.4,29.7,45.2,34.8,38.5,61.5,42.1,57.9,48.6,51.4,59.7,40.3,10000-19999,2025-04-14 11:10:28
VODAFONE UK LIMITED,"61200, 61900",21.4,17.8,52.9,38.4,59.3,46.7,32.1,67.9,39.7,60.3,48.2,51.8,65.4,34.6,5000-19999,2025-04-15 13:55:19
PRICEWATERHOUSECOOPERS LLP,"69101, 69201",34.7,30.1,69.8,51.2,81.5,68.4,22.8,77.2,29.6,70.4,44.3,55.7,71.2,28.8,10000-19999,2025-04-16 08:40:33
DELOITTE LLP,"69101, 69200",31.2,27.5,65.4,47.8,77.9,65.1,25.7,74.3,32.4,67.6,41.8,58.2,69.7,30.3,15000-19999,2025-04-17 16:25:47
KPMG LLP,"69101, 69201",33.8,29.4,67.2,49.6,79.3,66.8,23.9,76.1,30.1,69.9,43.5,56.5,70.4,29.6,12000-19999,2025-04-18 09:15:22
ERNST & YOUNG LLP,"69101, 69201",32.5,28.7,66.1,48.3,78.2,65.4,24.6,75.4,31.2,68.8,42.7,57.3,69.8,30.2,13000-19999,2025-04-19 14:50:36
BT GROUP PLC,"61100, 61200",16.9,13.2,42.7,31.5,51.4,38.9,29.8,70.2,36.5,63.5,45.2,54.8,63.7,36.3,20000+,2025-04-20 10:35:51
ROYAL MAIL PLC,"53100, 53201",13.7,10.4,35.2,26.8,42.1,31.6,36.4,63.6,41.8,58.2,48.7,51.3,59.2,40.8,10000-19999,2025-04-21 12:20:14
SHELL UK LIMITED,"06100, 19201",26.8,22.1,59.7,44.3,70.2,55.8,21.3,78.7,33.5,66.5,44.9,55.1,67.4,32.6,5000-19999,2025-4-22 08:55:27
UNILEVER UK LIMITED,"10890, 20590",15.4,11.8,38.9,28.7,48.6,35.2,33.7,66.3,40.2,59.8,47.5,52.5,62.1,37.9,5000-19999,2025-04-23 15:40:42
DIAGEO PLC,"11010, 46342",17.6,14.1,44.2,33.5,53.8,40.7,30.2,69.8,37.4,62.6,46.9,53.1,64.6,35.4,5000-19999,2025-04-24 11:25:58
GLAXOSMITHKLINE PLC,"21100, 21200",19.3,15.7,46.8,35.2,55.4,42.1,27.8,72.2,34.6,65.4,45.3,54.7,65.9,34.1,10000-19999,2025-04-25 13:10:19
ASTRAZENECA UK LIMITED,"21100, 21200",20.1,16.5,48.2,36.9,57.1,43.8,26.4,73.6,33.7,66.3,44.8,55.2,66.7,33.3,5000-19999,2025-04-26 09:45:33
JOHNSON & JOHNSON UK LIMITED,"21100, 32500",18.7,15.2,45.6,34.8,54.2,41.9,28.5,71.5,35.8,64.2,46.1,53.9,65.2,34.8,5000-19999,2025-04-27 16:30:47
PFIZER UK LIMITED,"21100, 46460",21.5,17.9,49.7,38.4,58.3,45.1,25.9,74.1,32.8,67.2,43.6,56.4,67.8,32.2,2500-4999,2025-04-28 08:20:14
NOVARTIS UK LIMITED,"21100, 46460",22.3,18.7,51.2,39.8,59.7,46.5,24.7,75.3,31.9,68.1,42.7,57.3,68.4,31.6,2500-4999,2025-04-29 12:55:28
ROCHE UK LIMITED,"21100, 46460",23.1,19.5,52.6,41.2,61.1,47.9,23.5,76.5,30.7,69.3,41.8,58.2,69.2,30.8,2000-2499,2025-04-30 14:40:51
SANOFI UK LIMITED,"21100, 46460",20.9,17.3,48.9,37.5,57.8,44.6,26.3,73.7,33.4,66.6,44.2,55.8,67.1,32.9,3000-3999,2025-05-01 09:25:35
AON UK LIMITED,"66220, 66290",28.7,24.3,61.5,46.2,73.4,58.7,29.6,70.4,36.8,63.2,47.5,52.5,68.3,31.7,5000-9999,2025-05-02 15:15:19
WILLIS TOWERS WATSON UK LIMITED,"66220, 66290",27.4,23.8,59.8,44.7,71.2,56.9,31.2,68.8,38.1,61.9,46.7,53.3,67.9,32.1,4000-4999,2025-05-03 11:00:42
MARSH UK LIMITED,"66220, 66290",26.8,23.2,58.4,43.1,69.8,55.3,32.7,67.3,39.4,60.6,45.8,54.2,66.7,33.3,3500-4499,2025-05-04 12:45:58
LLOYDS BANK PLC,"64191, 64205",25.9,22.1,56.7,41.8,68.2,53.7,33.5,66.5,40.7,59.3,44.9,55.1,65.4,34.6,20000+,2025-05-05 08:30:14
NATWEST GROUP PLC,"64191, 64205",26.3,22.5,57.2,42.3,68.9,54.1,32.8,67.2,39.9,60.1,45.2,54.8,65.8,34.2,15000-19999,2025-05-06 16:20:27
BARCLAYS PLC,"64191, 64209",30.8,27.2,65.3,48.7,76.1,62.5,26.4,73.6,33.7,66.3,43.8,56.2,69.5,30.5,20000+,2025-05-07 09:55:51
STANDARD CHARTERED PLC,"64191, 64205",29.5,25.9,63.1,47.2,74.3,61.8,27.9,72.1,35.2,64.8,44.6,55.4,68.2,31.8,12000-19999,2025-05-08 13:40:35
VIRGIN MEDIA LIMITED,"61100, 61200",19.7,16.1,43.5,32.8,52.7,39.4,31.6,68.4,38.9,61.1,47.3,52.7,64.8,35.2,8000-9999,2025-05-09 10:25:18
SKY UK LIMITED,"61100, 60200",18.4,14.8,41.2,30.5,49.8,36.7,34.2,65.8,41.3,58.7,48.6,51.4,63.9,36.1,10000-19999,2025-05-10 15:10:42
BBC UK LIMITED,"59111, 59112",11.2,7.6,32.4,23.1,38.7,27.5,39.8,60.2,44.2,55.8,51.3,48.7,58.6,41.4,15000-19999,2025-05-11 08:55:26
ITV PLC,"59111, 59112",13.8,10.2,36.7,26.4,43.2,31.8,37.1,62.9,42.5,57.5,49.7,50.3,61.2,38.8,5000-9999,2025-05-12 12:30:59
CHANNEL 4 UK LIMITED,"59111, 59112",12.5,8.9,34.1,24.7,40.6,29.2,38.4,61.6,43.1,56.9,50.2,49.8,59.7,40.3,2500-3499,2025-05-13 14:15:33
