EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Thameslink Rail Services Limited,49100,14.7,11.2,42.3,18.5,68.2,59.4,38.2,61.8,32.1,67.9,45.3,54.7,62.8,37.2,1000-4999,2025-01-15 09:22:33
Bristol Water Holdings PLC,36000,21.5,18.9,55.7,32.1,72.5,65.8,29.4,70.6,24.7,75.3,38.9,61.1,58.3,41.7,500-999,2024-11-28 14:17:52
Mersey Care NHS Trust,86101,16.8,13.4,38.9,22.7,61.3,58.7,34.5,65.5,28.9,71.1,41.2,58.8,55.7,44.3,1000-4999,2025-03-12 11:45:29
Northern Powergrid Operations Ltd,35140,19.2,16.5,48.3,28.9,75.1,68.4,31.8,68.2,27.5,72.5,44.6,55.4,61.9,38.1,1000-4999,2024-12-05 16:33:41
University of Winchester,85310,22.7,19.8,52.1,35.6,58.7,62.3,26.8,73.2,22.4,77.6,35.7,64.3,52.9,47.1,1000-4999,2025-02-20 10:18:55
Yorkshire Building Society,64191,28.3,25.7,68.4,45.2,71.8,74.2,23.1,76.9,19.6,80.4,32.8,67.2,49.5,50.5,1000-4999,2024-10-08 13:27:18
Royal Cornwall Hospitals NHS Trust,86101,15.9,12.6,35.2,19.8,59.4,56.1,36.7,63.3,30.2,69.8,43.5,56.5,54.2,45.8,500-999,2025-04-01 08:55:22
ScottishPower Energy Retail Ltd,35140,18.6,15.3,44.7,26.1,73.5,66.9,33.4,66.6,29.1,70.9,46.2,53.8,63.7,36.3,1000-4999,2024-11-14 15:42:07
Plymouth City Council,84110,17.2,14.8,39.5,21.3,62.8,59.7,35.1,64.9,29.6,70.4,42.3,57.7,56.4,43.6,1000-4999,2025-03-25 12:09:44
Boots UK Limited,47730,25.8,22.1,61.3,38.7,69.2,71.5,24.7,75.3,20.9,79.1,34.6,65.4,51.8,48.2,10000+,2024-09-30 09:31:28
Sheffield Teaching Hospitals NHS Trust,86101,14.3,11.7,33.8,17.2,57.9,54.3,37.8,62.2,31.4,68.6,44.7,55.3,53.1,46.9,1000-4999,2025-01-22 14:16:50
Lloyds Banking Group PLC,64191,31.5,28.9,75.2,52.3,74.6,77.1,21.8,78.2,18.2,81.8,30.4,69.6,47.3,52.7,10000+,2024-12-18 16:08:33
Glasgow City Council,84110,16.8,13.9,37.1,20.5,60.2,57.8,34.9,65.1,29.3,70.7,41.8,58.2,55.7,44.3,1000-4999,2025-02-11 11:22:47
National Express Group PLC,49390,20.4,17.6,46.8,29.3,70.1,67.5,30.7,69.3,26.2,73.8,43.1,56.9,60.4,39.6,1000-4999,2024-10-29 13:14:22
University of Sussex,85310,24.1,21.3,56.7,38.2,61.4,64.8,25.3,74.7,21.7,78.3,36.9,63.1,50.7,49.3,1000-4999,2025-03-19 15:48:59
Birmingham City Council,84110,18.5,15.7,41.3,23.9,63.7,61.2,32.8,67.2,28.1,71.9,40.5,59.5,57.2,42.8,1000-4999,2024-11-05 10:37:41
Aviva PLC,65120,29.7,26.8,71.5,48.9,73.2,75.6,22.4,77.6,19.1,80.9,31.7,68.3,48.6,51.4,10000+,2025-01-08 12:25:18
Nottingham University Hospitals NHS Trust,86101,15.2,12.4,34.1,18.7,58.6,55.9,36.2,63.8,30.8,69.2,43.4,56.6,53.9,46.1,1000-4999,2025-04-07 09:12:35
Marks and Spencer PLC,47110,26.4,23.8,63.1,40.5,70.8,72.9,23.5,76.5,20.2,79.8,33.7,66.3,50.2,49.8,10000+,2024-12-02 14:53:27
Coventry City Council,84110,17.9,15.1,39.8,22.1,61.5,59.2,33.6,66.4,28.7,71.3,41.3,58.7,56.1,43.9,500-999,2025-02-26 16:41:08
Royal Mail Group PLC,53100,22.8,19.7,54.2,33.6,71.4,69.7,27.3,72.7,23.5,76.5,38.2,61.8,53.4,46.6,10000+,2024-10-15 11:28:44
University of Liverpool,85310,23.5,20.9,58.3,39.7,62.1,65.4,24.8,75.2,21.3,78.7,35.6,64.4,49.8,50.2,1000-4999,2025-03-31 13:35:22
Southern Water Services Limited,36000,20.7,18.2,47.5,29.8,69.7,67.1,29.9,70.1,25.6,74.4,42.7,57.3,59.2,40.8,1000-4999,2024-11-20 15:19:51
Barclays PLC,64191,32.8,30.1,76.9,54.7,75.3,78.2,20.7,79.3,17.4,82.6,29.8,70.2,46.1,53.9,10000+,2025-01-28 10:07:33
Cambridge University Hospitals NHS Trust,86101,13.8,11.1,31.5,16.4,56.2,52.7,38.4,61.6,32.1,67.9,45.2,54.8,52.3,47.7,1000-4999,2025-04-14 08:46:15
Tesco PLC,47110,27.1,24.6,65.8,42.3,72.1,74.5,22.9,77.1,19.7,80.3,32.4,67.6,49.3,50.7,10000+,2024-12-09 12:58:47
Leeds City Council,84110,19.3,16.5,43.2,25.7,64.9,62.4,31.5,68.5,27.2,72.8,39.7,60.3,58.5,41.5,1000-4999,2025-02-03 14:22:39
BT Group PLC,61100,25.6,22.9,62.4,39.8,70.5,72.1,24.1,75.9,20.8,79.2,34.3,65.7,51.7,48.3,10000+,2024-11-11 16:34:28
University of Manchester,85310,22.2,19.6,55.1,36.8,60.8,63.7,25.7,74.3,22.1,77.9,36.4,63.6,50.2,49.8,1000-4999,2025-03-05 11:51:42
