EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
BrightWave Energy Ltd,35.1|35.2,11.2,9.8,22.4,18.7,78.5,65.2,55.3,44.7,58.1,41.9,62.3,37.7,68.9,31.1,Medium,2024-11-15
NorthGate Retail Group,47.1|47.9,7.3,5.9,15.2,12.0,71.2,58.9,52.1,47.9,54.6,45.4,59.2,40.8,64.5,35.5,Large,2025-01-08
CivicTrust Financial,64.1|64.9,19.8,17.5,35.6,30.1,85.4,70.3,48.7,51.3,52.0,48.0,57.8,42.2,63.1,36.9,Medium,2024-12-03
Meridian Health Partners,86.1|86.2,14.6,12.4,28.9,24.7,81.0,68.5,44.2,55.8,47.3,52.7,53.5,46.5,60.2,39.8,Large,2025-02-20
TerraFirma Construction,41.1|42.1,9.7,7.2,18.3,14.9,74.6,61.2,61.4,38.6,63.8,36.2,67.1,32.9,71.5,28.5,Medium,2024-10-30
LumenEye Media,60.1|60.2,16.3,14.1,30.5,26.2,82.7,69.8,46.9,53.1,49.7,50.3,54.9,45.1,61.4,38.6,Small,2025-03-12
SwiftFleet Logistics,49.1|49.2,8.9,6.5,16.8,13.4,72.3,59.7,57.2,42.8,59.6,40.4,63.1,36.9,67.8,32.2,Large,2024-11-25
Aurora Hospitality Group,55.1|55.9,13.5,11.3,25.7,21.8,79.1,66.4,50.6,49.4,53.2,46.8,58.4,41.6,64.7,35.3,Medium,2025-01-30
NovaTech Solutions,62.1|63.1,21.4,19.2,38.9,34.1,87.5,73.2,45.3,54.7,48.1,51.9,53.9,46.1,59.6,40.4,Large,2024-12-18
WillowBrook Care Homes,87.1|87.3,6.8,4.5,12.1,9.3,67.8,55.1,41.5,58.5,44.2,55.8,48.7,51.3,54.9,45.1,Medium,2025-02-05
IronBridge Manufacturing,25.1|25.2,10.5,8.1,19.6,16.2,75.9,62.5,59.7,40.3,62.1,37.9,65.4,34.6,69.2,30.8,Large,2024-10-14
BlueOrbit Telecom,61.1|61.2,18.7,16.5,33.2,28.9,84.3,71.1,47.5,52.5,50.3,49.7,55.6,44.4,62.0,38.0,Medium,2025-03-28
GreenLeaf Supermarkets,47.1|46.1,7.9,5.6,14.7,11.2,70.1,57.4,53.8,46.2,56.3,43.7,60.1,39.9,66.4,33.6,Large,2024-11-07
Pinnacle Legal Services,69.1|69.2,22.1,20.0,40.5,36.2,88.9,75.7,43.6,56.4,46.8,53.2,52.7,47.3,58.9,41.1,Small,2025-01-22
SilverStream IT,62.1|63.1,20.6,18.4,37.1,32.6,86.2,72.8,44.9,55.1,47.7,52.3,53.4,46.6,59.8,40.2,Medium,2024-12-27
RedRock Mining,05.1|06.1,12.3,9.8,23.7,19.4,77.2,63.8,63.5,36.5,66.0,34.0,69.3,30.7,72.8,27.2,Large,2025-02-14
Starlight Cinemas,59.1|59.2,15.0,12.8,28.1,23.9,80.5,67.3,49.2,50.8,52.0,48.0,57.2,42.8,63.5,36.5,Medium,2024-10-09
HarbourView Insurance,65.1|65.2,17.9,15.7,31.8,27.5,83.1,70.2,46.3,53.7,49.1,50.9,54.7,45.3,61.2,38.8,Large,2025-03-05
MapleLeaf Academies,85.1|85.2,9.2,6.9,17.5,14.1,73.4,60.1,42.8,57.2,45.5,54.5,50.0,50.0,55.6,44.4,Medium,2024-11-20
VelocityAuto Parts,45.1|45.2,8.4,6.0,15.6,12.2,71.5,58.8,56.0,44.0,58.4,41.6,62.7,37.3,68.1,31.9,Large,2025-01-15
ClearStream Water,36.1|36.2,10.8,8.5,20.1,16.7,76.3,62.9,54.7,45.3,57.1,42.9,60.8,39.2,66.2,33.8,Medium,2024-12-10
ElliotBrown Fashion,14.1|14.2,16.6,14.4,29.8,25.5,81.8,68.7,51.3,48.7,54.1,45.9,59.3,40.7,65.0,35.0,Small,2025-02-28
SummitPeak Advisory,70.1|70.2,23.5,21.3,42.1,37.8,90.2,77.0,42.1,57.9,45.4,54.6,51.3,48.7,57.5,42.5,Medium,2024-10-25
RiverStone Logistics,49.1|49.3,9.1,6.7,17.2,13.8,73.1,60.4,55.5,44.5,57.9,42.1,61.4,38.6,66.9,33.1,Large,2025-03-19
ZenithBio Research,72.1|72.2,24.8,22.6,44.3,39.9,91.5,78.2,40.7,59.3,44.0,56.0,49.8,50.2,56.1,43.9,Small,2024-11-12
HorizonCloud Services,63.1|63.2,19.5,17.3,34.7,30.4,85.0,71.8,45.8,54.2,48.6,51.4,54.4,45.6,60.7,39.3,Large,2025-01-04
OakBridge Housing,68.1|68.2,13.7,11.5,26.4,22.2,78.3,65.6,47.4,52.6,50.2,49.8,55.5,44.5,61.8,38.2,Medium,2024-12-22
PureForm Pharma,21.1|21.2,18.2,16.0,32.9,28.6,84.7,71.5,46.6,53.4,49.4,50.6,55.1,44.9,61.5,38.5,Large,2025-02-11
