EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Thames Water Utilities Ltd,36000,14.7,16.2,34.5,42.1,12.3,8.7,58.0,42.0,62.0,38.0,68.0,32.0,72.0,28.0,Greater than 20k,2024-04-01
Barclays Bank PLC,64191,32.1,28.5,67.3,54.2,78.5,45.2,45.0,55.0,48.0,52.0,55.0,45.0,68.0,32.0,Greater than 20k,2024-04-15
J Sainsbury PLC,47110,5.2,3.8,18.7,12.4,29.6,25.1,42.0,58.0,44.0,56.0,48.0,52.0,52.0,48.0,Greater than 20k,2024-04-22
Rolls-Royce PLC,30300,18.9,21.3,45.6,38.9,65.2,42.8,38.0,62.0,42.0,58.0,48.0,52.0,62.0,38.0,Greater than 20k,2024-05-01
Tesco PLC,47110,8.7,6.2,22.1,15.8,35.2,28.9,45.0,55.0,47.0,53.0,51.0,49.0,56.0,44.0,Greater than 20k,2024-05-08
HSBC Bank PLC,64191,37.2,33.8,71.4,58.9,82.1,48.6,42.0,58.0,46.0,54.0,52.0,48.0,72.0,28.0,Greater than 20k,2024-05-15
BP PLC,06100,22.4,19.7,52.3,41.8,68.7,38.2,35.0,65.0,38.0,62.0,45.0,55.0,67.0,33.0,Greater than 20k,2024-05-22
BT Group PLC,61100,19.8,17.2,41.5,32.7,59.3,41.8,43.0,57.0,46.0,54.0,52.0,48.0,63.0,37.0,Greater than 20k,2024-06-01
AstraZeneca PLC,21200,13.2,9.6,28.4,19.2,45.8,32.7,38.0,62.0,41.0,59.0,46.0,54.0,58.0,42.0,Greater than 20k,2024-06-08
Unilever PLC,10890,9.8,7.5,24.6,16.3,38.2,29.8,40.0,60.0,43.0,57.0,48.0,52.0,55.0,45.0,Greater than 20k,2024-06-15
Royal Mail PLC,53201,11.7,9.3,31.2,22.8,48.5,35.2,52.0,48.0,55.0,45.0,59.0,41.0,64.0,36.0,Greater than 20k,2024-06-22
Lloyds Banking Group PLC,64191,33.5,29.8,68.7,55.4,79.2,46.8,41.0,59.0,44.0,56.0,49.0,51.0,69.0,31.0,Greater than 20k,2024-07-01
Vodafone Group PLC,61100,16.3,13.9,38.7,27.5,56.9,36.4,44.0,56.0,47.0,53.0,52.0,48.0,61.0,39.0,Greater than 20k,2024-07-08
National Grid PLC,35110,21.6,18.9,46.2,35.1,64.8,39.7,37.0,63.0,40.0,60.0,46.0,54.0,65.0,35.0,Greater than 20k,2024-07-15
Shell UK Ltd,06100,24.1,21.8,55.7,44.3,71.2,41.5,34.0,66.0,37.0,63.0,43.0,57.0,68.0,32.0,Greater than 20k,2024-07-22
Marks & Spencer PLC,47190,7.3,5.1,19.8,13.2,31.5,24.7,39.0,61.0,41.0,59.0,45.0,55.0,52.0,48.0,Greater than 20k,2024-08-01
BMW UK Manufacturing Ltd,29100,12.8,10.6,29.4,21.7,42.8,31.5,41.0,59.0,44.0,56.0,49.0,51.0,58.0,42.0,Greater than 20k,2024-08-08
Balfour Beatty PLC,42110,26.3,23.7,51.8,40.2,67.9,37.4,36.0,64.0,39.0,61.0,45.0,55.0,69.0,31.0,Greater than 20k,2024-08-15
Associated British Foods PLC,10890,8.9,6.7,23.1,16.5,36.2,27.8,38.0,62.0,40.0,60.0,44.0,56.0,53.0,47.0,Greater than 20k,2024-08-22
GlaxoSmithKline PLC,21200,15.7,12.4,32.8,24.1,49.3,33.6,39.0,61.0,42.0,58.0,47.0,53.0,59.0,41.0,Greater than 20k,2024-09-01
BHP Billiton PLC,07100,28.4,25.1,58.3,46.7,73.5,43.2,32.0,68.0,35.0,65.0,41.0,59.0,71.0,29.0,Greater than 20k,2024-09-08
Diageo PLC,11050,11.2,8.9,26.7,18.4,41.5,29.2,38.0,62.0,41.0,59.0,46.0,54.0,57.0,43.0,Greater than 20k,2024-09-15
Compass Group PLC,56210,6.5,4.8,17.3,11.9,28.7,21.4,44.0,56.0,46.0,54.0,50.0,50.0,54.0,46.0,Greater than 20k,2024-09-22
BAE Systems PLC,30300,17.6,15.2,39.8,29.6,58.4,35.7,40.0,60.0,43.0,57.0,48.0,52.0,62.0,38.0,Greater than 20k,2024-10-01
Severn Trent Water Ltd,36000,15.3,13.1,35.2,26.8,52.7,34.1,45.0,55.0,48.0,52.0,54.0,46.0,65.0,35.0,Greater than 20k,2024-10-08
Network Rail Ltd,49310,13.9,11.7,32.5,24.3,49.2,32.8,47.0,53.0,50.0,50.0,56.0,44.0,66.0,34.0,Greater than 20k,2024-10-15
WPP PLC,73110,25.7,22.4,54.9,43.2,69.8,40.5,35.0,65.0,38.0,62.0,44.0,56.0,67.0,33.0,Greater than 20k,2024-10-22
Aviva PLC,65120,29.8,26.5,62.1,49.8,74.3,44.7,38.0,62.0,41.0,59.0,47.0,53.0,68.0,32.0,Greater than 20k,2024-11-01
Legal & General Group PLC,65120,31.2,28.7,65.4,52.1,76.8,47.3,37.0,63.0,40.0,60.0,46.0,54.0,70.0,30.0,Greater than 20k,2024-11-08
Centrica PLC,35120,19.5,16.8,42.3,32.9,60.1,37.6,42.0,58.0,45.0,55.0,51.0,49.0,62.0,38.0,Greater than 20k,2024-11-15
Morrisons Supermarkets PLC,47110,6.8,4.9,18.6,12.7,30.4,22.8,41.0,59.0,43.0,57.0,47.0,53.0,53.0,47.0,Greater than 20k,2024-11-22
Next PLC,47710,9.4,7.2,24.8,16.1,37.9,27.5,37.0,63.0,39.0,61.0,43.0,57.0,54.0,46.0,Greater than 20k,2024-12-01
Rio Tinto PLC,07100,26.8,23.5,56.7,45.2,72.1,42.8,33.0,67.0,36.0,64.0,42.0,58.0,70.0,30.0,Greater than 20k,2024-12-08
Standard Chartered PLC,64191,35.4,32.1,69.8,56.5,80.7,49.2,40.0,60.0,43.0,57.0,49.0,51.0,71.0,29.0,Greater than 20k,2024-12-15
GKN Aerospace PLC,30300,16.9,14.3,37.2,28.5,55.3,34.7,43.0,57.0,46.0,54.0,51.0,49.0,60.0,40.0,Greater than 20k,2024-12-22
Kingfisher PLC,47520,12.4,9.8,29.7,21.3,44.6,30.8,39.0,61.0,42.0,58.0,47.0,53.0,56.0,44.0,Greater than 20k,2025-01-01
Asda Stores Ltd,47110,5.1,3.6,16.9,11.2,27.8,20.5,43.0,57.0,45.0,55.0,49.0,51.0,52.0,48.0,Greater than 20k,2025-01-08
Anglian Water Services Ltd,36000,13.8,11.4,32.1,24.6,48.7,31.2,46.0,54.0,49.0,51.0,55.0,45.0,64.0,36.0,Greater than 20k,2025-01-15
Capita PLC,82990,23.6,20.3,48.9,37.2,63.5,38.9,36.0,64.0,39.0,61.0,45.0,55.0,66.0,34.0,Greater than 20k,2025-01-22
Imperial Brands PLC,12000,14.7,11.9,34.6,25.8,51.2,33.4,40.0,60.0,43.0,57.0,48.0,52.0,59.0,41.0,Greater than 20k,2025-02-01
SSE PLC,35120,20.3,17.6,44.7,34.2,62.1,37.8,39.0,61.0,42.0,58.0,48.0,52.0,63.0,37.0,Greater than 20k,2025-02-08
Direct Line Insurance Group PLC,65120,27.9,24.6,59.2,47.5,71.4,43.7,37.0,63.0,40.0,60.0,46.0,54.0,67.0,33.0,Greater than 20k,2025-02-15
FirstGroup PLC,49110,15.2,12.8,35.9,27.1,53.6,34.2,48.0,52.0,51.0,49.0,57.0,43.0,65.0,35.0,Greater than 20k,2025-02-22
Land Securities Group PLC,68100,18.4,15.7,40.1,30.8,57.3,36.5,38.0,62.0,41.0,59.0,47.0,53.0,61.0,39.0,Greater than 20k,2025-03-01
Sainsbury's Bank PLC,64191,28.7,25.4,61.3,48.7,73.8,45.1,39.0,61.0,42.0,58.0,48.0,52.0,69.0,31.0,Greater than 20k,2025-03-08
Co-op Group Ltd,47110,7.6,5.3,20.4,14.1,33.7,25.9,40.0,60.0,42.0,58.0,46.0,54.0,53.0,47.0,Greater than 20k,2025-03-15
Experian PLC,62030,22.1,19.4,46.8,35.7,61.2,37.5,37.0,63.0,40.0,60.0,46.0,54.0,64.0,36.0,Greater than 20k,2025-03-22
Tesco Bank PLC,64191,29.5,26.2,63.1,50.4,75.2,46.8,38.0,62.0,41.0,59.0,47.0,53.0,68.0,32.0,Greater than 20k,2025-03-29
Whitbread PLC,55110,9.7,7.8,26.3,18.7,42.1,29.4,41.0,59.0,44.0,56.0,49.0,51.0,56.0,44.0,Greater than 20k,2025-04-01
Brighton Marine Services,"30,33",13.2,11.4,24.7,18.9,12.3,9.8,58.0,42.0,55.0,45.0,52.0,48.0,48.0,52.0,250 to 499,2024-11-03
Cumbrian Logistics Ltd,"49,52",9.8,7.2,16.5,12.1,15.6,13.2,52.0,48.0,50.0,50.0,48.0,52.0,45.0,55.0,500 to 999,2024-10-15
Derby Tech Solutions,"62,63",18.5,16.3,32.1,28.4,8.7,6.1,65.0,35.0,62.0,38.0,58.0,42.0,55.0,45.0,250 to 499,2025-01-12
Exeter Health Partners,86,22.1,19.7,38.6,34.2,6.3,4.5,68.0,32.0,65.0,35.0,60.0,40.0,57.0,43.0,1000 to 4999,2024-09-28
Glasgow Creative Studio,"90,91",14.6,12.8,26.3,22.7,10.4,8.9,55.0,45.0,53.0,47.0,50.0,50.0,47.0,53.0,250 to 499,2024-12-05
Hull Manufacturing Co,"10,11",11.3,9.5,20.8,17.2,18.9,15.6,54.0,46.0,52.0,48.0,49.0,51.0,46.0,54.0,500 to 999,2024-11-20
Ipswich Financial Group,"64,65",19.7,17.4,35.2,31.8,7.8,5.9,63.0,37.0,60.0,40.0,56.0,44.0,53.0,47.0,1000 to 4999,2025-02-14
Leeds Retail Chain,"45,46",16.2,14.1,28.9,25.3,11.2,9.4,59.0,41.0,56.0,44.0,53.0,47.0,50.0,50.0,250 to 499,2024-10-07
Manchester Legal Services,69,21.8,19.2,37.5,33.1,5.7,3.8,67.0,33.0,64.0,36.0,59.0,41.0,56.0,44.0,250 to 499,2024-12-22
Newcastle Food Processing,"10,12",12.4,10.6,22.1,18.7,16.3,13.8,56.0,44.0,54.0,46.0,51.0,49.0,48.0,52.0,500 to 999,2025-01-30
Norfolk Construction Ltd,"41,42",10.7,8.9,19.4,16.1,19.7,16.4,53.0,47.0,51.0,49.0,48.0,52.0,45.0,55.0,250 to 499,2024-11-11
Oxford Bio Sciences,"21,26",15.9,13.7,29.6,26.2,9.8,7.5,58.0,42.0,55.0,45.0,52.0,48.0,49.0,51.0,250 to 499,2024-09-15
Plymouth Hospitality Group,"55,56",17.3,15.2,31.4,27.8,8.1,6.3,61.0,39.0,58.0,42.0,54.0,46.0,51.0,49.0,500 to 999,2024-10-29
Portsmouth Energy Co,35,13.5,11.7,25.2,21.6,13.7,11.2,57.0,43.0,54.0,46.0,51.0,49.0,48.0,52.0,1000 to 4999,2025-02-03
Preston Automotive Services,"45,49",14.8,12.9,27.1,23.5,10.9,8.7,59.0,41.0,56.0,44.0,53.0,47.0,50.0,50.0,250 to 499,2024-12-17
Sheffield Metals Ltd,"24,25",11.6,9.8,21.3,17.9,17.2,14.6,55.0,45.0,53.0,47.0,50.0,50.0,47.0,53.0,500 to 999,2024-11-25
Southampton Media Group,"58,59",20.1,17.8,33.7,30.1,6.9,5.1,64.0,36.0,61.0,39.0,57.0,43.0,54.0,46.0,250 to 499,2025-01-08
Stoke Pharmaceuticals,21,16.7,14.5,30.8,27.2,9.2,7.3,60.0,40.0,57.0,43.0,54.0,46.0,51.0,49.0,1000 to 4999,2024-10-12
Swansea Education Trust,85,23.4,20.9,39.2,35.6,5.4,3.6,69.0,31.0,66.0,34.0,62.0,38.0,59.0,41.0,500 to 999,2024-09-05
Truro Tourism Board,"79,91",18.9,16.7,34.5,30.9,7.3,5.5,62.0,38.0,59.0,41.0,55.0,45.0,52.0,48.0,250 to 499,2024-12-09
Wolverhampton Waste Management,"38,39",12.8,11.0,23.6,20.2,14.8,12.3,56.0,44.0,54.0,46.0,51.0,49.0,48.0,52.0,500 to 999,2025-01-19
York Heritage Trust,"91,94",19.5,17.2,36.1,32.5,8.0,6.2,61.0,39.0,58.0,42.0,54.0,46.0,51.0,49.0,250 to 499,2024-11-30
Aberdeen Oil Services,"06,09",10.2,8.4,18.7,15.3,20.1,17.8,52.0,48.0,50.0,50.0,47.0,53.0,44.0,56.0,1000 to 4999,2024-10-25
