data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,City,TX,Texas,1991-03-15,1.0,,1,1.0,,White,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1992,County,CA,California,1992-07-22,,1,2,,1,Black or African American,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-White,Individual,S,S
1993,State Police,NY,New York,1993-11-08,2.0,,1,1.0,,Unknown,Not Specified,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
1994,City,FL,Florida,1994-02-28,,,0,,,Black or African American,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Religious Organization,S,S
1995,County,IL,Illinois,1995-09-17,1.0,,1,1.0,,White,Not Specified,1,Simple Assault,1.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
1996,City,PA,Pennsylvania,1996-04-03,0.0,1.0,2,1.0,1.0,Asian,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Islamic (Muslim),Juvenile,S,S
1997,Other,OH,Ohio,1997-12-25,1.0,,1,1.0,,White,Hispanic or Latino,1,Robbery,1.0,Convenience Store,Anti-Black or African American,Individual,S,S
1998,State Police,MI,Michigan,1998-06-10,,,0,,,American Indian or Alaska Native,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Native American,Other,S,S
1999,City,GA,Georgia,1999-08-14,2.0,0.0,3,2.0,1.0,Black or African American,Not Hispanic or Latino,2,Aggravated Assault,2.0,Parking Garage/Lot,Anti-White,Individual,M,S
2000,County,WA,Washington,2000-01-01,1.0,,1,1.0,,Unknown,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,S
2001,City,MA,Massachusetts,2001-10-12,,1,1,,1,White,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Gay (Male),Juvenile,S,S
2002,Other,NC,North Carolina,2002-05-30,1.0,,2,2.0,,Black or African American,Not Specified,1,Simple Assault,1.0,Bar/Nightclub,Anti-Hispanic or Latino,Individual,S,S
2003,State Police,NJ,New Jersey,2003-07-04,0.0,2.0,1,1.0,,White,Not Hispanic or Latino,2,Intimidation,2.0,Park/Playground,Anti-Black or African American,Juvenile,S,S
2004,City,CA,California,2004-03-20,,,0,,,Asian,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Religious Organization,S,S
2005,County,TX,Texas,2005-11-11,1.0,,1,1.0,,White,Not Hispanic or Latino,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
2006,City,NY,New York,2006-02-14,2.0,,3,3.0,,Black or African American,Not Hispanic or Latino,2,Robbery,2.0,Air/Bus/Train Terminal,Anti-White,Individual,M,S
2007,Other,FL,Florida,2007-09-23,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Islamic (Muslim),Other,S,S
2008,State Police,IL,Illinois,2008-04-05,1.0,1.0,2,1.0,1.0,White,Not Hispanic or Latino,2,Intimidation,2.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
2009,City,PA,Pennsylvania,2009-06-18,,,1,,1,Black or African American,Hispanic or Latino,1,Simple Assault,1.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
2010,County,OH,Ohio,2010-10-31,1.0,,1,1.0,,American Indian or Alaska Native,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Native American,Other,S,S
2011,City,MI,Michigan,2011-08-09,0.0,1.0,1,,1,White,Not Hispanic or Latino,1,Intimidation,1.0,School/College,Anti-Black or African American,Juvenile,S,S
2012,Other,GA,Georgia,2012-03-03,2.0,,2,2.0,,Asian,Not Hispanic or Latino,2,Aggravated Assault,2.0,Parking Garage/Lot,Anti-Asian,Individual,S,S
2013,State Police,WA,Washington,2013-12-24,1.0,,1,1.0,,Unknown,Not Specified,1,Robbery,1.0,Convenience Store,Anti-Jewish,Individual,S,S
2014,City,MA,Massachusetts,2014-07-01,,,0,,,Black or African American,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Islamic (Muslim),Religious Organization,S,S
1991,County,NC,North Carolina,1991-05-26,1.0,,1,1.0,,White,Hispanic or Latino,1,Simple Assault,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
1992,City,NJ,New Jersey,1992-09-13,2.0,0.0,1,1.0,,Black or African American,Not Specified,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
1993,Other,CA,California,1993-01-31,,1,2,,2,White,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Gay (Male),Juvenile,S,S
1994,State Police,TX,Texas,1994-06-07,1.0,,3,3.0,,Unknown,Not Specified,1,Aggravated Assault,1.0,Bar/Nightclub,Anti-Black or African American,Individual,M,S
