data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1992,County,AL,Alabama,1992-03-17,2,0,3,3,0,White,Not Specified,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
1995,City,CA,California,1995-11-02,0,1,1,0,1,Black,Hispanic,1,Simple Assault,1.0,School/College,Anti-White,Individual,S,S
1999,State,NY,New York,1999-07-21,1,0,2,2,0,Asian,Not Specified,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
2001,City,TX,Texas,2001-02-28,0,2,4,1,3,White,Not Specified,2,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Organization,S,S
2003,County,FL,Florida,2003-09-14,3,0,2,2,0,Black,Not Specified,3,Intimidation,3.0,Residence/Home,Anti-Hispanic,Individual,S,S
2007,City,IL,Illinois,2007-12-05,1,0,1,1,0,White,Hispanic,1,Robbery,1.0,Gas Station,Anti-Asian,Individual,S,S
2010,State,PA,Pennsylvania,2010-04-11,0,1,3,2,1,White,Not Specified,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Islamic (Muslim),Individual,S,S
2012,County,OH,Ohio,2012-08-19,2,0,2,2,0,Black,Not Specified,2,Aggravated Assault,2.0,Bar/Nightclub,Anti-White,Individual,S,S
1994,City,MI,Michigan,1994-01-30,0,0,1,1,0,American Indian/Alaskan Native,Not Specified,0,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Black or African American,Individual,S,S
1998,County,GA,Georgia,1998-06-07,1,0,1,1,0,White,Not Specified,1,Intimidation,1.0,School/College,Anti-Gay (Male),Individual,S,S
2002,City,WA,Washington,2002-10-22,0,0,2,2,0,Asian,Not Specified,0,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Organization,S,S
2005,State,NC,North Carolina,2005-05-18,3,1,4,3,1,Black,Hispanic,4,Simple Assault,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,Individual,S,S
2008,County,AZ,Arizona,2008-03-03,2,0,1,1,0,White,Not Specified,2,Aggravated Assault,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
2011,City,CO,Colorado,2011-09-29,0,2,2,0,2,Black,Not Specified,2,Intimidation,2.0,School/College,Anti-White,Individual,S,S
1993,State,MA,Massachusetts,1993-12-12,1,0,3,3,0,White,Hispanic,1,Robbery,1.0,Convenience Store,Anti-Asian,Individual,S,S
1996,County,VA,Virginia,1996-04-25,0,1,1,0,1,Asian,Not Specified,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Islamic (Muslim),Individual,S,S
2000,City,TN,Tennessee,2000-08-01,2,0,2,2,0,Black,Not Specified,2,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-White,Individual,S,S
2004,County,MN,Minnesota,2004-07-16,0,0,1,1,0,White,Not Specified,0,Intimidation,0.0,Church/Synagogue/Temple,Anti-Jewish,Organization,S,S
2006,State,MO,Missouri,2006-02-09,1,0,2,1,1,American Indian/Alaskan Native,Hispanic,1,Aggravated Assault,1.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
2009,City,OR,Oregon,2009-10-30,3,0,3,3,0,White,Not Specified,3,Simple Assault,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
2013,County,WI,Wisconsin,2013-05-14,0,2,4,2,2,Black,Not Specified,2,Intimidation,2.0,School/College,Anti-Hispanic,Individual,S,S
1991,City,NJ,New Jersey,1991-11-07,2,0,2,2,0,White,Hispanic,2,Robbery,2.0,Gas Station,Anti-Asian,Individual,S,S
1997,State,SC,South Carolina,1997-01-19,0,1,1,0,1,Asian,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Islamic (Muslim),Individual,S,S
2001,County,KY,Kentucky,2001-06-26,1,0,1,1,0,Black,Not Specified,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
2003,City,LA,Louisiana,2003-03-12,0,0,2,2,0,White,Not Specified,0,Aggravated Assault,0.0,Church/Synagogue/Temple,Anti-Jewish,Organization,S,S
2005,County,OK,Oklahoma,2005-08-23,3,0,1,1,0,Black,Hispanic,3,Simple Assault,3.0,Residence/Home,Anti-Hispanic,Individual,S,S
2008,State,MD,Maryland,2008-01-31,0,2,2,0,2,White,Not Specified,2,Intimidation,2.0,School/College,Anti-Black or African American,Individual,S,S
2010,City,NV,Nevada,2010-11-15,2,0,3,3,0,American Indian/Alaskan Native,Not Specified,2,Robbery,2.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
2012,County,UT,Utah,2012-04-08,0,1,1,0,1,Asian,Hispanic,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
1994,State,AR,Arkansas,1994-09-03,1,0,2,2,0,White,Not Specified,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1998,City,MS,Mississippi,1998-02-14,0,0,1,1,0,Black,Not Specified,0,Intimidation,0.0,Church/Synagogue/Temple,Anti-Jewish,Organization,S,S
2000,County,NM,New Mexico,2000-10-27,3,1,4,3,1,White,Hispanic,4,Aggravated Assault,4.0,Convenience Store,Anti-Hispanic,Individual,S,S
2002,State,WV,West Virginia,2002-05-11,2,0,2,1,1,Asian,Not Specified,2,Intimidation,2.0,Parking/Drop Lot/Garage,Anti-Islamic (Muslim),Individual,S,S
2006,City,KS,Kansas,2006-12-03,0,2,2,0,2,Black,Not Specified,2,Robbery,2.0,Gas Station,Anti-White,Individual,S,S
2009,County,ME,Maine,2009-07-08,1,0,1,1,0,White,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Gay (Male),Individual,S,S
2011,State,NH,New Hampshire,2011-03-19,0,1,3,2,1,American Indian/Alaskan Native,Not Specified,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
2013,City,HI,Hawaii,2013-08-25,2,0,2,2,0,Black,Hispanic,2,Intimidation,2.0,Bar/Nightclub,Anti-Hispanic,Individual,S,S
1995,County,AK,Alaska,1995-06-30,0,0,1,1,0,White,Not Specified,0,Aggravated Assault,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
1999,State,DE,Delaware,1999-01-13,3,0,3,3,0,Asian,Not Specified,3,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Organization,S,S
2001,City,ID,Idaho,2001-11-04,0,2,4,3,1,Black,Not Specified,2,Simple Assault,2.0,Residence/Home,Anti-White,Individual,S,S
2004,County,MT,Montana,2004-08-17,1,0,1,1,0,White,Hispanic,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Islamic (Muslim),Individual,S,S
2007,State,ND,North Dakota,2007-05-06,2,0,2,2,0,American Indian/Alaskan Native,Not Specified,2,Robbery,2.0,Gas Station,Anti-Black or African American,Individual,S,S
2010,City,RI,Rhode Island,2010-10-12,0,1,1,0,1,Asian,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Gay (Male),Individual,S,S
2012,County,SD,South Dakota,2012-02-28,3,0,2,1,1,White,Not Specified,3,Aggravated Assault,3.0,Bar/Nightclub,Anti-Hispanic,Individual,S,S
1993,State,VT,Vermont,1993-07-20,0,0,2,2,0,Black,Hispanic,0,Simple Assault,0.0,Residence/Home,Anti-Asian,Individual,S,S
1996,City,WY,Wyoming,1996-04-02,2,1,3,2,1,White,Not Specified,3,Intimidation,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Individual,S,S
2000,County,DC,District of Columbia,2000-09-14,1,0,1,1,0,Asian,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Islamic (Muslim),Organization,S,S
2003,State,IN,Indiana,2003-12-07,0,2,2,0,2,Black,Not Specified,2,Robbery,2.0,Convenience Store,Anti-White,Individual,S,S
2005,City,IA,Iowa,2005-03-25,3,0,3,3,0,American Indian/Alaskan Native,Hispanic,3,Simple Assault,3.0,Residence/Home,Anti-Hispanic,Individual,S,S
