data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1992,County,CA,California,1992-03-15,1,0,2,2,0,White,Not Hispanic,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,N,N
1998,City,TX,Texas,1998-11-22,0,1,1,0,1,Black,Hispanic,1,Simple Assault,0.0,Highway/Road/Alley,Anti-Hispanic or Latino,Juvenile,N,N
2001,State,NY,New York,2001-07-04,2,0,3,3,0,Asian,Not Hispanic,2,Aggravated Assault,2.0,Parking Garage/Lot,Anti-White,Individual,N,S
2005,City,FL,Florida,2005-09-18,0,0,1,1,0,White,Hispanic,0,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Religious Organization,N,N
1995,County,IL,Illinois,1995-12-30,1,0,1,1,0,Black,Not Hispanic,1,Robbery,1.0,Convenience Store,Anti-White,Individual,N,N
2009,City,PA,Pennsylvania,2009-02-14,0,1,2,1,1,American Indian/Alaskan Native,Not Hispanic,1,Intimidation,0.0,School/College,Anti-Asian,Individual,N,N
1993,State,OH,Ohio,1993-08-07,2,0,1,1,0,White,Not Hispanic,2,Murder & Nonnegligent Manslaughter,2.0,Residence/Home,Anti-Black or African American,Individual,N,N
2012,County,MI,Michigan,2012-05-03,0,0,4,2,2,Black,Not Hispanic,0,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-White,Individual,S,S
1997,City,GA,Georgia,1997-10-11,1,0,1,1,0,White,Hispanic,1,Simple Assault,1.0,Bar/Nightclub,Anti-Hispanic or Latino,Individual,N,N
2003,State,NC,North Carolina,2003-01-25,0,0,2,2,0,Unknown,Unknown,0,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Islamic (Muslim),Individual,N,N
