data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,City,CA,California,1991-03-15,1,0,2,2,0,White,Not Hispanic,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,,
1992,County,TX,Texas,1992-07-22,0,1,1,0,1,Black,Hispanic,1,Simple Assault,1.0,School/College,Anti-White,Individual,,
1993,State,NY,New York,1993-11-08,2,0,3,1,2,Asian,Not Hispanic,2,Aggravated Assault,2.0,Highway/Road/Alley,Anti-Gay (Male),Individuals,,
1994,City,FL,Florida,1994-02-28,0,2,1,1,0,White,Hispanic,2,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Property,,
1995,County,IL,Illinois,1995-09-10,1,0,2,2,0,Black,Not Hispanic,1,Robbery,1.0,Commercial/Office Building,Anti-White,Individual,,
1996,City,PA,Pennsylvania,1996-12-25,0,1,1,0,1,White,Not Hispanic,1,Intimidation,1.0,Residence/Home,Anti-Islamic (Muslim),Individual,,
1997,State,OH,Ohio,1997-04-17,3,0,4,3,1,American Indian/Alaskan Native,Hispanic,3,Aggravated Assault,3.0,Parking Garage/Lot,Anti-Black or African American,Individuals,,
1998,County,MI,Michigan,1998-08-03,0,0,2,2,0,Unknown,Not Specified,0,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Hispanic,Property,,
1999,City,GA,Georgia,1999-05-30,1,1,1,0,1,Black,Not Hispanic,2,Murder and Nonnegligent Manslaughter,1.0,Residence/Home,Anti-White,Individual,,
2000,State,NC,North Carolina,2000-10-12,2,0,3,3,0,White,Hispanic,2,Simple Assault,2.0,Highway/Road/Alley,Anti-Gay (Male),Individuals,,
2001,County,NJ,New Jersey,2001-01-19,0,2,2,1,1,Asian,Not Hispanic,2,Intimidation,2.0,School/College,Anti-Black or African American,Individuals,,
2002,City,VA,Virginia,2002-06-07,1,0,1,1,0,White,Not Hispanic,1,Aggravated Assault,1.0,Commercial/Office Building,Anti-Jewish,Individual,,
2003,State,WA,Washington,2003-03-25,0,1,3,2,1,Black,Hispanic,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Islamic (Muslim),Property,,
2004,County,AZ,Arizona,2004-11-14,2,0,2,1,1,American Indian/Alaskan Native,Not Hispanic,2,Robbery,2.0,Parking Garage/Lot,Anti-Hispanic,Individuals,,
