data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,City,CA,California,1991-03-15,1,0,2,2,0,White,Non-Hispanic,1,Intimidation,1,Residence/Home,Anti-Black,Individual,No,No
1992,County,TX,Texas,1992-07-22,0,1,1,1,0,Black,Hispanic,1,Simple Assault,1,School-College,Anti-Hispanic,Individual,No,No
1993,State,NY,New York,1993-11-08,2,0,3,2,1,White,Non-Hispanic,2,Aggravated Assault,2,Highway/Road,Anti-Jewish,Individual,Yes,No
1994,City,FL,Florida,1994-02-14,1,0,1,1,0,Asian,Non-Hispanic,1,Destruction/Damage/Vandalism,1,Church/Synagogue,Anti-Islamic,Institution,No,No
1995,County,IL,Illinois,1995-09-30,0,2,2,1,1,Black,Non-Hispanic,2,Intimidation,2,Residence/Home,Anti-White,Individual,No,Yes
1996,State,PA,Pennsylvania,1996-05-17,1,0,2,2,0,White,Non-Hispanic,1,Simple Assault,1,Restaurant,Anti-Male Homosexual,Individual,No,No
1997,City,OH,Ohio,1997-08-04,0,1,1,0,1,White,Non-Hispanic,1,Robbery,1,Parking Lot/Garage,Anti-Physical Disability,Individual,Yes,No
1998,County,MI,Michigan,1998-12-25,2,0,1,1,0,White,Hispanic,2,Murder and Nonnegligent Manslaughter,2,Residence/Home,Anti-Female Homosexual,Individual,No,No
1999,State,GA,Georgia,1999-04-11,1,0,3,3,0,Black,Non-Hispanic,1,Aggravated Assault,1,Service/Gas Station,Anti-White,Individual,Yes,No
2000,City,NC,North Carolina,2000-10-31,0,1,1,1,0,American Indian/Alaskan Native,Non-Hispanic,1,Intimidation,1,School-Elementary,Anti-Native American,Individual,No,No
2001,County,NJ,New Jersey,2001-01-19,2,0,2,1,1,White,Non-Hispanic,2,Destruction/Damage/Vandalism,2,Drug Store/Doctor's Office,Anti-Catholic,Institution,No,No
2002,State,WA,Washington,2002-06-07,1,0,1,1,0,Asian,Non-Hispanic,1,Simple Assault,1,Taxi,Anti-Asian,Individual,No,No
2003,City,VA,Virginia,2003-03-28,0,2,2,2,0,White,Non-Hispanic,2,Intimidation,2,Playground,Anti-Mental Disability,Individual,No,Yes
2004,County,AZ,Arizona,2004-07-12,1,0,1,0,1,Black,Hispanic,1,Larceny-Theft,1,Highway/Road,Anti-Hispanic,Individual,Yes,No
2005,State,MA,Massachusetts,2005-09-03,2,0,3,3,0,White,Non-Hispanic,2,Aggravated Assault,2,Bar/Nightclub,Anti-Jewish,Individual,Yes,No
2006,City,TN,Tennessee,2006-11-15,0,1,1,1,0,White,Non-Hispanic,1,Destruction/Damage/Vandalism,1,Church/Synagogue,Anti-Protestant,Institution,No,No
2007,County,MO,Missouri,2007-02-22,1,0,2,1,1,Black,Non-Hispanic,1,Intimidation,1,Residence/Home,Anti-Black,Individual,No,No
2008,State,WI,Wisconsin,2008-08-30,0,2,1,1,0,White,Non-Hispanic,2,Simple Assault,2,School-Junior High,Anti-Female Homosexual,Individual,No,No
2009,City,MD,Maryland,2009-05-14,2,0,1,1,0,White,Non-Hispanic,2,Murder and Nonnegligent Manslaughter,2,Residence/Home,Anti-Islamic,Individual,No,No
2010,County,MN,Minnesota,2010-12-20,1,0,3,2,1,Black,Non-Hispanic,1,Aggravated Assault,1,Parking Lot/Garage,Anti-White,Individual,Yes,No
2011,State,CO,Colorado,2011-04-05,0,1,1,0,1,White,Hispanic,1,Intimidation,1,Service/Gas Station,Anti-Hispanic,Individual,No,No
