activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_appliaction,initially_payable_to_institution
2024,14460,TX,48113,48113030404,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,385000,85,7.125,2.5,2,8750,3500,4200,1500,500,360,,,2,2,2,2,,420000,1,1,3,5,1,,125000,38,1,1,1,1,1,1,1,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,16980,CA,6073,6073010101,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,31,625000,80,6.375,1.75,2,11200,4800,6200,2200,800,360,,,2,2,2,2,,781250,1,1,3,5,1,,185000,28,1,1,2,2,1,1,2,2,1,1,1,1,1,35-44,30-34,No,No,1,1
2024,19740,FL,12011,12011070202,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,275000,92,6.875,2.0,2,9800,4200,5100,1800,600,360,,,2,2,2,2,,298913,1,1,3,5,1,,78000,42,1,1,2,2,1,1,3,3,1,1,1,1,2,25-34,25-34,No,No,1,1
2024,23844,NY,36103,36103000100,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,32,75000,,8.25,3.5,3,,,,,180,,,2,2,2,2,,350000,1,1,3,5,1,,65000,55,3,10,3,3,2,2,6,6,2,2,3,3,3,55-64,9999,Yes,,1,1
2024,24330,OH,39165,39165040201,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,195000,78,7.5,2.75,2,6200,2800,3200,1200,400,360,,,2,2,2,2,,250000,1,1,3,5,1,,58000,31,1,1,2,2,1,1,5,5,1,1,1,1,2,35-44,30-34,No,No,1,1
2024,26420,WA,53033,53033023405,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,American Indian or Alaska Native,Male,1,31,445000,75,6.125,1.25,2,8900,3900,4600,1700,700,360,,,2,2,2,2,,593333,1,1,3,5,1,,135000,25,1,1,1,1,1,1,1,1,1,1,1,1,1,30-34,30-34,No,No,1,1
2024,28140,NC,37183,37183040602,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,315000,88,7.0,2.25,2,7800,3400,4100,1500,500,360,,,2,2,2,2,,357955,1,1,3,5,1,,95000,36,1,1,2,2,1,1,5,5,1,1,1,1,1,45-54,40-49,No,No,1,1
2024,29820,MI,26163,26163008003,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,165000,82,8.0,3.0,2,5800,2600,3000,1100,400,360,,,2,2,2,2,,201220,1,1,3,5,1,,52000,40,1,1,2,2,1,1,3,3,1,1,1,1,2,25-34,25-34,No,No,1,1
2024,31080,CO,8031,80310010101,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,525000,70,6.75,1.75,2,11500,5200,6100,2300,900,360,,,2,2,2,2,,750000,1,1,3,5,1,,165000,22,1,1,2,2,1,1,5,5,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,33460,AZ,4013,40130100203,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,385000,85,6.625,2.0,2,8200,3600,4300,1600,600,360,,,2,2,2,2,,452941,1,1,3,5,1,,115000,32,1,1,1,1,1,1,5,5,1,1,1,1,2,30-34,30-34,No,No,1,1
2024,12060,GA,13135,13135080101,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,32,45000,,9.0,4.0,3,,,,,120,,,2,2,2,2,,280000,1,1,3,5,1,,48000,62,3,10,3,3,2,2,6,6,2,2,3,3,3,65-74,9999,Yes,,1,1
2024,18140,IL,17031,17031800600,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,31,285000,90,6.75,2.0,2,8600,3800,4500,1700,600,360,,,2,2,2,2,,316667,1,1,3,5,1,,88000,34,1,1,2,2,1,1,2,2,1,1,1,1,2,40-49,35-44,No,No,1,1
2024,20580,NJ,34017,34017003201,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,485000,75,6.875,2.25,2,10200,4600,5400,2000,800,360,,,2,2,2,2,,646667,1,1,3,5,1,,155000,26,1,1,2,2,1,1,5,5,1,1,1,1,1,45-54,40-49,No,No,1,1
2024,22020,OR,41051,41051002802,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,31,395000,80,6.25,1.5,2,9100,4100,4800,1800,700,360,,,2,2,2,2,,493750,1,1,3,5,1,,125000,29,1,1,2,2,1,1,3,3,1,1,1,1,1,35-44,30-34,No,No,1,1
2024,25060,TN,47037,47037001504,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,225000,85,7.75,2.75,2,6800,3000,3600,1300,450,360,,,2,2,2,2,,264706,1,1,3,5,1,,68000,38,1,1,1,1,1,1,5,5,1,1,1,1,2,30-34,30-34,No,No,1,1
2024,26900,SC,45019,45019020101,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,175000,92,7.125,2.5,2,7200,3200,3800,1400,500,360,,,2,2,2,2,,190217,1,1,3,5,1,,55000,41,1,1,2,2,1,1,5,5,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,28700,NV,32003,32003050102,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,31,485000,65,6.5,1.5,2,12500,5800,6700,2500,1000,360,,,2,2,2,2,,746154,1,1,3,5,1,,175000,21,3,10,3,3,2,2,6,6,2,2,3,3,3,45-54,9999,No,,1,1
2024,30420,WI,55133,55133001400,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,285000,82,6.375,1.75,2,7800,3500,4100,1500,600,360,,,2,2,2,2,,347561,1,1,3,5,1,,85000,33,1,1,2,2,1,1,5,5,1,1,1,1,2,40-49,35-44,No,No,1,1
