activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
35620,CA,6075.0,6075010203.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,385000.0,0.85,7.125,2.5,0.0,8500.0,3500.0,2800.0,1.5,500.0,360.0,0.0,0.0,2.0,2.0,2.0,2.0,,450000.0,1.0,1.0,3.0,3.0,1.0,,98000.0,0.38,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1,1,1,1,35-44,30-34,No,No,1.0,1.0
16980,TX,1410.0,1410072042.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,1,215000.0,0.96,6.75,1.75,0.0,7200.0,2800.0,2200.0,1.0,800.0,360.0,0.0,0.0,2.0,2.0,2.0,2.0,,225000.0,1.0,1.0,3.0,3.0,1.0,,56000.0,0.42,1.0,1.0,1.0,5.0,1.0,3.0,5.0,5.0,1.0,3.0,1,3,1,3,25-34,9999,No,,1.0,1.0
38060,OH,3900.0,3900357120.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Application denied,1,310000.0,0.92,7.375,3.0,0.0,9500.0,4200.0,3500.0,2.0,0.0,360.0,0.0,0.0,2.0,2.0,2.0,2.0,,340000.0,1.0,1.0,3.0,3.0,1.0,,78000.0,0.48,1.0,5.0,2.0,5.0,1.0,3.0,3.0,5.0,1.0,3.0,1,3,1,3,45-54,9999,No,,1.0,1.0
12060,NY,36005.0,3600598010.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,3,75000.0,0.15,8.0,4.0,0.0,3500.0,1500.0,1200.0,0.5,200.0,180.0,0.0,6.0,2.0,2.0,2.0,2.0,,500000.0,1.0,1.0,3.0,3.0,1.0,,175000.0,0.29,1.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,1.0,3.0,1,3,1,3,55-64,9999,Yes,,1.0,1.0
14460,WA,53033.0,5303305090.0,USDA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,American Indian or Alaska Native,Female,Loan originated,1,195000.0,1.02,5.875,0.5,0.0,5800.0,2200.0,1800.0,0.5,1200.0,360.0,0.0,0.0,2.0,2.0,2.0,2.0,,190000.0,1.0,1.0,3.0,3.0,1.0,,48000.0,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,35-44,35-44,No,No,1.0,1.0
19740,MI,26163.0,2616357800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Application withdrawn,1,165000.0,0.78,6.5,1.25,0.0,4800.0,1900.0,1500.0,0.75,600.0,360.0,0.0,0.0,2.0,2.0,2.0,2.0,,210000.0,1.0,1.0,3.0,3.0,1.0,,52000.0,0.31,1.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,1.0,3.0,2,3,1,3,65-74,9999,Yes,,1.0,1.0
33100,FL,12011.0,1201104060.0,FHA:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,File closed for incompleteness,32,45000.0,0.22,9.5,6.25,0.0,2800.0,1100.0,900.0,0.25,100.0,240.0,0.0,0.0,2.0,2.0,2.0,2.0,,205000.0,1.0,1.0,3.0,3.0,2.0,,39000.0,0.52,3.0,5.0,3.0,5.0,4.0,3.0,3.0,5.0,1.0,3.0,1,3,1,3,25-34,9999,No,,1.0,1.0
42660,PA,42003.0,4200302180.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,425000.0,0.8,7.0,2.25,0.0,10200.0,4100.0,3300.0,1.75,750.0,360.0,0.0,0.0,2.0,2.0,2.0,2.0,,530000.0,1.0,1.0,3.0,3.0,1.0,,135000.0,0.33,1.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1,1,1,1,45-54,40-44,No,No,1.0,1.0
27860,NC,37183.0,3718302010.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,1,285000.0,0.89,6.125,1.0,0.0,6800.0,2700.0,2100.0,1.0,950.0,360.0,0.0,0.0,2.0,2.0,2.0,2.0,,320000.0,1.0,1.0,3.0,3.0,1.0,,68000.0,0.4,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,2,1,1,1,35-44,30-34,No,No,1.0,1.0
45300,TN,47037.0,4703708025.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Application denied,1,395000.0,0.88,7.75,3.5,0.0,11800.0,4800.0,3900.0,2.25,0.0,360.0,0.0,0.0,2.0,2.0,2.0,2.0,,450000.0,1.0,1.0,3.0,3.0,1.0,,105000.0,0.45,1.0,5.0,2.0,5.0,1.0,3.0,2.0,5.0,1.0,3.0,2,3,1,3,35-44,9999,No,,1.0,1.0
