activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35620,CA,6075.0,6075010203.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,385000,0.85,7.125,2.5,0,8500,3500,2800,1.5,500,360,0,0,2,2,2,2,,450000,1,1,3,3,1,,98000,0.38,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,30-34,No,No,1
2024,16980,TX,1410.0,1410072042.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,1,215000,0.96,6.75,1.75,0,7200,2800,2200,1.0,800,360,0,0,2,2,2,2,,225000,1,1,3,3,1,,56000,0.42,1,1,1,5,1,3,5,5,1,3,1,3,1,3,25-34,9999,No,,1
2024,38060,OH,3900.0,3900357120.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Application denied,1,310000,0.92,7.375,3.0,0,9500,4200,3500,2.0,0,360,0,0,2,2,2,2,,340000,1,1,3,3,1,,78000,0.48,1,5,2,5,1,3,3,5,1,3,1,3,1,3,45-54,9999,No,,1
2024,12060,NY,36005.0,3600598010.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,3,75000,0.15,8.0,4.0,0,3500,1500,1200,0.5,200,180,0,6,2,2,2,2,,500000,1,1,3,3,1,,175000,0.29,1,5,2,5,1,3,5,5,1,3,1,3,1,3,55-64,9999,Yes,,1
2024,14460,WA,53033.0,5303305090.0,USDA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,American Indian or Alaska Native,Female,Loan originated,1,195000,1.02,5.875,0.5,0,5800,2200,1800,0.5,1200,360,0,0,2,2,2,2,,190000,1,1,3,3,1,,48000,0.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35-44,35-44,No,No,1
2024,19740,MI,26163.0,2616357800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Application withdrawn,1,165000,0.78,6.5,1.25,0,4800,1900,1500,0.75,600,360,0,0,2,2,2,2,,210000,1,1,3,3,1,,52000,0.31,1,5,2,5,1,3,5,5,1,3,2,3,1,3,65-74,9999,Yes,,1
2024,33100,FL,12011.0,1201104060.0,FHA:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,File closed for incompleteness,32,45000,0.22,9.5,6.25,0,2800,1100,900,0.25,100,240,0,0,2,2,2,2,,205000,1,1,3,3,2,,39000,0.52,3,5,3,5,4,3,3,5,1,3,1,3,1,3,25-34,9999,No,,1
2024,42660,PA,42003.0,4200302180.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,425000,0.8,7.0,2.25,0,10200,4100,3300,1.75,750,360,0,0,2,2,2,2,,530000,1,1,3,3,1,,135000,0.33,1,1,2,2,1,1,5,2,1,1,1,1,1,1,45-54,40-44,No,No,1
2024,27860,NC,37183.0,3718302010.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,1,285000,0.89,6.125,1.0,0,6800,2700,2100,1.0,950,360,0,0,2,2,2,2,,320000,1,1,3,3,1,,68000,0.4,1,1,1,2,1,1,5,2,1,1,2,1,1,1,35-44,30-34,No,No,1
2024,45300,TN,47037.0,4703708025.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Application denied,1,395000,0.88,7.75,3.5,0,11800,4800,3900,2.25,0,360,0,0,2,2,2,2,,450000,1,1,3,3,1,,105000,0.45,1,5,2,5,1,3,2,5,1,3,2,3,1,3,35-44,9999,No,,1
2024,38060,OH,3900.0,3900357120.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,195000,0.75,6.875,1.75,0,5200,2100,1700,1.0,650,360,0,0,2,2,2,2,,260000,1,1,3,3,1,,58000,0.28,1,1,2,2,1,1,5,2,1,1,1,1,1,1,25-34,25-34,No,No,1
2024,41860,OR,41051.0,4105103060.0,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,275000,1.0,5.75,0.25,0,5400,2100,1700,0.5,1400,360,0,0,2,2,2,2,,275000,1,1,3,3,1,,62000,0.36,1,1,2,2,1,1,5,2,1,1,1,1,1,1,30-34,30-34,No,No,1
2024,19100,LA,22051.0,2205101070.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,Loan originated,1,185000,0.96,6.625,1.5,0,6100,2400,1900,1.0,700,360,0,0,2,2,2,2,,193000,1,1,3,3,1,,47000,0.43,1,1,1,5,1,3,3,5,1,3,1,3,1,3,35-44,9999,No,,1
2024,26420,MO,29189.0,2918952010.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,3,65000,0.18,8.25,4.75,0,3200,1300,1000,0.5,300,180,0,12,2,2,2,2,,360000,1,1,3,3,1,,88000,0.26,1,5,2,5,1,3,5,5,1,3,2,3,1,3,45-54,9999,No,,1
2024,35620,CA,6075.0,6075021304.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,Application withdrawn,1,625000,0.82,7.5,3.0,0,15800,6200,5100,2.75,0,360,0,0,2,2,2,2,,760000,1,1,3,3,1,,185000,0.41,1,5,2,5,1,3,9,5,1,3,1,3,1,3,45-54,9999,No,,1
2024,41860,OR,41051.0,4105104070.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,485000,0.85,6.75,2.0,0,11200,4500,3600,1.5,900,360,0,0,2,2,2,2,,570000,1,1,3,3,1,,125000,0.34,1,1,2,2,1,1,5,2,1,1,2,1,1,1,35-44,35-44,No,No,1
2024,19740,MI,26163.0,2616352010.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,235000,0.9,5.875,0.75,0,6200,2500,2000,1.0,1100,360,0,0,2,2,2,2,,260000,1,2,3,3,1,,59000,0.37,1,1,2,2,1,1,5,2,1,1,1,1,1,1,30-34,30-34,No,No,1
2024,45300,TN,47037.0,4703705030.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,Application denied,1,315000,0.93,7.875,4.0,0,10800,4300,3500,2.25,0,360,0,0,2,2,2,2,,340000,1,1,3,3,1,,78000,0.49,2,5,2,5,1,3,3,5,1,3,2,3,1,3,25-34,9999,No,,1
2024,12060,NY,36005.0,3600596020.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan originated,1,550000,0.75,7.25,2.5,0,13800,5500,4500,2.0,600,360,0,0,2,2,2,2,,735000,1,1,3,3,1,,195000,0.3,1,1,1,1,1,1,5,1,1,1,1,1,1,1,40-44,35-39,No,No,1
2024,14460,WA,53033.0,5303303080.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan originated,1,765000,0.8,6.5,1.5,0,16500,6600,5400,2.25,1200,360,0,0,2,2,2,2,,955000,1,1,3,3,1,,225000,0.35,1,1,2,2,1,1,2,2,1,1,2,1,1,1,35-44,40-44,No,No,1
2024,16980,TX,1410.0,1410075030.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,245000,0.95,6.875,1.75,0,7100,2800,2200,1.25,800,360,0,0,2,2,2,2,,258000,1,1,3,3,1,,61000,0.41,1,1,2,5,1,3,5,5,1,3,1,3,1,3,30-34,9999,No,,1
2024,27860,NC,37183.0,3718301050.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application withdrawn,1,415000,0.87,7.125,2.75,0,11800,4700,3800,2.0,0,360,0,0,2,2,2,2,,475000,1,1,3,3,1,,115000,0.39,1,5,2,5,1,3,5,5,1,3,1,3,1,3,45-54,9999,No,,1
2024,26420,MO,29189.0,2918951030.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,285000,0.83,6.875,2.0,0,8200,3300,2600,1.5,700,360,0,0,2,2,2,2,,345000,1,1,3,3,1,,78000,0.33,1,1,2,2,1,1,5,2,1,1,2,1,1,1,35-44,35-44,No,No,1
2024,19100,LA,22051.0,2205102090.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,Loan originated,3,55000,0.2,9.0,5.5,0,2900,1200,950,0.5,150,180,0,0,2,2,2,2,,275000,1,1,3,3,2,,51000,0.48,1,5,1,5,1,3,3,5,1,3,2,3,1,3,25-34,9999,No,,1
