activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35620,36,005,0123.00,Conventional: First lien,One-to-four family dwelling (other than manufactured housing),Hispanic or Latino,White,Male,1,1,425000,85,6.75,2.3,0,8500,3200,2800,0,500,360,0,0,0,0,0,0,500000,1,1,1111,3,1,0,125000,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,42,0,0,1111,1
2024,31080,06,037,4321.00,Conventional: First lien,One-to-four family dwelling (other than manufactured housing),Not Hispanic or Latino,Asian,Male,1,2,675000,80,7.0,2.5,0,12000,4500,4000,0,750,360,0,0,0,0,0,0,843750,1,1,1111,3,1,0,185000,32,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,38,36,0,0,1111,1
2024,16980,12,015,9876.00,Conventional: First lien,One-to-four family dwelling (other than manufactured housing),Not Hispanic or Latino,Black or African American,Female,1,3,325000,90,7.25,2.8,0,7200,2800,2500,0,400,360,0,0,0,0,0,0,361111,1,1,1111,3,1,0,95000,42,1,1,2,2,1,1,3,2,1,1,2,2,1,1,1,52,50,1,0,1111,1
2024,19100,13,057,1357.00,FHA-insured: First lien,One-to-four family dwelling (other than manufactured housing),Hispanic or Latino,American Indian or Alaska Native,Male,1,1,285000,95,6.5,2.1,0,6500,2500,2200,0,350,360,0,0,0,0,0,0,300000,1,1,1111,3,1,0,75000,45,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,33,31,0,0,1111,1
2024,26420,17,031,2468.00,VA-guaranteed: First lien,One-to-four family dwelling (other than manufactured housing),Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,2,395000,75,6.25,1.9,0,7800,3000,2700,0,600,360,0,0,0,0,0,0,526667,1,1,1111,3,1,0,110000,28,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,29,27,0,0,1111,1
2024,41860,48,113,7531.00,Conventional: First lien,One-to-four family dwelling (other than manufactured housing),Not Hispanic or Latino,White,Female,1,1,550000,82,7.5,3.0,0,10500,4000,3600,0,800,360,0,0,0,0,0,0,670732,1,1,1111,3,1,0,155000,35,1,1,2,2,1,1,5,2,1,1,2,2,1,1,1,41,39,0,0,1111,1
2024,38060,45,019,8642.00,Conventional: First lien,One-to-four family dwelling (other than manufactured housing),Hispanic or Latino,Asian,Female,1,3,485000,88,6.9,2.4,0,9200,3600,3200,0,650,360,0,0,0,0,0,0,551136,1,1,1111,3,1,0,135000,40,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,47,45,0,0,1111,1
2024,12060,01,073,9753.00,Conventional: First lien,Manufactured home,Not Hispanic or Latino,Black or African American,Male,1,1,185000,92,8.0,3.2,0,4800,1800,1600,0,200,240,0,0,0,0,0,0,201087,2,1,2,2,1,0,52000,48,1,1,2,2,1,1,3,2,1,1,1,2,1,1,1,55,53,1,0,1111,1
2024,14460,04,013,1234.00,Conventional: First lien,One-to-four family dwelling (other than manufactured housing),Not Hispanic or Latino,White,Male,1,2,750000,70,6.1,1.8,0,13500,5200,4800,0,1000,360,0,0,0,0,0,0,1071429,1,1,1111,3,1,0,225000,25,1,1,2,2,1,1,5,2,1,1,1,2,1,1,1,26,24,0,0,1111,1
2024,33100,21,029,5678.00,Conventional: First lien,One-to-four family dwelling (other than manufactured housing),Hispanic or Latino,American Indian or Alaska Native,Female,1,1,315000,85,7.1,2.6,0,7100,2700,2400,0,450,360,0,0,0,0,0,0,370588,1,1,1111,3,1,0,88000,43,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,39,37,0,0,1111,1
2024,37900,45,063,9876.00,Conventional: First lien,One-to-four family dwelling (other than manufactured housing),Not Hispanic or Latino,Asian,Female,1,3,625000,78,6.8,2.3,0,11500,4400,4000,0,900,360,0,0,0,0,0,0,801282,1,1,1111,3,1,0,175000,30,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,34,32,0,0,1111,1
2024,23844,16,001,7410.00,Conventional: First lien,One-to-four family dwelling (other than manufactured housing),Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,2,425000,83,7.3,2.7,0,8800,3400,3000,0,700,360,0,0,0,0,0,0,512048,1,1,1111,3,1,0,130000,36,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,42,40,0,0,1111,1
2024,49340,53,033,8520.00,Conventional: First lien,One-to-four family dwelling (other than manufactured housing),Hispanic or Latino,White,Male,1,1,525000,80,6.6,2.0,0,10200,3900,3500,0,850,360,0,0,0,0,0,0,656250,1,1,1111,3,1,0,160000,33,1,1,1,2,1,1,5,2,1,1,1,2,1,1,1,37,35,0,0,1111,1
