EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
BARCLAYS BANK UK PLC,64110,32.5,28.1,68.4,45.2,78.9,65.3,31.2,68.8,29.5,70.5,35.7,64.3,58.9,41.1,5000+,2025-03-28 09:15:22
TESCO STORES LIMITED,47110,11.2,8.5,42.7,28.9,45.6,41.2,48.3,51.7,46.2,53.8,52.1,47.9,59.8,40.2,5000+,2025-04-01 11:30:45
NHS TRUST,86101,15.8,12.3,25.6,18.7,32.1,28.4,41.5,58.5,38.7,61.3,44.2,55.8,52.3,47.7,1000-4999,2025-04-02 16:22:11
BP OIL UK LIMITED,06100,28.7,24.9,55.3,38.2,82.5,71.8,22.4,77.6,19.8,80.2,31.5,68.5,64.7,35.3,5000+,2025-03-30 10:45:33
SAINSBURY'S SUPERMARKETS LTD,47110,13.6,9.8,38.4,22.1,41.3,36.7,45.2,54.8,43.1,56.9,49.8,50.2,62.4,37.6,5000+,2025-04-03 14:18:27
ROLLS-ROYCE PLC,30300,26.3,22.1,61.8,42.7,75.2,68.4,19.7,80.3,17.5,82.5,29.3,70.7,59.6,40.4,5000+,2025-03-29 08:55:44
PRICEWATERHOUSECOOPERS LLP,69102,34.7,31.2,72.5,51.3,84.6,78.2,24.1,75.9,21.7,78.3,38.5,61.5,68.9,31.1,5000+,2025-04-04 12:33:19
DELOITTE LLP,69102,31.9,28.4,69.2,48.7,81.3,74.6,26.8,73.2,23.9,76.1,35.2,64.8,65.7,34.3,5000+,2025-04-01 09:20:55
KPMG LLP,69102,33.1,29.8,70.8,49.5,83.1,76.3,25.3,74.7,22.6,77.4,36.8,63.2,67.4,32.6,5000+,2025-04-02 15:47:28
ERNST & YOUNG LLP,69102,32.6,29.3,71.4,50.1,82.7,75.8,25.9,74.1,23.1,76.9,37.2,62.8,66.8,33.2,5000+,2025-03-31 13:12:41
HSBC BANK PLC,64110,29.8,25.7,65.9,43.8,79.2,70.5,28.6,71.4,25.4,74.6,33.8,66.2,61.5,38.5,5000+,2025-04-03 16:58:22
LLOYDS BANK PLC,64110,27.4,23.6,62.3,40.5,76.8,67.2,30.1,69.9,27.2,72.8,36.4,63.6,58.9,41.1,5000+,2025-03-28 11:25:37
