EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
THAMES WATER UTILITIES LIMITED,36000,18.2,15.7,54.3,22.1,38.7,41.2,32.8,67.2,28.4,71.6,35.9,64.1,48.2,51.8,10000+,2025-01-15 09:22:33
BODEN UK LIMITED,14120,22.6,19.3,68.7,35.2,42.1,48.6,21.7,78.3,18.9,81.1,29.5,70.5,44.8,55.2,1000-4999,2025-02-28 14:55:12
ROYAL LONDON MUTUAL INSURANCE SOCIETY LIMITED,65120,24.8,21.5,61.2,28.7,45.3,52.8,26.4,73.6,22.1,77.9,31.7,68.3,49.6,50.4,5000-9999,2025-03-10 11:30:45
FIRST GROUP PLC,49110,12.3,9.8,41.5,18.9,28.4,31.2,38.6,61.4,34.2,65.8,42.1,57.9,52.3,47.7,10000+,2025-01-22 16:18:22
WHITBREAD GROUP PLC,55110,16.7,14.2,52.8,24.6,35.9,39.4,29.3,70.7,25.8,74.2,33.6,66.4,46.2,53.8,5000-9999,2025-02-14 13:42:18
MARKS AND SPENCER PLC,47110,19.5,16.8,58.3,26.4,39.7,43.5,27.1,72.9,23.4,76.6,30.8,69.2,43.7,56.3,10000+,2025-03-25 10:05:30
BARCLAYS BANK UK PLC,64191,31.2,27.9,74.6,38.2,58.3,65.7,22.8,77.2,19.5,80.5,28.4,71.6,51.9,48.1,10000+,2025-01-08 17:28:44
TESCO PLC,47110,14.2,11.7,46.8,21.3,31.6,34.9,33.7,66.3,29.4,70.6,37.2,62.8,48.5,51.5,10000+,2025-02-05 12:15:22
J SAINSBURY PLC,47110,15.8,13.1,49.2,23.7,33.8,37.1,31.4,68.6,27.9,72.1,35.6,64.4,46.8,53.2,10000+,2025-03-18 15:48:55
NATIONWIDE BUILDING SOCIETY,64191,26.4,23.1,67.8,32.5,51.2,58.6,24.6,75.4,21.3,78.7,29.7,70.3,48.3,51.7,10000+,2025-01-30 09:33:17
