EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Barclays Bank UK PLC,64191,32.5,28.1,68.7,45.2,78.9,65.3,38.2,61.8,42.1,57.9,55.3,44.7,70.8,29.2,5000+,2025-01-15 09:22:11
Tesco Stores Limited,47110,11.2,8.5,42.3,21.7,34.5,29.8,45.6,54.4,48.2,51.8,52.1,47.9,58.3,41.7,5000+,2025-02-20 14:45:33
HSBC UK Bank plc,64191,38.7,34.2,71.9,52.8,82.3,71.5,28.9,71.1,35.4,64.6,48.7,51.3,75.2,24.8,5000+,2025-03-08 11:17:45
NHS England,86101,15.6,12.3,9.8,5.2,12.1,14.7,18.5,81.5,22.3,77.7,31.2,68.8,45.9,54.1,5000+,2025-01-28 16:30:22
Amazon UK Services Ltd,47910,18.9,15.7,55.4,32.1,68.7,59.2,62.1,37.9,58.3,41.7,65.9,34.1,72.4,27.6,5000+,2025-02-11 08:55:14
Royal Mail Group plc,53201,22.4,19.8,38.7,18.9,45.2,38.1,71.5,28.5,68.9,31.1,74.2,25.8,78.6,21.4,5000+,2025-03-22 13:42:57
British Airways plc,51101,35.2,31.6,62.8,41.3,71.5,63.7,42.1,57.9,38.7,61.3,52.8,47.2,68.9,31.1,5000+,2025-01-19 10:28:33
Sainsbury's Supermarkets Ltd,47110,13.8,10.9,35.2,19.4,31.7,27.3,47.2,52.8,44.6,55.4,49.3,50.7,56.1,43.9,5000+,2025-02-05 15:21:48
Lloyds Banking Group plc,64191,36.8,32.4,69.7,48.5,79.8,68.2,31.5,68.5,38.9,61.1,51.4,48.6,73.1,26.9,5000+,2025-03-15 12:09:17
Asda Stores Limited,47110,12.5,9.8,31.7,16.2,28.4,24.1,49.3,50.7,46.8,53.2,51.6,48.4,57.8,42.2,5000+,2025-01-31 09:44:25
Morrisons Supermarkets plc,47110,14.2,11.3,33.8,18.1,29.7,25.4,48.7,51.3,45.9,54.1,50.8,49.2,58.3,41.7,5000+,2025-02-28 14:33:52
National Grid plc,35110,28.7,24.9,58.3,35.2,67.8,56.4,22.1,77.9,26.8,73.2,41.5,58.5,69.7,30.3,5000+,2025-03-09 11:56:38
BT Group plc,61100,26.3,22.8,51.7,29.4,62.5,51.8,29.7,70.3,33.4,66.6,46.2,53.8,65.9,34.1,5000+,2025-01-25 16:12:41
Shell UK Limited,06100,31.5,27.8,65.9,42.7,74.2,63.5,35.4,64.6,41.8,58.2,54.7,45.3,71.6,28.4,5000+,2025-02-14 10:37:29
BP plc,06100,29.8,26.1,63.2,39.8,71.9,60.7,33.7,66.3,39.5,60.5,52.1,47.9,69.3,30.7,5000+,2025-03-18 13:28:54
Vodafone Limited,61100,24.6,21.2,48.9,27.3,59.7,48.2,31.8,68.2,35.9,64.1,49.3,50.7,63.4,36.6,5000+,2025-01-22 15:47:12
Marks & Spencer plc,47110,16.3,13.5,38.4,21.7,35.1,30.6,44.2,55.8,41.7,58.3,48.9,51.1,55.7,44.3,5000+,2025-02-08 09:23:55
John Lewis Partnership plc,47110,17.8,14.9,41.2,23.8,38.7,33.1,46.3,53.7,43.1,56.9,50.4,49.6,57.2,42.8,5000+,2025-03-11 12:15:38
Rolls-Royce plc,30300,27.9,24.1,56.8,33.7,66.2,54.9,24.6,75.4,28.9,71.1,43.7,56.3,68.4,31.6,5000+,2025-01-30 14:58:22
BMW (UK) Manufacturing Limited,29100,25.3,21.7,52.1,30.5,61.8,50.3,27.4,72.6,31.2,68.8,45.9,54.1,66.7,33.3,1000-4999,2025-02-19 11:42:47
Network Rail Infrastructure Limited,52210,23.8,20.4,49.7,28.1,58.3,47.6,25.7,74.3,29.5,70.5,44.2,55.8,64.1,35.9,5000+,2025-03-14 16:37:29
Walmart UK Limited,47110,15.7,12.8,36.9,20.2,32.8,28.1,46.8,53.2,44.3,55.7,49.7,50.3,56.9,43.1,5000+,2025-01-27 10:19:44
PwC LLP,69201,34.2,30.5,67.3,44.1,75.6,64.2,36.8,63.2,43.5,56.5,56.9,43.1,72.8,27.2,5000+,2025-02-26 13:54:18
Deloitte LLP,69201,33.8,29.9,66.1,42.8,74.3,62.9,35.2,64.8,42.1,57.9,55.4,44.6,71.5,28.5,5000+,2025-03-20 09:31:52
KPMG LLP,69201,32.9,29.2,64.7,41.3,72.8,61.5,34.1,65.9,40.7,59.3,54.2,45.8,70.3,29.7,5000+,2025-01-21 15:26:33
EY LLP,69201,33.5,29.7,65.4,42.0,73.5,62.1,34.7,65.3,41.3,58.7,54.8,45.2,70.9,29.1,5000+,2025-02-12 11:48:25
Accenture (UK) Limited,62020,30.2,26.5,61.8,38.9,70.1,58.7,32.4,67.6,38.7,61.3,51.6,48.4,68.2,31.8,5000+,2025-03-05 14:22:17
Capgemini UK plc,62020,29.6,25.9,60.3,37.2,68.7,57.1,31.8,68.2,37.9,62.1,50.4,49.6,67.1,32.9,1000-4999,2025-01-26 16:05:44
IBM United Kingdom Limited,62030,28.4,24.7,58.1,35.6,66.3,54.8,30.2,69.8,36.1,63.9,48.7,51.3,65.4,34.6,5000+,2025-02-15 10:13:28
Google UK Limited,63110,27.8,24.1,56.9,34.2,64.8,53.1,29.5,70.5,35.4,64.6,47.9,52.1,64.7,35.3,5000+,2025-03-12 12:48:31
Microsoft UK Limited,58210,26.9,23.3,55.2,32.8,63.1,51.7,28.7,71.3,34.6,65.4,46.8,53.2,63.5,36.5,5000+,2025-01-24 15:37:52
Apple (UK) Limited,47410,25.7,22.1,53.4,31.2,61.5,49.8,27.9,72.1,33.8,66.2,45.7,54.3,62.3,37.7,5000+,2025-02-21 09:52:15
Meta Platforms UK Limited,63110,24.8,21.2,51.7,29.6,59.8,48.1,27.1,72.9,32.9,67.1,44.5,55.5,61.2,38.8,1000-4999,2025-03-17 14:19:38
Twitter UK Limited,63110,23.9,20.4,49.8,27.9,57.9,46.2,26.3,73.7,31.8,68.2,43.4,56.6,60.1,39.9,500-999,2025-01-29 11:35:44
