data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1992,City,CA,California,1992-04-12,1,0,2,2,0,White,Non-Hispanic,1,Intimidation,1,Residence/Home,Anti-Black,Gay (male),0,0
1995,County,TX,Texas,1995-11-03,0,1,1,1,0,Black,Hispanic,1,Simple Assault,1,School-College,Anti-Hispanic,Juvenile,0,0
1998,City,NY,New York,1998-07-19,2,0,3,2,1,Asian,Non-Hispanic,2,Aggravated Assault,2,Highway/Road,Anti-Asian,Adults,1,0
1991,State,FL,Florida,1991-02-28,1,0,1,1,0,White,Non-Hispanic,1,Destruction/Damage/Vandalism,1,Church/Synagogue,Anti-Jewish,Religious Organization,0,0
1994,Tribal,WA,Washington,1994-09-15,0,0,2,1,1,American Indian/Alaskan Native,Non-Hispanic,0,Intimidation,0,Residence/Home,Anti-American Indian/Alaskan Native,Homosexual,0,0
1997,County,IL,Illinois,1997-12-22,1,0,1,1,0,Black,Non-Hispanic,1,Robbery,1,Convenience Store,Anti-White,Individual,0,0
2000,City,PA,Pennsylvania,2000-05-07,0,1,2,1,1,White,Hispanic,1,Sexual Assault,1,Residence/Home,Anti-Female,Juvenile,0,0
2003,Other,OH,Ohio,2003-08-30,2,0,1,1,0,White,Non-Hispanic,2,Intimidation,2,Residence/Home,Anti-Black,Adults,0,0
2006,State,MI,Michigan,2006-03-14,1,0,3,3,0,Black,Non-Hispanic,1,Aggravated Assault,1,Bar/Nightclub,Anti-Male Homosexual,Gay,0,0
2009,County,GA,Georgia,2009-10-01,0,0,1,1,0,White,Non-Hispanic,0,Destruction/Damage/Vandalism,0,Residence/Home,Anti-Black,Homosexual,0,0
2012,City,NC,North Carolina,2012-01-26,1,0,2,1,1,Asian,Hispanic,1,Simple Assault,1,Residence/Home,Anti-Asian,Individual,0,0
1993,County,CA,California,1993-06-11,0,1,1,0,1,White,Non-Hispanic,1,Intimidation,1,School-Elementary,Anti-Jewish,Juvenile,0,0
1996,City,TX,Texas,1996-12-05,2,0,1,1,0,Black,Hispanic,2,Aggravated Assault,2,Parking Lot/Garage,Anti-Hispanic,Adults,0,0
1999,State,NY,New York,1999-08-20,1,0,2,2,0,White,Non-Hispanic,1,Murder and Non-negligent Manslaughter,1,Alley/Street,Anti-Black,Individual,0,0
2002,County,FL,Florida,2002-02-14,0,0,3,2,1,Black,Non-Hispanic,0,Destruction/Damage/Vandalism,0,Church/Synagogue,Anti-Protestant,Religious Organization,0,0
2005,City,WA,Washington,2005-09-03,1,0,1,1,0,American Indian/Alaskan Native,Non-Hispanic,1,Intimidation,1,Residence/Home,Anti-American Indian/Alaskan Native,Individual,0,0
2008,Other,IL,Illinois,2008-04-18,0,1,2,1,1,White,Hispanic,1,Sexual Assault,1,Residence/Home,Anti-Female,Juvenile,0,0
2011,State,PA,Pennsylvania,2011-11-12,2,0,1,1,0,Black,Non-Hispanic,2,Simple Assault,2,Bar/Nightclub,Anti-White,Adults,0,0
1994,County,OH,Ohio,1994-07-25,1,0,2,2,0,White,Non-Hispanic,1,Aggravated Assault,1,Highway/Road,Anti-Male Homosexual,Gay,0,0
1997,City,MI,Michigan,1997-03-09,0,0,1,1,0,Black,Hispanic,0,Destruction/Damage/Vandalism,0,Residence/Home,Anti-Hispanic,Homosexual,0,0
2000,County,GA,Georgia,2000-10-22,1,0,3,3,0,Asian,Non-Hispanic,1,Robbery,1,Convenience Store,Anti-Asian,Individual,0,0
2003,State,NC,North Carolina,2003-05-30,0,1,1,0,1,White,Non-Hispanic,1,Intimidation,1,School-High,Anti-Jewish,Juvenile,0,0
2006,City,CA,California,2006-12-13,2,0,2,1,1,Black,Hispanic,2,Simple Assault,2,Parking Lot/Garage,Anti-Black,Adults,0,0
2009,County,TX,Texas,2009-09-04,1,0,1,1,0,White,Non-Hispanic,1,Murder and Non-negligent Manslaughter,1,Alley/Street,Anti-Hispanic,Individual,0,0
2012,State,NY,New York,2012-06-27,0,0,2,1,1,Black,Non-Hispanic,0,Destruction/Damage/Vandalism,0,Church/Synagogue,Anti-Catholic,Religious Organization,0,0
1995,City,FL,Florida,1995-01-19,1,0,1,1,0,American Indian/Alaskan Native,Hispanic,1,Intimidation,1,Residence/Home,Anti-American Indian/Alaskan Native,Individual,0,0
1998,County,WA,Washington,1998-10-08,0,1,2,2,0,White,Non-Hispanic,1,Sexual Assault,1,Residence/Home,Anti-Female,Juvenile,0,0
2001,Other,IL,Illinois,2001-05-02,2,0,1,1,0,Black,Non-Hispanic,2,Aggravated Assault,2,Bar/Nightclub,Anti-White,Adults,0,0
2004,State,PA,Pennsylvania,2004-08-16,1,0,3,2,1,White,Hispanic,1,Robbery,1,Convenience Store,Anti-Male Homosexual,Gay,0,0
2007,City,OH,Ohio,2007-02-11,0,0,1,1,0,Black,Non-Hispanic,0,Destruction/Damage/Vandalism,0,Residence/Home,Anti-Black,Homosexual,0,0
2010,County,MI,Michigan,2010-12-30,1,0,2,1,1,Asian,Hispanic,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,0,0
2013,State,GA,Georgia,2013-07-14,0,1,1,0,1,White,Non-Hispanic,1,Simple Assault,1,School-Middle,Anti-Jewish,Juvenile,0,0
1993,City,NC,North Carolina,1993-04-05,2,0,2,2,0,Black,Hispanic,2,Aggravated Assault,2,Highway/Road,Anti-Hispanic,Adults,0,0
1996,County,CA,California,1996-11-20,1,0,1,1,0,White,Non-Hispanic,1,Murder and Non-negligent Manslaughter,1,Alley/Street,Anti-Black,Individual,0,0
1999,State,TX,Texas,1999-03-07,0,0,3,3,0,Black,Non-Hispanic,0,Destruction/Damage/Vandalism,0,Church/Synagogue,Anti-Protestant,Religious Organization,0,0
2002,City,NY,New York,2002-09-24,1,0,1,1,0,American Indian/Alaskan Native,Non-Hispanic,1,Intimidation,1,Residence/Home,Anti-American Indian/Alaskan Native,Individual,0,0
2005,County,FL,Florida,2005-01-13,0,1,2,1,1,White,Hispanic,1,Sexual Assault,1,Residence/Home,Anti-Female,Juvenile,0,0
2008,Other,WA,Washington,2008-06-28,2,0,1,1,0,Black,Non-Hispanic,2,Simple Assault,2,Parking Lot/Garage,Anti-White,Adults,0,0
2011,State,IL,Illinois,2011-10-03,1,0,2,2,0,White,Non-Hispanic,1,Aggravated Assault,1,Bar/Nightclub,Anti-Male Homosexual,Gay,0,0
1994,City,PA,Pennsylvania,1994-12-17,0,0,1,1,0,Black,Hispanic,0,Destruction/Damage/Vandalism,0,Residence/Home,Anti-Hispanic,Homosexual,0,0
1997,County,OH,Ohio,1997-08-04,1,0,3,2,1,Asian,Non-Hispanic,1,Robbery,1,Convenience Store,Anti-Asian,Individual,0,0
2000,State,MI,Michigan,2000-04-21,0,1,1,0,1,White,Non-Hispanic,1,Intimidation,1,School-Primary,Anti-Jewish,Juvenile,0,0
2003,City,GA,Georgia,2003-11-06,2,0,2,1,1,Black,Hispanic,2,Simple Assault,2,Highway/Road,Anti-Black,Adults,0,0
2006,County,NC,North Carolina,2006-07-31,1,0,1,1,0,White,Non-Hispanic,1,Murder and Non-negligent Manslaughter,1,Alley/Street,Anti-White,Individual,0,0
2009,State,CA,California,2009-02-15,0,0,2,1,1,Black,Non-Hispanic,0,Destruction/Damage/Vandalism,0,Church/Synagogue,Anti-Catholic,Religious Organization,0,0
2012,City,TX,Texas,2012-09-20,1,0,3,3,0,American Indian/Alaskan Native,Hispanic,1,Intimidation,1,Residence/Home,Anti-American Indian/Alaskan Native,Individual,0,0
2014,County,NY,New York,2014-05-11,0,1,2,2,0,White,Non-Hispanic,1,Sexual Assault,1,Residence/Home,Anti-Female,Juvenile,0,0
