activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_applicaton,initially_payable_to_institution
2024,14460,TX,1130.0,11307310200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,485000.0,85.0,7.125,2.75,2,9875.5,4875.5,3500.0,2500.0,,360,0,0,2,2,2,2,570000.0,1,1,3,5,1,1,145000.0,38.0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,16980,CA,6075.0,6075019801.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,31,625000.0,96.5,6.875,,1,18500.0,8500.0,7500.0,3500.0,,360,0,0,2,2,2,2,648000.0,1,1,3,5,1,1,168000.0,42.0,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,19740,WA,53033.0,53033022301.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,425000.0,100.0,6.25,,1,12000.0,4500.0,5500.0,1500.0,,360,0,0,2,2,2,2,425000.0,1,1,3,5,1,1,115000.0,28.0,1,10,2,5,1,4,5,8,1,4,2,4,1,4,25-34,25-34,No,No,1,1
2024,12060,GA,13089.0,13089006302.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,32,75000.0,,7.75,,3,,,,,,240,0,0,2,2,2,2,,1,1,3,5,1,1,85000.0,48.0,1,10,2,5,1,4,3,8,1,4,1,4,1,4,35-44,9999,No,,1,1
2024,38060,ND,38017.0,38017010500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,31,315000.0,80.0,7.0,2.5,2,8250.0,3250.0,3000.0,1000.0,,360,0,0,2,2,2,2,394000.0,1,1,3,5,1,1,95000.0,31.0,3,10,3,5,3,4,6,8,3,4,3,4,3,4,45-54,9999,Yes,,1,1
2024,24330,IL,17031.0,17031070200.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,275000.0,96.5,7.375,,1,11250.0,5500.0,5000.0,2000.0,,360,0,0,2,2,2,2,285000.0,1,1,3,5,1,1,78000.0,46.0,1,1,1,1,1,1,5,5,1,1,2,1,1,1,25-34,25-34,No,No,1,1
2024,35620,NY,36001.0,36001004700.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,850000.0,75.0,6.625,2.0,2,18500.0,8500.0,7500.0,3500.0,,360,0,0,2,2,2,2,1135000.0,1,1,3,5,1,1,285000.0,33.0,1,1,2,2,1,1,5,5,1,1,1,1,1,1,45-54,45-54,No,No,1,1
2024,12580,FL,12011.0,12011007403.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,395000.0,90.0,7.5,2.75,2,10500.0,5000.0,4500.0,2000.0,,360,0,0,2,2,2,2,439000.0,1,1,3,5,1,1,110000.0,41.0,1,1,2,2,1,1,3,3,1,1,2,1,1,1,35-44,35-44,No,No,1,1
2024,14460,TX,1130.0,11307100200.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Male,1,31,365000.0,100.0,6.375,,1,9500.0,4000.0,4000.0,1500.0,,360,0,0,2,2,2,2,365000.0,1,1,3,5,1,1,95000.0,29.0,1,10,2,5,1,4,5,8,1,4,1,4,1,4,35-44,9999,No,,1,1
2024,19100,OR,41051.0,41051002800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,31,525000.0,82.0,7.0,2.25,2,12500.0,6000.0,5500.0,2500.0,,360,0,0,2,2,2,2,640000.0,1,1,3,5,1,1,135000.0,35.0,1,1,2,2,1,1,7,7,1,1,1,1,1,1,45-54,45-54,No,No,1,1
