activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,14460,TX,141,14100,48439100203,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,425000,80,7.125,NA,0,8500,3500,3500,0,0,360,0,0,2,2,2,2,531250,1,1,3,5,1,150000,45,1,1,2,2,2,2,2,2,2,2,1,1,2,2,35-44,25-34,No,No,1,1
2024,16980,CA,37,03700,06037200301,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,610000,95,6.75,NA,0,12200,6100,6100,0,0,360,0,0,2,2,2,2,642105,1,1,3,5,1,85000,38,1,1,1,1,2,2,1,1,2,2,2,2,2,2,25-34,25-34,No,No,1,1
2024,19780,FL,86,08600,12086000102,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,335000,90,6.5,NA,0,6700,3350,3350,0,0,360,0,0,2,2,2,2,372222,1,1,3,5,1,78000,42,1,1,2,2,2,2,2,2,2,2,1,1,2,2,45-54,35-44,No,No,1,1
2024,23844,WA,53,05300,53033020401,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,75000,10,8,2.5,0,3750,1500,1500,0,0,180,0,0,2,2,2,2,750000,1,1,3,5,1,125000,28,1,1,2,2,2,2,2,2,2,2,2,2,2,2,55-64,45-54,Yes,No,1,1
2024,26420,OH,35,03500,39035004700,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Female,1,1,195000,100,7,NA,0,5850,2925,2925,0,0,360,0,0,2,2,2,2,195000,1,1,1,5,1,52000,36,1,1,2,2,2,2,2,2,2,2,2,2,2,2,25-34,25-34,No,No,1,1
2024,31080,NY,59,05900,36059000100,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,1,1,825000,75,7.25,NA,0,16500,8250,8250,0,0,360,0,0,2,2,2,2,1100000,1,1,3,5,1,225000,40,1,1,1,1,2,2,1,1,2,2,1,1,2,2,35-44,35-44,No,No,1,1
2024,33460,AZ,13,01300,04013000101,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,1,1,410000,96,6.875,NA,0,8200,4100,4100,0,0,360,0,0,2,2,2,2,427083,1,1,3,5,1,95000,43,1,1,2,2,2,2,2,2,2,2,2,2,2,2,45-54,35-44,No,No,1,1
2024,35620,PA,29,02900,42029003100,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,555000,85,7.375,NA,0,11100,5550,5550,0,0,360,0,0,2,2,2,2,652941,1,1,3,5,1,165000,38,1,1,2,2,2,2,2,2,2,2,1,1,2,2,45-54,45-54,No,No,1,1
2024,38060,NC,183,18300,37183000101,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,385000,92,6.625,NA,0,7700,3850,3850,0,0,360,0,0,2,2,2,2,418478,1,1,3,5,1,88000,44,1,1,2,2,2,2,2,2,2,2,2,2,2,2,35-44,35-44,No,No,1,1
2024,41740,MI,99,09900,26163000200,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,295000,80,7.5,NA,0,5900,2950,2950,0,0,360,0,0,2,2,2,2,368750,1,1,3,5,1,105000,35,1,1,2,2,2,2,2,2,2,2,1,1,2,2,25-34,25-34,No,No,1,1
