activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,12054,GA,13121.0,13121010529.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,285000.0,96.5,7.125,0.75,2,12500.0,4500.0,3500.0,1000.0,500.0,360,0,0,2,2,2,2,295000.0,1,1,3,5,1,75000.0,42.0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,35-44,25-34,No,No,1,1,
2024,41884,TX,48113.0,48113030801.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,425000.0,85.0,6.875,0.5,2,8500.0,2500.0,2500.0,0.0,0.0,300,0,0,2,2,2,2,500000.0,1,1,3,5,1,150000.0,28.0,1,1,1,2,1,1,2,6,1,1,1,1,1,1,45-54,35-44,No,No,1,1,
2024,38060,OH,39061.0,39061003201.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Application denied,1,315000.0,,7.375,,2,,,,,,360,,,2,2,2,2,,1,1,3,5,1,85000.0,47.0,1,10,1,5,1,4,3,8,1,4,1,4,1,4,25-34,9999,No,,1,1,
2024,14460,CA,6073.0,6073010202.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan originated,3,75000.0,,9.125,4.25,3,,2500.0,2500.0,0.0,0.0,180,0,0,2,2,2,2,350000.0,1,1,3,5,1,65000.0,38.0,1,10,1,1,1,1,5,5,1,1,1,1,1,1,55-64,45-54,No,No,1,1,
2024,16980,NC,37183.0,37183040104.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,195000.0,97.5,7.0,0.875,2,8900.0,3200.0,2800.0,400.0,0.0,360,0,0,2,2,2,2,200000.0,1,1,1,5,1,58000.0,31.0,1,1,1,1,1,1,5,5,1,1,2,1,1,1,25-34,25-34,No,No,1,1,
2024,31080,IL,17031.0,17031012200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,1,385000.0,,6.75,,2,,,,,,300,,,2,2,2,2,,1,1,3,5,1,125000.0,25.0,1,10,1,5,1,4,5,8,1,4,1,4,1,4,35-44,9999,No,,1,1,
2024,19100,MI,26163.0,26163008001.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan purchased by the lender,1,275000.0,,6.625,,2,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,,9,9,4.0,4.0,3,3,7,7,3,3,4,4,3,3,8888,8888,,,3,3,
2024,26420,CO,8031.0,80310010202.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,525000.0,80.0,6.5,0.25,2,6500.0,1500.0,1500.0,0.0,0.0,360,0,0,2,2,2,2,656250.0,1,1,1,5,1,165000.0,22.0,1,1,1,1,1,1,5,5,1,1,2,1,1,1,45-54,45-54,No,No,1,1,
2024,12060,FL,12011.0,12011009402.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Other,Female,Application approved but not accepted,1,315000.0,90.0,7.25,1.0,2,9500.0,3000.0,3000.0,0.0,0.0,360,0,0,2,2,2,2,350000.0,1,1,1,5,1,95000.0,35.0,1,10,1,1,1,1,6,6,1,1,2,1,1,1,35-44,55-64,No,Yes,1,1,
2024,42660,WA,53033.0,53033021902.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,485000.0,96.5,6.875,0.75,2,14200.0,5200.0,4200.0,1000.0,0.0,360,0,0,2,2,2,2,502590.0,1,1,3,5,1,115000.0,40.0,1,1,1,2,1,1,2,6,1,1,1,1,1,1,35-44,35-44,No,No,1,1,
