activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35620,36,005,010100,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,White,Male,1,2,425000,82.5,7.125,1.75,0,8500,3500,2800,750,500,360,,,1,2,3,4,515000,1,1,,,1,,115000,38,1,1,2,2,1,1,5,5,1,1,1,1,1,1,42,39,2,2,1,1
2024,31080,06,037,207204,FHA: First Lien,Single Family (1-4 Units): Site-Built,Hispanic or Latino,Latino,Male,1,1,612000,96.2,6.875,1.25,0,12000,4800,4200,1200,1000,360,,,1,2,3,4,637000,1,1,,,1,,148000,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,33,2,2,1,1
2024,16980,12,057,000102,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,Asian,Male,1,1,385000,78.0,7.375,2.00,0,7200,2900,2400,650,400,360,,,1,2,3,4,495000,1,1,,,1,,98000,31,1,1,2,2,1,1,2,2,1,1,1,1,1,1,29,27,2,2,1,1
2024,19100,13,135,030204,VA: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,298000,92.5,6.625,0.75,0,6800,2700,2200,500,600,360,,,1,2,3,4,322000,1,1,,,1,,87000,40,1,1,2,2,1,1,3,3,1,1,2,2,1,1,38,,2,2,1,1
2024,26420,18,057,045802,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,White,Female,1,2,510000,85.0,7.5,1.5,0,9500,4100,3300,900,700,360,,,1,2,3,4,600000,1,1,,,1,,132000,36,1,1,2,2,1,1,5,5,1,1,2,2,1,1,45,42,1,2,1,1
2024,41860,48,113,024503,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Hispanic or Latino,Latino,Male,1,1,375000,89.5,7.0,1.25,0,7800,3200,2600,700,550,360,,,1,2,3,4,420000,1,1,,,1,,105000,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,29,2,2,1,1
2024,38060,42,003,010001,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,White,Male,1,1,455000,80.5,7.25,1.75,0,8600,3600,2900,800,600,360,,,1,2,3,4,565000,1,1,,,1,,118000,34,1,1,2,2,1,1,5,5,1,1,1,1,1,1,39,37,2,2,1,1
2024,12060,13,223,050201,FHA: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,285000,94.0,6.75,1.00,0,6500,2600,2100,450,500,360,,,1,2,3,4,305000,1,1,,,1,,76000,42,1,1,2,2,1,1,3,3,1,1,2,2,1,1,33,30,2,2,1,1
2024,14460,21,067,030406,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,Asian,Female,1,2,525000,77.0,7.625,2.25,0,9800,4200,3400,950,750,360,,,1,2,3,4,680000,1,1,,,1,,145000,29,1,1,2,2,1,1,2,2,1,1,2,2,1,1,41,38,2,2,1,1
2024,33100,06,073,041800,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Hispanic or Latino,Latino,Male,1,1,650000,83.0,7.375,1.5,0,13200,5400,4400,1200,900,360,,,1,2,3,4,785000,1,1,,,1,,175000,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,41,1,2,1,1
2024,49700,53,033,050204,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,White,Male,1,1,395000,81.0,7.125,1.5,0,7600,3100,2500,650,500,360,,,1,2,3,4,488000,1,1,,,1,,108000,35,1,1,2,2,1,1,5,5,1,1,1,1,1,1,36,34,2,2,1,1
2024,29820,29,189,011005,VA: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,268000,95.5,6.5,0.5,0,5900,2300,1900,400,450,360,,,1,2,3,4,280000,1,1,,,1,,71000,44,1,1,2,2,1,1,3,3,1,1,1,1,1,1,29,27,2,2,1,1
2024,41180,47,037,019302,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,Asian,Female,1,2,445000,79.5,7.5,1.75,0,8500,3500,2800,750,600,360,,,1,2,3,4,560000,1,1,,,1,,125000,32,1,1,2,2,1,1,2,2,1,1,2,2,1,1,43,40,2,2,1,1
2024,18140,05,119,920300,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Hispanic or Latino,Latino,Female,1,1,320000,88.0,6.875,1.00,0,6700,2700,2200,500,550,360,,,1,2,3,4,365000,1,1,,,1,,89000,38,1,1,1,1,1,1,1,1,1,1,2,2,1,1,32,30,2,2,1,1
2024,38900,39,035,000101,Conventional: First Lien,Single Family (1-4 Units): Site-Built,Not Hispanic or Latino,White,Male,1,1,485000,82.0,7.25,1.5,0,9200,3800,3100,850,650,360,,,1,2,3,4,590000,1,1,,,1,,128000,33,1,1,2,2,1,1,5,5,1,1,1,1,1,1,46,43,1,2,1,1
