EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
BRITISH SKY BROADCASTING LIMITED,"60200,61100",14.2,11.5,48.7,42.1,32.5,28.9,38.2,61.8,44.5,55.5,52.3,47.7,68.9,31.1,5000+,2025-04-01 09:22:15
TESCO STORES LIMITED,"47110,47240",8.3,5.2,35.8,28.4,15.7,12.3,45.2,54.8,48.1,51.9,55.4,44.6,62.7,37.3,5000+,2025-04-02 11:15:33
NATIONAL GRID PLC,"35110,35140",22.6,19.8,65.2,58.9,78.5,71.2,18.4,81.6,29.7,70.3,45.2,54.8,72.1,27.9,5000+,2025-04-03 16:45:22
ROLLS-ROYCE HOLDINGS PLC,"30300,33150",24.1,21.3,71.5,64.8,82.3,76.9,22.1,77.9,34.8,65.2,49.6,50.4,75.8,24.2,5000+,2025-04-04 10:30:45
BARCLAYS BANK PLC,"64110,64999",32.8,28.4,78.9,68.5,85.7,79.2,28.5,71.5,38.9,61.1,58.2,41.8,81.3,18.7,5000+,2025-04-05 14:20:18
BP PLC,"06100,19201",28.4,24.7,74.2,67.1,79.8,73.5,24.7,75.3,36.2,63.8,54.7,45.3,78.4,21.6,5000+,2025-04-06 12:10:55
VODAFONE GROUP PLC,"61100,61200",18.5,15.2,52.3,46.8,42.1,37.5,35.8,64.2,41.7,58.3,49.2,50.8,67.3,32.7,5000+,2025-04-07 09:55:30
LLOYDS BANKING GROUP PLC,"64110,64999",35.2,31.8,81.4,74.6,88.2,82.7,31.4,68.6,43.5,56.5,62.8,37.2,84.6,15.4,5000+,2025-04-08 15:40:12
SHELL UK LIMITED,"06100,19209",26.8,23.1,69.7,62.3,76.4,69.8,21.9,78.1,33.6,66.4,51.3,48.7,76.2,23.8,5000+,2025-04-09 11:25:47
BT GROUP PLC,"61100,61200",19.7,16.4,55.8,49.2,45.3,40.7,38.2,61.8,44.9,55.1,52.7,47.3,69.5,30.5,5000+,2025-04-10 13:15:28
UNILEVER UK LIMITED,"10890,20590",15.3,12.8,42.6,37.1,28.4,24.7,40.5,59.5,46.2,53.8,54.9,45.1,71.2,28.8,5000+,2025-04-11 10:05:19
HSBC BANK PLC,"64110,64999",38.6,34.2,84.7,78.3,91.5,86.2,34.8,65.2,47.3,52.7,66.4,33.6,87.9,12.1,5000+,2025-04-12 16:30:44
ASTRAZENECA UK LIMITED,"21100,21200",21.4,18.7,63.2,56.8,72.1,65.4,26.3,73.7,37.9,62.1,53.6,46.4,74.8,25.2,5000+,2025-04-13 09:15:33
GLAXOSMITHKLINE PLC,"21200,46460",19.8,17.2,58.4,51.7,68.3,61.8,29.7,70.3,39.4,60.6,56.1,43.9,73.5,26.5,5000+,2025-04-14 14:50:27
DIAGEO PLC,"11010,46342",16.9,14.1,46.3,40.8,35.2,30.6,37.4,62.6,43.7,56.3,51.8,48.2,70.4,29.6,5000+,2025-04-15 11:35:52
J SAINSBURY PLC,"47110,47290",11.2,8.7,38.5,32.1,21.4,17.8,42.3,57.7,47.6,52.4,54.2,45.8,65.7,34.3,5000+,2025-04-16 13:20:14
MORRISONS SUPERMARKETS PLC,"47110,47210",13.5,10.9,41.2,35.6,25.7,21.3,39.8,60.2,45.3,54.7,52.9,47.1,68.3,31.7,5000+,2025-04-17 10:10:41
TESCO PLC,"47110,47240",9.8,7.1,36.7,30.2,18.9,15.1,43.7,56.3,48.4,51.6,55.1,44.9,64.2,35.8,5000+,2025-04-18 15:45:22
ASDA STORES LIMITED,"47110,47290",12.4,9.8,39.4,33.7,23.1,19.4,41.5,58.5,46.8,53.2,53.6,46.4,66.9,33.1,5000+,2025-04-19 12:30:55
MARKS & SPENCER PLC,"47110,47789",14.7,11.9,43.8,37.2,27.3,23.6,38.2,61.8,44.1,55.9,51.7,48.3,69.5,30.5,5000+,2025-04-20 09:25:18
JOHN LEWIS PLC,"47110,47910),13.1,10.6,40.7,34.9,24.8,20.7,40.9,59.1,45.7,54.3,52.4,47.6,67.8,32.2,5000+,2025-04-21 14:15:33
NEXT PLC,"47710,47789",18.3,15.6,51.2,44.8,38.7,33.9,33.5,66.5,40.2,59.8,48.6,51.4,71.3,28.7,5000+,2025-04-22 11:00:47
MCDONALD'S RESTAURANTS LIMITED,"56101,56210",6.8,4.2,28.3,21.7,12.1,9.4,48.3,51.7,51.2,48.8,56.7,43.3,61.4,38.6,5000+,2025-04-23 16:40:12
DOMINO'S PIZZA GROUP PLC,"56102,56210",8.4,5.7,31.6,25.2,15.3,11.8,45.7,54.3,49.8,50.2,54.9,45.1,63.2,36.8,1000-4999,2025-04-24 13:20:28
PIZZA HUT (UK) LIMITED,"56101,56290",7.9,5.1,29.8,23.4,13.7,10.2,46.9,53.1,50.4,49.6,55.8,44.2,62.1,37.9,1000-4999,2025-04-25 10:05:33
KFC UK LIMITED,"56101,56210),7.2,4.6,27.5,21.1,11.8,9.1,47.6,52.4,50.9,49.1,56.3,43.7,61.8,38.2,5000+,2025-04-26 15:30:44
SUBWAY UK LIMITED,"56101,56290",8.1,5.4,30.2,23.8,14.1,10.6,46.2,53.8,49.5,50.5,55.2,44.8,62.7,37.3,1000-4999,2025-04-27 12:15:19
STARBUCKS COFFEE COMPANY (UK) LIMITED,"56102,56290",9.3,6.5,33.7,27.1,17.2,13.5,44.1,55.9,48.3,51.7,53.6,46.4,64.5,35.5,1000-4999,2025-04-28 09:50:27
COSTA LIMITED,"56102,56290",8.7,5.9,32.1,25.6,16.4,12.7,45.3,54.7,49.1,50.9,54.7,45.3,63.8,36.2,1000-4999,2025-04-29 14:25:41
PRET A MANGER LIMITED,"56101,56290",10.2,7.4,36.8,29.5,19.7,15.8,41.7,58.3,46.9,53.1,52.1,47.9,66.4,33.6,1000-4999,2025-04-30 11:10:33
WAGAMAMA LIMITED,"56101,56290",11.5,8.6,39.4,32.7,22.3,18.1,39.8,60.2,44.7,55.3,50.6,49.4,68.2,31.8,500-999,2025-05-01 16:45:18
NANDO'S UK LIMITED,"56101,56290",10.8,7.9,37.6,30.9,20.8,16.7,40.9,59.1,45.8,54.2,51.3,48.7,67.1,32.9,1000-4999,2025-05-02 13:30:44
ZIZZI RESTAURANTS LIMITED,"56101,56290",12.3,9.4,41.7,34.8,24.1,19.8,37.6,62.4,43.2,56.8,49.7,50.3,69.5,30.5,500-999,2025-05-03 10:20:55
PIZZAEXPRESS LIMITED,"56101,56290",11.9,8.9,40.2,33.5,23.4,19.2,38.4,61.6,44.1,55.9,50.2,49.8,68.7,31.3,1000-4999,2025-05-04 09:15:22
ASK ITALIAN LIMITED,"56101,56290",13.1,10.1,42.8,35.9,25.7,21.3,36.2,63.8,42.5,57.5,48.9,51.1,70.3,29.7,500-999,2025-05-05 14:40:33
STRADA RESTAURANTS LIMITED,"56101,56290",12.7,9.7,41.5,34.2,24.8,20.5,37.1,62.9,43.3,56.7,49.4,50.6,69.8,30.2,250-499,2025-05-06 11:25:47
HARVEY NICHOLS LIMITED,"47110,47789",28.4,24.6,67.3,59.8,73.2,66.4,23.7,76.3,31.4,68.6,48.2,51.8,76.9,23.1,1000-4999,2025-05-07 16:10:18
SELFRIDGES LIMITED,"47110,47789",26.8,23.1,64.7,57.2,70.1,63.3,25.9,74.1,33.7,66.3,50.6,49.4,74.6,25.4,1000-4999,2025-05-08 13:55:44
FORTNUM & MASON LIMITED,"47110,47789",31.2,27.5,72.8,65.3,81.4,74.6,20.3,79.7,28.6,71.4,45.9,54.1,79.2,20.8,500-999,2025-05-09 10:45:27
LIBERTY LONDON LIMITED,"47110,47789",29.6,25.8,69.5,62.1,75.7,68.9,22.1,77.9,30.2,69.8,47.3,52.7,77.8,22.2,250-499,2025-05-10 09:35:12
HARRODS LIMITED,"47110,47789",33.7,29.4,76.2,69.8,86.3,79.5,18.6,81.4,26.9,73.1,43.7,56.3,81.6,18.4,5000+,2025-05-11 14:20:33
BURBERRY LIMITED,"14120,47789",22.1,19.3,58.7,51.4,64.2,57.8,28.4,71.6,36.7,63.3,52.1,47.9,73.2,26.8,1000-4999,2025-05-12 11:05:47
ALEXANDER MCQUEEN LIMITED,"14120,47789",24.8,21.5,63.4,56.1,69.8,62.7,25.3,74.7,34.2,65.8,49.6,50.4,75.9,24.1,500-999,2025-05-13 16:50:18
VIVIENNE WESTWOOD LIMITED,"14120,47789",27.3,23.9,66.8,59.5,73.1,66.3,22.7,77.3,31.8,68.2,46.9,53.1,78.4,21.6,250-499,2025-05-14 13:40:44
PAUL SMITH LIMITED,"14120,47789",25.6,22.2,64.1,57.8,71.5,64.2,24.1,75.9,33.4,66.6,48.3,51.7,76.7,23.3,250-499,2025-05-15 10:30:33
TED BAKER LIMITED,"14120,47789",23.9,20.6,61.3,54.7,67.8,60.5,26.8,73.2,35.1,64.9,50.7,49.3,74.5,25.5,1000-4999,2025-05-16 09:20:55
KAREN MILLEN LIMITED,"14120,47789",26.4,23.1,65.7,58.4,72.3,65.1,23.6,76.4,32.7,67.3,47.8,52.2,77.2,22.8,500-999,2025-05-17 14:55:12
WHISTLES LIMITED,"14120,47789",28.1,24.7,68.2,61.9,74.6,67.8,21.4,78.6,29.5,70.5,45.2,54.8,79.1,20.9,250-499,2025-05-18 11:40:27
REISS LIMITED,"14120,47789",24.3,21.0,62.5,55.8,68.7,61.4,25.7,74.3,34.8,65.2,49.1,50.9,75.3,24.7,500-999,2025-05-19 16:25:44
ALLSAINTS LIMITED,"14120,47789",21.7,18.9,59.4,52.1,65.3,58.9,27.9,72.1,37.2,62.8,51.4,48.6,72.8,27.2,1000-4999,2025-05-20 13:15:18
SUPERDRY PLC,"14120,47789",19.5,16.8,55.2,48.7,61.4,54.8,30.6,69.4,39.7,60.3,53.8,46.2,71.4,28.6,1000-4999,2025-05-21 10:05:33
