EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Barclays Bank UK PLC,64191,24.8,18.2,68.5,45.3,78.2,65.1,38.5,61.5,42.0,58.0,55.3,44.7,72.1,27.9,5000+,2025-04-01 09:15:22
Tesco Stores Limited,47110,8.7,5.2,35.6,22.1,41.3,38.7,45.2,54.8,48.1,51.9,52.3,47.7,59.4,40.6,5000+,2025-04-02 11:30:45
NHS England,86101,15.3,11.7,42.8,28.9,34.5,32.1,21.4,78.6,25.7,74.3,35.2,64.8,48.3,51.7,5000+,2025-04-03 14:22:18
Rolls-Royce Power Systems Limited,28110,19.4,12.8,54.7,31.2,82.1,76.3,62.8,37.2,68.5,31.5,75.2,24.8,84.6,15.4,2500-4999,2025-03-28 16:45:33
Marks & Spencer PLC,47190,12.1,7.3,28.9,15.6,31.7,29.4,32.6,67.4,38.2,61.8,45.9,54.1,58.3,41.7,5000+,2025-04-04 10:18:55
BP Oil UK Limited,06100,22.6,16.8,71.2,48.5,85.7,79.2,41.3,58.7,48.6,51.4,62.1,37.9,78.4,21.6,2500-4999,2025-04-01 13:27:41
Sainsbury's Supermarkets Ltd,47110,9.2,4.1,31.8,18.7,38.5,35.2,43.7,56.3,46.8,53.2,51.4,48.6,61.2,38.8,5000+,2025-04-02 15:52:29
HSBC UK Bank PLC,64191,26.3,21.5,74.8,52.1,81.3,68.7,35.2,64.8,42.6,57.4,58.9,41.1,75.6,24.4,5000+,2025-04-03 09:38:17
Amazon UK Services Ltd,47910,11.8,6.4,42.3,25.7,49.2,44.6,58.3,41.7,62.1,37.9,68.7,31.3,76.2,23.8,5000+,2025-04-04 12:45:22
BBC,60100,12.7,8.9,38.5,24.2,45.8,41.3,28.5,71.5,34.2,65.8,48.6,51.4,62.1,37.9,5000+,2025-03-31 11:20:33
BT Group PLC,61100,18.9,13.2,51.7,32.8,67.4,59.2,44.3,55.7,52.1,47.9,65.8,34.2,76.5,23.5,5000+,2025-04-01 14:55:48
Royal Mail PLC,53100,14.2,9.6,43.1,27.5,52.7,46.3,48.6,51.4,54.2,45.8,63.1,36.9,71.4,28.6,5000+,2025-04-02 16:30:12
John Lewis Partnership PLC,47190,10.5,6.8,25.9,14.2,28.7,26.1,36.4,63.6,42.8,57.2,49.5,50.5,57.2,42.8,5000+,2025-04-03 10:15:25
Aviva PLC,65120,21.7,16.3,62.4,41.8,73.5,65.7,31.8,68.2,39.4,60.6,54.7,45.3,69.8,30.2,5000+,2025-04-04 15:22:44
Shell UK Limited,06100,25.1,19.7,78.9,56.3,89.2,82.1,38.7,61.3,45.2,54.8,59.6,40.4,74.3,25.7,2500-4999,2025-04-01 12:10:58
ASDA Stores Limited,47110,7.8,3.2,29.4,16.1,35.8,32.7,47.2,52.8,50.6,49.4,55.3,44.7,62.8,37.2,5000+,2025-04-02 13:45:31
Lloyds Banking Group PLC,64191,23.5,18.9,69.7,47.2,76.8,64.3,33.6,66.4,41.7,58.3,57.2,42.8,73.5,26.5,5000+,2025-04-03 11:30:45
Morrisons Supermarkets PLC,47110,8.9,4.7,30.2,17.5,37.1,34.2,46.3,53.7,49.5,50.5,54.8,45.2,61.7,38.3,5000+,2025-04-04 09:55:22
British Airways PLC,51101,16.8,11.2,48.3,29.7,56.2,49.8,42.7,57.3,48.9,51.1,59.4,40.6,68.2,31.8,5000+,2025-03-30 14:20:11
Network Rail Infrastructure Limited,42110,17.3,12.6,52.8,34.1,68.5,58.7,51.2,48.8,57.3,42.7,66.9,33.1,74.6,25.4,5000+,2025-04-01 15:40:33
Next PLC,47710,13.6,8.4,32.7,19.8,36.2,33.5,29.8,70.2,37.4,62.6,48.2,51.8,63.7,36.3,5000+,2025-04-02 12:15:48
Unilever UK Limited,10890,18.7,13.1,55.3,36.2,71.4,64.8,37.5,62.5,45.8,54.2,58.3,41.7,72.9,27.1,2500-4999,2025-04-03 13:25:19
Vodafone Limited,61100,19.2,14.5,58.7,39.4,74.2,67.5,34.9,65.1,43.7,56.3,59.8,40.2,71.6,28.4,5000+,2025-04-04 11:10:44
Tesco Bank,64191,20.4,15.7,61.3,42.8,69.5,61.2,30.2,69.8,38.6,61.4,53.9,46.1,68.7,31.3,1000-2499,2025-04-01 10:30:55
Screwfix Limited,47599,15.3,9.8,38.2,22.5,44.7,39.1,41.3,58.7,48.6,51.4,59.2,40.8,68.5,31.5,1000-2499,2025-04-02 14:45:22
PwC LLP,69201,27.8,22.1,76.5,54.9,82.7,71.3,28.4,71.6,36.2,63.8,52.8,47.2,74.1,25.9,5000+,2025-04-03 15:15:38
Deloitte LLP,69201,26.9,21.3,74.2,52.6,80.4,69.8,29.7,70.3,37.5,62.5,54.1,45.9,72.8,27.2,5000+,2025-04-04 13:20:11
KPMG LLP,69201,25.6,20.8,72.9,51.3,79.1,68.5,31.2,68.8,39.4,60.6,55.7,44.3,71.5,28.5,5000+,2025-04-01 11:45:29
EY LLP,69201,24.8,19.5,71.6,49.8,77.8,67.2,32.6,67.4,40.8,59.2,57.3,42.7,70.2,29.8,5000+,2025-04-02 16:10:44
Boots UK Limited,47730,14.7,9.2,33.8,20.1,38.5,35.7,25.9,74.1,34.6,65.4,46.8,53.2,61.4,38.6,5000+,2025-04-03 12:30:55
WHSmith PLC,47630,16.3,10.7,36.4,21.8,42.1,37.5,38.2,61.8,45.7,54.3,56.9,43.1,67.3,32.7,1000-2499,2025-04-04 10:55:22
Argos Limited,47910,12.5,7.1,29.6,16.3,34.8,31.2,40.7,59.3,47.2,52.8,55.4,44.6,64.8,35.2,5000+,2025-03-31 15:40:11
B&Q PLC,47599,13.8,8.5,31.7,18.9,38.2,34.6,43.1,56.9,49.8,50.2,58.3,41.7,66.7,33.3,5000+,2025-04-01 14:22:33
Halfords Limited,45320,15.6,10.2,37.5,23.1,45.3,40.7,46.8,53.2,53.1,46.9,62.4,37.6,70.2,29.8,1000-2499,2025-04-02 11:15:48
Iceland Foods Limited,47110,11.2,6.3,27.8,15.2,32.4,29.8,44.6,55.4,48.3,51.7,54.7,45.3,63.1,36.9,1000-2499,2025-04-03 16:45:55
Pret A Manger Limited,56101,13.4,7.9,30.1,17.6,35.7,32.4,39.2,60.8,45.6,54.4,56.8,43.2,65.3,34.7,1000-2499,2025-04-04 12:30:19
Costa Coffee Limited,56102,12.8,7.6,28.9,16.8,34.1,31.5,37.5,62.5,43.7,56.3,54.9,45.1,64.2,35.8,1000-2499,2025-04-01 13:55:44
Wetherspoon PLC,56301,14.5,9.1,33.2,19.7,39.4,35.8,48.3,51.7,52.6,47.4,60.1,39.9,68.7,31.3,1000-2499,2025-04-02 15:20:33
Greggs PLC,47240,11.6,6.8,26.3,14.9,31.2,28.6,42.1,57.9,47.3,52.7,55.8,44.2,64.5,35.5,1000-2499,2025-04-03 10:10:48
Specsavers Optical Group Limited,47789,18.2,12.4,41.7,26.3,48.2,43.5,26.8,73.2,35.4,64.6,49.7,50.3,63.8,36.2,1000-2499,2025-04-04 14:45:55
Virgin Media Limited,61100,20.7,15.8,63.4,44.2,70.8,62.3,33.5,66.5,42.1,57.9,56.4,43.6,69.7,30.3,5000+,2025-03-30 16:30:22
Sky UK Limited,61100,19.5,14.2,59.8,40.1,67.3,58.9,35.7,64.3,44.2,55.8,58.1,41.9,71.4,28.6,5000+,2025-04-01 17:15:44
Three UK Limited,61100,21.3,16.1,65.7,46.8,73.5,65.2,32.8,67.2,41.6,58.4,55.9,44.1,70.3,29.7,1000-2499,2025-04-02 18:40:11
O2 UK Limited,61100,20.1,15.3,62.1,43.5,69.7,61.4,34.2,65.8,43.1,56.9,57.3,42.7,68.9,31.1,5000+,2025-04-03 19:25:33
BARCLAYS BANK UK PLC,64191,32.1,27.8,68.4,45.2,78.3,71.5,18.2,81.8,22.4,77.6,34.1,65.9,62.7,37.3,10000+,2025-04-05 09:22:15
TESCO STORES LIMITED,47110,8.7,2.1,24.6,8.3,31.7,28.4,45.2,54.8,48.3,51.7,52.1,47.9,58.6,41.4,10000+,2025-04-05 11:45:22
NATIONAL HEALTH SERVICE TRUST,86101,15.3,9.7,0.0,0.0,0.0,0.0,23.4,76.6,28.7,71.3,35.2,64.8,44.1,55.9,5000-9999,2025-04-05 13:18:44
BRITISH AIRWAYS PLC,51101,28.4,19.2,56.7,32.1,65.8,59.3,21.5,78.5,26.9,73.1,38.4,61.6,71.2,28.8,10000+,2025-04-05 14:32:11
J SAINSBURY PLC,47110,6.8,0.0,18.9,5.2,29.4,25.1,48.7,51.3,51.2,48.8,54.6,45.4,61.3,38.7,10000+,2025-04-05 16:09:33
ROLLS-ROYCE PLC,30300,22.7,16.3,42.8,21.5,58.2,52.7,31.4,68.6,35.7,64.3,48.2,51.8,78.9,21.1,10000+,2025-04-05 18:27:55
MARKS AND SPENCER PLC,47190,12.3,3.8,28.4,12.7,35.8,31.2,42.1,57.9,45.3,54.7,49.8,50.2,64.5,35.5,10000+,2025-04-06 08:14:22
LLOYDS BANK PLC,64191,29.8,24.1,65.3,41.7,75.1,68.9,19.6,80.4,24.3,75.7,38.9,61.1,65.2,34.8,10000+,2025-04-06 10:33:47
BP OIL UK LIMITED,46711,18.9,11.2,38.6,18.9,62.4,56.1,28.7,71.3,33.5,66.5,45.2,54.8,72.8,27.2,5000-9999,2025-04-06 12:45:19
VODAFONE UK LIMITED,61900,16.4,8.9,34.2,15.3,54.7,48.2,35.1,64.9,39.6,60.4,48.9,51.1,69.5,30.5,5000-9999,2025-04-06 14:22:08
PRICEWATERHOUSECOOPERS LLP,69201,31.2,25.7,71.8,48.3,82.5,76.1,16.8,83.2,21.4,78.6,36.2,63.8,68.7,31.3,5000-9999,2025-04-06 16:18:44
DELOITTE LLP,69201,29.7,23.4,69.5,46.1,80.3,74.2,18.2,81.8,23.7,76.3,37.8,62.2,67.4,32.6,5000-9999,2025-04-06 18:55:12
KPMG LLP,69201,28.3,22.1,67.2,44.8,78.9,72.5,19.4,80.6,25.1,74.9,39.3,60.7,66.1,33.9,5000-9999,2025-04-07 09:11:33
ERNST & YOUNG LLP,69201,30.1,24.5,70.3,47.2,81.1,75.4,17.6,82.4,22.8,77.2,37.1,62.9,68.2,31.8,5000-9999,2025-04-07 11:27:18
ASDA SUPERSTORES LIMITED,47110,7.2,0.0,19.7,5.8,30.1,26.3,47.8,52.2,50.4,49.6,53.7,46.3,60.9,39.1,10000+,2025-04-07 13:42:55
MORRISONS SUPERMARKETS PLC,47110,8.1,1.2,21.4,6.7,31.8,27.9,46.3,53.7,49.1,50.9,52.8,47.2,59.7,40.3,10000+,2025-04-07 15:19:27
W H SMITH PLC,47610,14.6,6.3,31.8,14.2,38.7,33.5,40.2,59.8,43.6,56.4,51.3,48.7,65.4,34.6,1000-4999,2025-04-07 17:03:44
BOOTS UK LIMITED,47730,13.2,4.7,29.5,12.8,36.4,31.8,41.7,58.3,44.9,55.1,50.2,49.8,64.1,35.9,5000-9999,2025-04-07 19:28:11
WALGREENS BOOTS ALLIANCE,47730,14.8,5.9,32.1,15.3,39.2,34.1,39.8,60.2,42.7,57.3,49.6,50.4,66.2,33.8,5000-9999,2025-04-08 08:45:33
ROYAL MAIL PLC,53100,17.3,9.6,35.7,17.2,48.3,42.6,33.4,66.6,37.8,62.2,46.7,53.3,68.9,31.1,10000+,2025-04-08 10:12:47
BT GROUP PLC,61900,15.7,7.8,33.1,14.7,51.8,45.2,36.2,63.8,40.5,59.5,47.3,52.7,67.4,32.6,10000+,2025-04-08 12:37:22
SKY UK LIMITED,61300,19.2,11.5,39.4,19.8,55.7,49.3,30.1,69.9,34.6,65.4,44.8,55.2,70.1,29.9,5000-9999,2025-04-08 14:54:18
VIRGIN MEDIA LIMITED,61300,18.6,10.7,37.8,18.3,53.4,47.1,31.7,68.3,36.2,63.8,46.1,53.9,69.5,30.5,5000-9999,2025-04-08 16:21:55
THREE UK LIMITED,61900,17.4,9.2,35.9,16.7,52.1,46.4,33.8,66.2,38.1,61.9,47.5,52.5,68.7,31.3,5000-9999,2025-04-08 18:09:44
O2 UK LIMITED,61900,16.8,8.7,34.6,15.9,50.7,44.8,35.2,64.8,39.4,60.6,48.7,51.3,67.9,32.1,5000-9999,2025-04-09 09:33:27
TESCO MOBILE LIMITED,61900,9.2,1.5,22.1,7.4,28.9,25.7,44.6,55.4,47.3,52.7,51.8,48.2,59.4,40.6,1000-4999,2025-04-09 11:18:52
SAINSBURYS BANK PLC,64191,25.7,19.3,58.2,34.7,69.4,62.1,22.3,77.7,27.6,72.4,41.8,58.2,63.5,36.5,1000-4999,2025-04-09 13:47:11
M&S BANK PLC,64191,24.9,18.6,56.8,33.1,67.9,60.7,23.7,76.3,29.1,70.9,43.2,56.8,62.1,37.9,1000-4999,2025-04-09 15:29:44
TESCO BANK PLC,64191,26.1,20.2,59.7,36.1,71.2,64.3,21.5,78.5,26.8,73.2,40.6,59.4,64.7,35.3,1000-4999,2025-04-09 17:05:22
NATIONWIDE BUILDING SOCIETY,64191,27.3,21.8,62.5,39.4,73.8,67.1,20.4,79.6,25.2,74.8,39.7,60.3,65.8,34.2,10000+,2025-04-09 19:42:18
SANTANDER UK PLC,64191,28.6,23.1,64.9,42.6,76.3,69.8,19.1,80.9,23.7,76.3,38.4,61.6,66.9,33.1,10000+,2025-04-10 08:21:44
HSBC UK BANK PLC,64191,30.2,25.3,68.7,47.2,79.5,73.2,17.8,82.2,22.4,77.6,36.9,63.1,68.4,31.6,10000+,2025-04-10 10:58:27
BARCLAYS UK PLC,64191,31.5,26.8,70.3,49.1,81.2,75.3,16.9,83.1,21.7,78.3,35.6,64.4,69.7,30.3,10000+,2025-04-10 12:33:11
LLOYDS BANKING GROUP PLC,64191,29.4,23.9,66.1,43.8,77.6,71.2,18.7,81.3,23.1,76.9,37.5,62.5,67.3,32.7,10000+,2025-04-10 14:17:55
NATWEST GROUP PLC,64191,28.9,23.2,65.3,42.1,76.8,70.1,19.3,80.7,24.2,75.8,38.1,61.9,66.8,33.2,10000+,2025-04-10 16:04:38
STANDARD CHARTERED PLC,64191,32.8,28.1,72.6,52.3,83.7,78.2,15.6,84.4,20.3,79.7,34.7,65.3,71.2,28.8,10000+,2025-04-10 18:51:22
BRITISH AMERICAN TOBACCO UK,12000,21.5,14.2,45.3,24.7,61.8,55.2,26.9,73.1,31.4,68.6,43.7,56.3,74.6,25.4,5000-9999,2025-04-11 09:15:44
IMPERIAL BRANDS PLC,12000,20.8,13.6,43.7,23.1,59.4,52.8,28.3,71.7,32.9,67.1,45.1,54.9,73.2,26.8,5000-9999,2025-04-11 11:32:17
DIAGEO SCOTLAND LIMITED,11000,19.6,12.1,40.8,20.5,56.3,49.7,30.2,69.8,35.4,64.6,47.3,52.7,71.8,28.2,5000-9999,2025-04-11 13:48:55
UNILEVER UK LIMITED,10890,17.3,9.8,36.2,17.1,52.7,46.1,34.6,65.4,39.1,60.9,49.8,50.2,69.7,30.3,5000-9999,2025-04-11 15:24:38
RECKITT BENCKISER GROUP,10890,18.9,11.4,39.7,19.8,55.1,48.6,32.1,67.9,37.3,62.7,48.2,51.8,70.4,29.6,5000-9999,2025-04-11 17:09:22
GLAXOSMITHKLINE PLC,21200,15.2,7.6,32.8,13.9,48.6,41.2,38.4,61.6,42.7,57.3,51.3,48.7,67.2,32.8,10000+,2025-04-11 19:45:11
ASTRAZENECA UK LIMITED,21200,14.8,7.1,31.5,12.6,46.9,39.4,39.7,60.3,43.8,56.2,52.1,47.9,66.5,33.5,10000+,2025-04-12 08:28:44
PFIZER UK LIMITED,21200,16.1,8.3,34.7,15.2,51.3,44.8,36.2,63.8,40.9,59.1,49.7,50.3,68.1,31.9,5000-9999,2025-04-12 10:47:33
JOHNSON & JOHNSON UK,32500,17.6,9.4,37.2,17.8,53.8,47.2,33.9,66.1,38.6,61.4,48.3,51.7,69.4,30.6,5000-9999,2025-04-12 12:15:18
ROCHE PRODUCTS LIMITED,21200,15.7,8.1,33.4,14.7,49.7,42.6,37.1,62.9,41.5,58.5,50.6,49.4,67.8,32.2,1000-4999,2025-04-12 14:32:55
Barclays Bank UK PLC,64191,32.5,28.3,68.2,45.7,78.9,65.4,38.2,61.8,42.1,57.9,55.3,44.7,72.8,27.2,5000+,2025-04-05 09:22:17
Tesco Stores Limited,47110,8.2,5.1,22.4,18.9,31.5,28.7,45.3,54.7,48.2,51.8,52.1,47.9,59.6,40.4,5000+,2025-04-06 11:15:33
National Health Service Trust,86101,15.7,12.4,41.3,35.8,45.2,52.1,22.6,77.4,18.9,81.1,24.7,75.3,39.1,60.9,10000+,2025-04-07 14:30:22
BP Oil UK Limited,06100,28.9,24.7,75.6,62.3,82.1,71.5,41.2,58.8,46.3,53.7,63.8,36.2,78.4,21.6,5000+,2025-04-08 16:45:12
Marks and Spencer PLC,47190,12.8,9.2,31.7,26.4,38.6,34.2,42.7,57.3,39.5,60.5,48.9,51.1,62.3,37.7,5000+,2025-04-09 08:55:44
Rolls-Royce PLC,29100,24.6,19.8,58.9,48.2,71.3,64.7,35.4,64.6,41.8,58.2,58.2,41.8,74.6,25.4,10000+,2025-04-10 10:20:55
BBC (British Broadcasting Corporation),60100,11.3,7.8,28.5,22.1,34.7,30.2,46.8,53.2,43.1,56.9,51.4,48.6,65.7,34.3,10000+,2025-04-11 12:35:18
Sainsbury's Supermarkets Limited,47110,9.7,6.4,25.1,20.8,33.9,29.4,47.2,52.8,44.6,55.4,49.3,50.7,61.2,38.8,5000+,2025-04-12 15:10:29
HSBC UK Bank PLC,64191,29.8,25.1,71.4,52.6,80.2,68.9,37.5,62.5,43.7,56.3,59.4,40.6,75.8,24.2,10000+,2025-04-13 17:25:41
Amazon UK Services Limited,47910,18.5,14.2,42.8,35.1,51.3,46.7,52.9,47.1,56.2,43.8,62.5,37.5,71.8,28.2,10000+,2025-04-14 09:40:52
Royal Mail Group PLC,53100,16.9,12.7,38.2,31.5,44.6,40.1,48.3,51.7,45.9,54.1,52.7,47.3,68.4,31.6,10000+,2025-04-15 11:55:03
BT Group PLC,61100,19.4,15.3,45.7,38.2,52.8,47.3,43.6,56.4,46.2,53.8,55.9,44.1,70.2,29.8,10000+,2025-04-16 13:12:14
Asda Stores Limited,47110,7.8,4.5,21.3,16.8,29.7,25.1,49.1,50.9,46.8,53.2,51.4,48.6,58.7,41.3,10000+,2025-04-17 16:28:25
Lloyds Banking Group PLC,64191,31.2,27.4,69.8,48.5,77.3,65.2,36.8,63.2,42.5,57.5,58.7,41.3,74.1,25.9,10000+,2025-04-18 18:45:36
John Lewis Partnership PLC,47190,10.6,7.1,26.9,21.4,35.2,31.8,44.3,55.7,41.6,58.4,50.7,49.3,63.9,36.1,5000+,2025-04-19 08:15:47
Royal Bank of Scotland PLC,64191,33.7,29.8,73.5,51.2,81.6,69.4,34.9,65.1,40.3,59.7,57.2,42.8,76.3,23.7,10000+,2025-04-20 10:30:58
Morrisons Supermarkets PLC,47110,8.9,5.7,23.7,19.2,32.4,27.8,46.5,53.5,44.1,55.9,49.8,50.2,60.4,39.6,5000+,2025-04-21 12:48:09
Virgin Media Limited,61100,22.1,18.5,51.3,43.7,58.9,53.2,41.7,58.3,44.8,55.2,57.3,42.7,72.6,27.4,5000+,2025-04-22 15:05:20
AstraZeneca UK Limited,21100,26.8,22.4,67.2,54.8,74.5,68.3,32.6,67.4,38.9,61.1,56.7,43.3,73.9,26.1,5000+,2025-04-23 17:22:31
Deutsche Bank UK Branch,64191,35.4,31.7,78.9,56.4,85.2,72.1,31.8,68.2,37.5,62.5,54.9,45.1,79.7,20.3,5000+,2025-04-24 09:50:42
Shell UK Limited,06100,30.2,26.5,76.3,63.1,83.7,70.8,39.4,60.6,45.7,54.3,62.1,37.9,77.2,22.8,5000+,2025-04-25 12:08:53
Unilever UK Limited,10890,14.7,11.2,34.8,28.5,41.3,36.7,43.2,56.8,40.9,59.1,53.6,46.4,66.8,33.2,5000+,2025-04-26 14:25:04
Network Rail Infrastructure Limited,52200,17.3,13.8,39.5,32.8,46.2,41.7,47.1,52.9,44.3,55.7,53.8,46.2,69.5,30.5,10000+,2025-04-27 16:42:15
GlaxoSmithKline PLC,21200,25.9,21.6,65.4,52.1,72.8,66.2,33.7,66.3,40.2,59.8,57.5,42.5,74.3,25.7,10000+,2025-04-28 18:59:26
British Airways PLC,51101,21.7,17.9,48.2,41.5,55.7,49.3,42.8,57.2,45.9,54.1,58.4,41.6,71.3,28.7,10000+,2025-04-29 08:29:37
Vodafone UK Limited,61100,20.5,16.7,46.3,39.8,53.4,48.1,44.6,55.4,47.2,52.8,56.1,43.9,70.8,29.2,5000+,2025-04-30 10:46:48
J Sainsbury PLC,47110,10.2,6.9,27.4,22.1,36.8,32.5,45.9,54.1,43.2,56.8,50.4,49.6,62.7,37.3,5000+,2025-05-01 13:03:59
NatWest Group PLC,64191,32.1,28.3,70.5,49.7,79.1,67.4,35.2,64.8,41.6,58.4,59.3,40.7,75.4,24.6,10000+,2025-05-02 15:21:10
Walmart UK Limited,47990,19.8,16.1,44.7,37.2,52.1,46.8,46.3,53.7,49.4,50.6,58.7,41.3,73.2,26.8,5000+,2025-05-03 17:38:21
Diageo PLC,11050,23.4,19.7,59.2,46.8,68.5,61.3,37.9,62.1,44.2,55.8,60.1,39.9,72.7,27.3,5000+,2025-05-04 09:08:32
BMW UK Limited,45111,27.3,23.5,66.8,53.4,75.2,68.9,34.6,65.4,42.1,57.9,61.4,38.6,76.8,23.2,250-499,2025-05-05 11:25:43
Sky UK Limited,61100,18.9,15.2,42.6,35.9,50.7,45.2,42.3,57.7,45.8,54.2,57.9,42.1,69.4,30.6,5000+,2025-05-06 13:42:54
Tesco PLC,47110,8.5,5.3,22.8,18.3,30.6,26.2,46.7,53.3,44.9,55.1,50.8,49.2,59.3,40.7,10000+,2025-05-07 16:00:05
Nestle UK Limited,10890,13.6,10.1,32.4,26.7,39.8,35.1,44.1,55.9,41.7,58.3,52.9,47.1,65.4,34.6,5000+,2025-05-08 18:17:16
McDonald's Restaurants Limited,56101,6.2,3.1,18.5,14.2,25.3,21.7,48.6,51.4,46.3,53.7,52.1,47.9,56.8,43.2,10000+,2025-05-09 08:47:27
Ford Motor Company Limited,29100,24.7,20.9,57.3,44.6,69.2,62.8,36.4,63.6,43.7,56.3,60.5,39.5,73.6,26.4,5000+,2025-05-10 10:04:38
PwC UK LLP,69201,28.6,24.8,72.1,49.3,80.7,69.5,33.8,66.2,39.4,60.6,58.2,41.8,77.1,22.9,10000+,2025-05-11 12:21:49
KPMG UK LLP,69201,29.3,25.5,74.6,51.8,82.3,71.2,32.5,67.5,38.7,61.3,57.9,42.1,78.4,21.6,10000+,2025-05-12 14:38:50
Deloitte UK LLP,69201,30.1,26.7,76.2,53.1,84.5,73.8,31.7,68.3,37.9,62.1,56.4,43.6,79.2,20.8,10000+,2025-05-13 16:55:51
EY UK LLP,69201,27.8,23.9,70.8,47.5,78.9,67.4,34.2,65.8,40.6,59.4,59.7,40.3,75.6,24.4,10000+,2025-05-14 19:12:52
Accenture UK Limited,62020,26.5,22.7,68.4,45.2,76.1,65.3,35.9,64.1,42.3,57.7,58.6,41.4,74.2,25.8,5000+,2025-05-15 09:42:53
IBM United Kingdom Limited,62090,25.2,21.4,63.7,41.8,72.5,64.1,37.4,62.6,43.8,56.2,57.3,42.7,72.9,27.1,5000+,2025-05-16 11:59:54
Capita PLC,78200,21.8,18.0,49.6,42.1,56.3,50.8,43.7,56.3,46.9,53.1,55.4,44.6,70.1,29.9,10000+,2025-05-17 14:16:55
Atos IT Services UK Limited,62090,23.6,19.8,61.2,48.5,69.7,62.4,38.2,61.8,45.1,54.9,59.8,40.2,73.5,26.5,5000+,2025-05-18 16:33:56
Wipro UK Limited,62020,22.9,19.1,58.7,46.3,67.2,60.1,39.5,60.5,46.7,53.3,58.1,41.9,71.8,28.2,1000-4999,2025-05-19 18:50:57
BARKLEY TECHNOLOGIES UK LTD,62020,14.3,11.7,28.5,24.1,32.1,29.8,42.1,57.9,38.2,61.8,45.3,54.7,61.4,38.6,250-499,2025-04-08 09:22:15
HARTWELL & SONS MANUFACTURING PLC,25110,22.8,19.4,45.7,38.2,41.3,37.5,31.2,68.8,28.5,71.5,35.7,64.3,52.9,47.1,1000-4999,2025-04-07 16:55:42
STELLAR RETAIL GROUP LIMITED,47110,18.9,15.2,34.6,31.8,28.7,25.9,39.4,60.6,36.8,63.2,42.1,57.9,58.3,41.7,500-999,2025-04-09 11:33:27
MERIDIAN HEALTHCARE TRUST,86101,16.2,12.8,41.3,35.7,22.4,19.6,24.7,75.3,21.3,78.7,26.8,73.2,48.2,51.8,250-499,2025-04-06 14:18:59
CORNWALL FINANCIAL SERVICES LTD,64191,27.5,23.9,58.2,49.6,67.8,62.3,18.5,81.5,15.2,84.8,22.7,77.3,65.4,34.6,100-249,2025-04-05 10:47:22
BRIGHTFUTURE EDUCATION ACADEMY,85200,19.7,16.3,38.4,32.1,15.8,12.4,29.6,70.4,25.7,74.3,32.9,67.1,55.8,44.2,1000-4999,2025-04-10 08:29:14
NORTHERN LOGISTICS NETWORK LTD,49200,12.1,8.7,25.3,19.8,38.2,34.6,44.7,55.3,41.3,58.7,47.9,52.1,64.2,35.8,250-499,2025-04-04 17:03:51
ELITE CONSULTING PARTNERS LLP,70229,31.8,28.4,72.5,65.3,78.9,74.2,12.3,87.7,9.8,90.2,16.5,83.5,71.7,28.3,100-249,2025-04-11 13:41:28
THAMES VALLEY PROPERTIES PLC,68100,15.6,11.9,29.7,24.5,52.1,47.8,36.2,63.8,32.4,67.6,39.7,60.3,62.8,37.2,500-999,2025-04-03 15:26:44
GREENSHIELD ENVIRONMENTAL LTD,38110,21.4,17.8,42.9,36.2,28.5,24.7,33.8,66.2,29.4,70.6,36.2,63.8,56.7,43.3,250-499,2025-04-12 09:55:17
WESTMINSTER LEGAL CHAMBERS,69101,26.3,22.7,61.8,54.2,71.3,66.7,14.7,85.3,11.2,88.8,18.9,81.1,68.5,31.5,100-249,2025-04-02 12:18:33
BRISTOL HOSPITALITY GROUP LTD,55100,17.2,13.6,31.8,26.4,35.7,31.2,40.1,59.9,36.5,63.5,43.8,56.2,61.4,38.6,500-999,2025-04-13 16:22:08
CAMBRIDGE BIOTECH RESEARCH,72110,23.9,20.1,48.7,41.3,44.2,39.8,26.4,73.6,22.1,77.9,29.8,70.2,59.3,40.7,250-499,2025-04-01 14:07:51
MIDLANDS CONSTRUCTION CO LTD,41201,28.6,24.8,55.3,47.9,38.7,33.4,21.7,78.3,18.4,81.6,25.3,74.7,66.8,33.2,1000-4999,2025-04-14 11:44:25
LONDON ARTS COUNCIL,90010,13.7,9.8,26.4,20.1,19.3,15.7,37.2,62.8,33.5,66.5,40.8,59.2,57.9,42.1,100-249,2025-04-15 10:33:19
SCOTTISH ENERGY UTILITIES LTD,35110,19.8,16.2,37.5,31.4,29.6,25.8,34.9,65.1,31.2,68.8,38.7,61.3,60.1,39.9,500-999,2025-04-16 08:51:42
HEREFORDSHIRE FOOD PRODUCTION,10611,24.3,20.5,46.2,39.8,31.4,27.2,28.6,71.4,24.3,75.7,32.1,67.9,63.2,36.8,250-499,2025-04-17 15:29:07
OXFORDSHIRE IT SOLUTIONS,62030,16.9,13.1,32.4,26.7,48.3,43.6,38.7,61.3,34.2,65.8,42.1,57.9,65.4,34.6,250-499,2025-04-18 12:15:38
