EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Harvey Nash Group plc,78200,17.8,14.2,45.7,22.3,38.5,41.2,42.1,57.9,35.6,64.4,48.9,51.1,62.3,37.7,1000-4999,2025-01-12 09:45:12
St. James's Place Wealth Management,66120,42.3,38.9,84.5,71.2,78.9,65.4,18.7,81.3,22.4,77.6,34.2,65.8,71.5,28.5,5000-19999,2024-11-28 11:30:25
Capita PLC,82990,22.6,19.4,56.8,34.1,44.2,47.5,38.5,61.5,31.7,68.3,42.9,57.1,59.2,40.8,10000+,2025-02-15 14:20:33
Rolls-Royce Holdings PLC,30300,18.9,15.7,32.4,18.9,41.3,38.7,45.2,54.8,39.1,60.9,48.6,51.4,65.8,34.2,10000+,2024-12-03 16:55:48
Serco Limited,84250,16.2,12.8,28.5,15.2,35.8,37.2,48.3,51.7,41.5,58.5,46.7,53.3,63.1,36.9,5000-19999,2025-03-21 10:15:07
WPP Group PLC,73200,25.7,21.3,67.9,48.2,52.6,58.3,29.4,70.6,33.8,66.2,38.7,61.3,55.9,44.1,10000+,2024-10-19 13:40:22
Next PLC,47710,8.9,6.2,45.3,28.7,41.2,48.5,44.1,55.9,38.6,61.4,42.3,57.7,52.8,47.2,10000+,2025-04-08 08:25:14
Barclays PLC,64110,32.8,29.5,78.4,65.7,71.2,68.9,24.6,75.4,28.3,71.7,35.4,64.6,68.2,31.8,10000+,2024-11-11 12:00:00
Tesco PLC,47110,12.4,9.8,38.7,21.5,36.9,41.3,41.7,58.3,37.2,62.8,43.5,56.5,56.9,43.1,10000+,2025-01-25 15:30:45
HSBC UK Bank PLC,64110,38.2,34.7,81.9,69.4,74.5,71.8,21.3,78.7,25.6,74.4,32.1,67.9,65.7,34.3,10000+,2024-12-12 09:50:30
J Sainsbury PLC,47110,14.7,11.2,42.6,25.3,39.7,44.8,39.2,60.8,35.4,64.6,41.8,58.2,54.3,45.7,10000+,2025-02-28 11:20:18
BP PLC,06100,21.5,18.3,49.8,31.7,46.3,49.7,35.8,64.2,32.9,67.1,40.5,59.5,61.4,38.6,10000+,2024-10-30 14:10:55
Shell UK Limited,06100,24.1,20.8,58.3,42.1,53.7,56.2,31.5,68.5,34.7,65.3,37.9,62.1,58.6,41.4,10000+,2025-03-15 16:45:22
Vodafone Group PLC,61900,19.7,16.4,44.2,27.8,42.1,45.3,37.6,62.4,33.8,66.2,41.2,58.8,57.3,42.7,10000+,2024-11-05 10:35:40
BT Group PLC,61100,15.3,12.1,36.9,20.4,38.7,41.5,43.2,56.8,39.4,60.6,45.8,54.2,59.7,40.3,10000+,2025-01-08 13:15:28
National Grid PLC,35110,20.8,17.5,47.3,29.8,44.6,47.9,36.7,63.3,33.9,66.1,39.4,60.6,60.2,39.8,10000+,2024-12-20 15:25:12
Lloyds Banking Group PLC,64110,35.4,31.9,76.2,63.1,69.8,67.5,23.7,76.3,27.4,72.6,34.8,65.2,64.9,35.1,10000+,2025-04-01 08:55:33
Royal Mail PLC,53100,13.6,10.4,33.7,18.2,37.1,40.6,46.3,53.7,42.8,57.2,47.5,52.5,61.4,38.6,10000+,2024-10-15 12:40:50
Imperial Brands PLC,12000,26.9,23.1,62.4,45.7,56.3,59.8,28.7,71.3,31.5,68.5,36.2,63.8,56.7,43.3,5000-19999,2025-02-18 09:30:22
BAE Systems PLC,25200,16.8,13.5,30.2,16.8,39.4,38.1,47.5,52.5,43.2,56.8,48.7,51.3,64.9,35.1,10000+,2024-11-25 14:20:45
AstraZeneca UK Limited,21200,22.3,19.1,52.6,35.4,48.2,51.7,33.4,66.6,36.8,63.2,41.5,58.5,59.3,40.7,10000+,2025-03-10 16:10:18
GlaxoSmithKline PLC,21200,19.6,16.8,46.3,29.7,45.1,48.2,35.9,64.1,33.7,66.3,39.4,60.6,58.1,41.9,10000+,2024-12-05 11:50:33
Unilever UK Limited,10890,15.2,12.6,41.8,24.3,40.5,43.7,38.6,61.4,35.2,64.8,42.3,57.7,55.4,44.6,10000+,2025-01-20 13:05:28
Diageo PLC,11050,18.4,15.2,48.7,31.5,46.8,49.3,34.7,65.3,32.1,67.9,38.5,61.5,57.2,42.8,10000+,2024-10-22 15:40:12
British American Tobacco PLC,12000,24.7,21.5,59.8,43.2,54.9,57.4,29.8,70.2,33.6,66.4,37.9,62.1,59.5,40.5,10000+,2025-03-25 10:20:55
Reckitt Benckiser Group PLC,10892,21.3,18.0,50.4,33.1,47.3,50.8,32.5,67.5,35.9,64.1,40.7,59.3,58.6,41.4,5000-19999,2024-11-30 12:15:40
Land Securities Group PLC,68100,28.5,25.2,65.9,52.4,61.7,64.2,26.3,73.7,29.8,70.2,34.5,65.5,62.1,37.9,1000-4999,2025-02-08 14:50:22
