data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,City,TX,Texas,1991-03-15,1.0,,2,2.0,,White,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1992,County,CA,California,1992-07-22,,1.0,1,,1.0,Black or African American,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,Religious Facility,Anti-Jewish,Other,S,S
1993,State,NY,New York,1993-11-08,2.0,,3,2.0,1.0,Asian,Not Hispanic or Latino,2,Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,M
1994,City,FL,Florida,1994-02-28,,,1,,,Unknown,Not Specified,1,Aggravated Assault,1.0,Commercial/Retail Building,Anti-Islamic (Muslim),Individual,S,S
1995,Other,IL,Illinois,1995-09-14,1.0,1.0,2,1.0,1.0,White,Hispanic or Latino,2,Intimidation,2.0,School/College,Anti-Hispanic or Latino,Individual,M,S
1996,County,PA,Pennsylvania,1996-06-03,,,1,,,Black or African American,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-White,Other,S,S
1997,City,OH,Ohio,1997-12-19,1.0,,1,1.0,,American Indian or Alaska Native,Not Hispanic or Latino,1,Robbery,1.0,Service/Gas Station,Anti-Black or African American,Individual,S,S
1998,State,MI,Michigan,1998-04-27,2.0,,2,2.0,,White,Not Hispanic or Latino,2,Aggravated Assault,2.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
1999,Other,WA,Washington,1999-08-11,,1.0,3,,3.0,Multiple Races,Not Specified,1,Simple Assault,1.0,Park/Playground,Anti-Asian,Individual,S,M
2000,City,GA,Georgia,2000-01-30,1.0,,1,1.0,,Black or African American,Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
2001,County,NC,North Carolina,2001-10-05,,,2,,,White,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,Religious Facility,Anti-Islamic (Muslim),Other,S,S
2002,State,CO,Colorado,2002-05-18,3.0,,1,1.0,,Unknown,Not Specified,3,Simple Assault,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
2003,City,AZ,Arizona,2003-09-22,1.0,1.0,2,2.0,,Asian,Not Hispanic or Latino,2,Aggravated Assault,2.0,Residence/Home,Anti-Black or African American,Individual,M,S
2004,Other,MA,Massachusetts,2004-03-14,,,1,,,White,Hispanic or Latino,1,Intimidation,1.0,Service/Gas Station,Anti-Gay (Male),Individual,S,S
2005,County,VA,Virginia,2005-07-03,2.0,,3,2.0,1.0,Black or African American,Not Specified,2,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-White,Other,S,M
2006,City,TN,Tennessee,2006-11-25,1.0,,1,1.0,,White,Not Hispanic or Latino,1,Robbery,1.0,Commercial/Retail Building,Anti-Jewish,Individual,S,S
2007,State,NJ,New Jersey,2007-02-16,,1.0,2,1.0,1.0,Multiple Races,Not Hispanic or Latino,1,Simple Assault,1.0,Park/Playground,Anti-Islamic (Muslim),Individual,S,S
2008,Other,MD,Maryland,2008-06-09,2.0,,2,2.0,,American Indian or Alaska Native,Not Specified,2,Aggravated Assault,2.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
2009,City,MN,Minnesota,2009-12-02,1.0,,3,,3.0,Unknown,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,M
2010,County,OR,Oregon,2010-04-20,,,1,,,White,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,Religious Facility,Anti-Black or African American,Other,S,S
2011,State,WI,Wisconsin,2011-08-31,3.0,,1,1.0,,Black or African American,Hispanic or Latino,3,Simple Assault,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
2012,City,LA,Louisiana,2012-01-14,1.0,1.0,2,1.0,1.0,Asian,Not Specified,2,Aggravated Assault,2.0,School/College,Anti-White,Individual,M,S
2013,Other,AL,Alabama,2013-05-27,,,1,,,White,Not Hispanic or Latino,1,Intimidation,1.0,Service/Gas Station,Anti-Jewish,Individual,S,S
2014,County,KY,Kentucky,2014-09-10,2.0,,3,2.0,1.0,Multiple Races,Not Specified,2,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Gay (Male),Other,S,M
1991,State,SC,South Carolina,1991-10-03,1.0,,1,1.0,,White,Not Hispanic or Latino,1,Robbery,1.0,Commercial/Retail Building,Anti-Black or African American,Individual,S,S
1992,City,NV,Nevada,1992-03-29,,1.0,2,,2.0,Black or African American,Not Specified,1,Simple Assault,1.0,Park/Playground,Anti-Islamic (Muslim),Individual,S,S
1993,County,UT,Utah,1993-07-12,2.0,,1,1.0,,Unknown,Hispanic or Latino,2,Aggravated Assault,2.0,Bar/Nightclub,Anti-Hispanic or Latino,Individual,S,S
1994,Other,MO,Missouri,1994-11-26,1.0,,2,2.0,,Asian,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,S
1995,City,IN,Indiana,1995-02-18,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Religious Facility,Anti-White,Other,S,S
1996,State,CT,Connecticut,1996-06-30,3.0,,2,1.0,1.0,Black or African American,Not Hispanic or Latino,3,Simple Assault,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Individual,M,S
1997,County,AR,Aransas,1997-12-14,1.0,1.0,1,1.0,,American Indian or Alaska Native,Not Specified,2,Robbery,2.0,School/College,Anti-Black or African American,Individual,M,S
1998,City,MS,Mississippi,1998-04-05,,,2,,,White,Hispanic or Latino,1,Aggravated Assault,1.0,Service/Gas Station,Anti-Gay (Male),Individual,S,S
1999,Other,OK,Oklahoma,1999-08-29,2.0,,3,2.0,1.0,Multiple Races,Not Specified,2,Intimidation,2.0,Residence/Home,Anti-Islamic (Muslim),Individual,S,M
2000,State,KS,Kansas,2000-01-11,1.0,,1,1.0,,White,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Retail Building,Anti-Asian,Other,S,S
2001,City,NM,New Mexico,2001-05-24,,1.0,2,1.0,1.0,Black or African American,Not Specified,1,Simple Assault,1.0,Park/Playground,Anti-Hispanic or Latino,Individual,S,S
2002,County,WV,West Virginia,2002-09-07,3.0,,1,1.0,,Unknown,Not Specified,3,Aggravated Assault,3.0,Bar/Nightclub,Anti-White,Individual,S,S
2003,Other,NE,Nebraska,2003-02-28,1.0,,2,2.0,,Asian,Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
