data_year,agency_typename,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1992,County,CA,California,1992-03-15,1,0,2,2,0,White,Hispanic,1,Simple Assault,1.0,Highway/Road/Alley,Anti-Hispanic or Latino,Individual,N,N
1995,City,TX,Texas,1995-07-22,0,1,1,1,0,Black,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Jewish,Individual,N,N
1998,State,NY,New York,1998-11-08,2,0,3,2,1,Asian,Not Specified,2,Aggravated Assault,2.0,Restaurant,Anti-Asian,Individuals,N,N
2001,City,FL,Florida,2001-09-05,1,1,1,1,0,White,Not Specified,2,Intimidation,2.0,School/College,Anti-Islamic,Individuals,N,Y
2003,County,PA,Pennsylvania,2003-02-28,0,0,4,3,1,Black,Hispanic,0,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Property,N,N
2005,City,OH,Ohio,2005-06-10,1,0,2,1,1,White,Not Specified,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,N,N
2007,State,MI,Michigan,2007-12-03,0,2,1,1,0,American Indian,Not Specified,2,Intimidation,2.0,School/College,Anti-American Indian,Individuals,N,N
2009,County,IL,Illinois,2009-04-18,3,0,2,2,0,White,Not Specified,3,Aggravated Assault,3.0,Parking Lot/Garage,Anti-Hispanic or Latino,Individuals,Y,N
2011,City,WA,Washington,2011-08-25,0,1,1,0,1,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Gay (Male),Individual,N,N
1993,County,GA,Georgia,1993-10-14,2,0,3,2,1,Black,Hispanic,2,Simple Assault,2.0,Highway/Road/Alley,Anti-White,Individuals,N,Y
1996,State,NC,North Carolina,1996-01-30,1,0,1,1,0,White,Hispanic,1,Intimidation,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,N,N
1999,City,AZ,Arizona,1999-05-12,0,0,2,2,0,White,Not Specified,0,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Property,N,N
2002,County,CO,Colorado,2002-09-20,1,1,1,1,0,Black,Not Specified,2,Aggravated Assault,2.0,School/College,Anti-Black or African American,Individuals,N,N
2004,State,NJ,New Jersey,2004-07-07,0,1,2,1,1,Unknown,Not Specified,1,Simple Assault,1.0,Parking Lot/Garage,Anti-Islamic,Individual,N,N
2006,City,MA,Massachusetts,2006-03-29,2,0,3,3,0,White,Not Specified,2,Intimidation,2.0,Residence/Home,Anti-Gay (Male),Individuals,N,N
2008,County,TN,Tennessee,2008-11-15,0,0,1,1,0,White,Hispanic,0,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Property,N,N
2010,State,OR,Oregon,2010-02-11,1,0,2,1,1,Asian,Not Specified,1,Simple Assault,1.0,Highway/Road/Alley,Anti-Asian,Individual,N,N
1994,City,NV,Nevada,1994-12-26,0,2,2,2,0,Black,Not Specified,2,Aggravated Assault,2.0,Residence/Home,Anti-White,Individuals,N,N
1997,County,SC,South Carolina,1997-08-03,1,0,1,1,0,White,Not Specified,1,Intimidation,1.0,Church/Synagogue/Temple,Anti-Jewish,Individual,N,N
2000,State,MN,Minnesota,2000-06-18,0,1,3,2,1,Unknown,Hispanic,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Hispanic or Latino,Individual,N,N
2003,City,WI,Wisconsin,2003-10-09,2,0,2,1,1,American Indian,Not Specified,2,Simple Assault,2.0,Parking Lot/Garage,Anti-American Indian,Individuals,N,N
2005,County,AL,Alabama,2005-01-27,0,0,4,3,1,White,Not Specified,0,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Black or African American,Property,N,Y
2007,State,LA,Louisiana,2007-05-14,1,1,1,0,1,Black,Not Specified,2,Intimidation,2.0,Highway/Road/Alley,Anti-Gay (Male),Individuals,N,N
2009,City,VA,Virginia,2009-09-30,3,0,2,2,0,White,Hispanic,3,Aggravated Assault,3.0,Restaurant,Anti-Hispanic or Latino,Individuals,Y,N
2012,County,MD,Maryland,2012-07-21,0,1,1,1,0,Unknown,Not Specified,1,Simple Assault,1.0,Residence/Home,Anti-Islamic,Individual,N,N
1991,State,MO,Missouri,1991-04-02,2,0,3,2,1,Black,Not Specified,2,Intimidation,2.0,School/College,Anti-White,Individuals,N,Y
1993,City,IN,Indiana,1993-11-19,1,0,2,1,1,White,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Property,N,N
