activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35614,CA,73.0,06073000100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,1,1,485000.0,85.0,6.75,2.25,0,8500.0,2500.0,1800.0,700.0,500.0,360,0,0,2,2,2,2,,570000.0,1,1,,,1,,125000.0,38.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,35-44,25-34,No,No,1,1
2024,16980,TX,201.0,48201032001.0,FHA-insured:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,320000.0,92.0,7.25,3.0,0,12000.0,4500.0,3500.0,1000.0,750.0,360,0,0,2,2,2,2,,347826.0,1,1,,,1,,98000.0,42.0,1,1,2,5,1,4,3,5,1,4,1,5,2,4,45-54,9999,No,9999,1,1
2024,38060,IL,31.0,17031020600.0,VA-guaranteed:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,415000.0,90.0,6.5,1.75,0,7500.0,2000.0,1500.0,500.0,300.0,360,0,0,2,2,2,2,,461111.0,1,1,,,1,,110000.0,35.0,1,1,2,5,1,4,5,5,1,4,1,5,1,5,25-34,9999,No,9999,1,1
2024,12060,AZ,13.0,04013011400.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,285000.0,80.0,6.25,1.5,0,6200.0,1800.0,1200.0,600.0,400.0,360,0,0,2,2,2,2,,356250.0,1,1,,,1,,85000.0,30.0,1,1,1,5,1,4,5,5,1,4,2,5,1,5,55-64,45-54,No,No,1,1
2024,14460,WA,33.0,53033022105.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,3,75000.0,,7.5,3.75,0,3500.0,1500.0,1000.0,500.0,200.0,180,0,0,2,2,2,2,,,1,1,,,1,,75000.0,45.0,1,1,2,5,1,4,2,5,1,4,2,5,1,5,35-44,9999,No,9999,1,1
2024,19100,FL,57.0,12057090802.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,525000.0,75.0,5.875,0.75,0,5800.0,1200.0,1000.0,200.0,150.0,360,0,0,2,2,2,2,,700000.0,1,1,,,1,,180000.0,28.0,1,1,2,5,1,4,5,5,1,4,1,5,1,5,45-54,35-44,No,No,1,1
2024,26420,MI,21.0,26021008000.0,FHA-insured:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,1,1,195000.0,95.0,7.75,3.5,0,10500.0,4000.0,3000.0,1000.0,800.0,360,0,0,2,2,2,2,,205263.0,1,1,,,1,,65000.0,48.0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,33100,OH,35.0,39035001400.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,275000.0,82.0,6.375,1.875,0,7200.0,2000.0,1500.0,500.0,350.0,360,0,0,2,2,2,2,,335366.0,1,1,,,1,,95000.0,33.0,1,5,2,5,1,4,5,5,1,4,2,5,1,4,35-44,9999,No,9999,1,1
2024,42680,PA,101.0,42101002800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,395000.0,78.0,6.0,1.25,0,6500.0,1500.0,1200.0,300.0,250.0,360,0,0,2,2,2,2,,506410.0,1,1,,,1,,135000.0,32.0,1,1,2,5,1,4,2,5,1,4,1,5,1,5,45-54,45-54,No,No,1,1
2024,19740,GA,135.0,13135002800.0,VA-guaranteed:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,365000.0,88.0,6.625,2.125,0,8800.0,2800.0,2000.0,800.0,600.0,360,0,0,2,2,2,2,,414773.0,1,1,,,1,,115000.0,40.0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,35-44,35-44,No,No,1,1
