activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35620,36,005,9801.00,Conventional: First Lien,Site-Built,Not Hispanic or Latino,White,Male,1,1,385000,80,6.75,1.5,0,4500,1800,3200,0,500,360,0,0,0,0,0,0,481250,Site-Built,Owner-Occupied,,,1,0,98000,38,1,1,2,2,1,1,5,5,1,1,1,1,1,1,45,42,0,0,1,1
2024,31080,06,037,4212.02,FHA: First Lien,Site-Built,Hispanic or Latino,Latino,Female,1,2,425000,95,7.00,2.0,0,6200,2500,4500,500,0,360,0,3,0,0,0,0,447368,Site-Built,Owner-Occupied,,,2,0,75000,45,1,1,1,1,1,1,1,1,1,1,2,1,1,1,38,40,0,0,1,1
2024,16980,17,031,8070.00,VA: First Lien,Site-Built,Not Hispanic or Latino,Black or African American,Male,1,3,315000,85,6.50,1.0,0,3800,1200,2800,0,750,360,0,0,0,0,0,0,370588,Site-Built,Owner-Occupied,,,1,0,88000,28,1,1,2,2,1,1,3,3,1,1,1,1,1,1,52,49,1,0,1,1
2024,19100,18,057,105.00,Conventional: First Lien,Site-Built,Not Hispanic or Latino,Asian,Male,1,1,555000,75,6.25,0.75,0,5100,2000,3800,0,300,360,0,0,0,0,0,0,740000,Site-Built,Owner-Occupied,,,1,0,125000,32,1,1,2,2,1,1,2,2,1,1,1,1,1,1,41,39,0,0,1,1
2024,26420,21,111,504.00,Conventional: First Lien,Manufactured,Not Hispanic or Latino,White,Female,1,1,185000,90,8.00,3.0,1,7200,3000,5500,1000,0,240,0,0,1,0,0,0,205556,Manufactured,Owner-Occupied,1,1,1,0,52000,48,1,1,2,2,1,1,5,5,1,1,2,1,1,1,58,56,1,1,1,1
2024,41860,48,201,1205.07,USDA: First Lien,Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Female,1,2,245000,98,6.875,2.25,0,5800,2200,4000,500,0,360,0,0,0,0,0,0,250000,Site-Built,Owner-Occupied,,,1,0,61000,42,1,1,2,2,1,1,1,1,1,1,2,1,1,1,34,32,0,0,1,1
2024,38060,45,019,9501.00,Conventional: First Lien,Site-Built,Hispanic or Latino,Latino,Female,1,1,395000,82,6.625,1.25,0,4700,1900,3400,0,400,360,0,0,0,0,0,0,481707,Site-Built,Owner-Occupied,,,1,0,92000,35,1,1,1,1,1,1,1,1,1,1,2,1,1,1,46,44,0,0,1,1
2024,12060,13,089,301.00,Conventional: First Lien,Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,1,675000,70,6.00,0.5,0,5600,2300,4100,0,200,360,0,0,0,0,0,0,964286,Site-Built,Owner-Occupied,,,1,0,155000,29,1,1,2,2,1,1,7,7,1,1,1,1,1,1,39,37,0,0,1,1
2024,14460,29,003,701.02,FHA: First Lien,Site-Built,Not Hispanic or Latino,White,Male,1,2,285000,93,7.25,2.5,0,6500,2600,4800,750,0,360,0,2,0,0,0,0,306452,Site-Built,Owner-Occupied,,,1,0,68000,44,1,1,2,2,1,1,5,5,1,1,1,1,1,1,43,41,0,0,1,1
2024,33100,48,439,5012.00,Conventional: First Lien,Site-Built,Not Hispanic or Latino,Asian,Female,1,1,485000,78,6.375,1.0,0,4900,2000,3600,0,350,360,0,0,0,0,0,0,621795,Site-Built,Owner-Occupied,,,1,0,108000,31,1,1,2,2,1,1,2,2,1,1,2,1,1,1,48,46,0,0,1,1
