activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35620,36,5,100.0,Conventional:First lien,Single family (1-4 units):Site-built,Not Hispanic or Latino,White,Male,1,1,375000.0,80.0,6.75,,0.0,8500.0,3500.0,2500.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,468750.0,Site-built,Owner-occupied as principal dwelling,Not applicable,Not applicable,1.0,,125000.0,38.0,1.0,1.0,Not Hispanic or Latino,Not Hispanic or Latino,1.0,1.0,White,White,1.0,1.0,Male,Female,1.0,1.0,45.0,42.0,0.0,0.0,1111.0,1.0
2024,31080,6,37,12300.0,FHA:First lien,Single family (1-4 units):Site-built,Not Hispanic or Latino,Asian,Male,1,1,425000.0,96.0,6.5,,0.0,12000.0,5000.0,4000.0,0.0,500.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,442708.0,Site-built,Owner-occupied as principal dwelling,Not applicable,Not applicable,2.0,,98000.0,42.0,1.0,1.0,Not Hispanic or Latino,Not Hispanic or Latino,1.0,1.0,Asian,Asian,1.0,1.0,Male,Male,1.0,1.0,38.0,36.0,0.0,0.0,1111.0,1.0
2024,16980,17,43,4200.0,Conventional:First lien,Single family (1-4 units):Site-built,Hispanic or Latino,Black or African American,Female,1,1,290000.0,85.0,7.0,,0.0,7200.0,2800.0,2200.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,341176.0,Site-built,Owner-occupied as principal dwelling,Not applicable,Not applicable,1.0,,85000.0,35.0,1.0,1.0,Hispanic or Latino,Hispanic or Latino,1.0,1.0,Black or African American,Black or African American,1.0,1.0,Female,Female,1.0,1.0,33.0,31.0,0.0,0.0,1111.0,1.0
2024,19100,26,99,23400.0,VA:First lien,Single family (1-4 units):Site-built,Not Hispanic or Latino,White,Male,1,1,350000.0,100.0,6.25,,0.0,9500.0,3800.0,3000.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,350000.0,Site-built,Owner-occupied as principal dwelling,Not applicable,Not applicable,1.0,,105000.0,28.0,1.0,1.0,Not Hispanic or Latino,Not Hispanic or Latino,1.0,1.0,White,White,1.0,1.0,Male,Female,1.0,1.0,29.0,27.0,0.0,0.0,1111.0,1.0
2024,26420,12,57,10500.0,Conventional:First lien,Single family (1-4 units):Site-built,Not Hispanic or Latino,White,Female,1,2,550000.0,75.0,6.9,,0.0,11000.0,4200.0,3200.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,733333.0,Site-built,Owner-occupied as principal dwelling,Not applicable,Not applicable,1.0,,180000.0,32.0,1.0,1.0,Not Hispanic or Latino,Not Hispanic or Latino,1.0,1.0,White,White,1.0,1.0,Female,Male,1.0,1.0,52.0,50.0,0.0,0.0,1111.0,1.0
2024,41860,48,201,45600.0,Conventional:First lien,Single family (1-4 units):Site-built,Hispanic or Latino,White,Male,1,1,485000.0,82.0,7.1,,0.0,9800.0,3900.0,2900.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,591463.0,Site-built,Owner-occupied as principal dwelling,Not applicable,Not applicable,1.0,,140000.0,40.0,1.0,1.0,Hispanic or Latino,Hispanic or Latino,1.0,1.0,White,White,1.0,1.0,Male,Female,1.0,1.0,41.0,39.0,0.0,0.0,1111.0,1.0
2024,38060,21,67,18900.0,USDA:First lien,Single family (1-4 units):Site-built,Not Hispanic or Latino,American Indian or Alaska Native,Female,1,1,225000.0,95.0,6.4,,0.0,7500.0,3000.0,2500.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,236842.0,Site-built,Owner-occupied as principal dwelling,Not applicable,Not applicable,1.0,,65000.0,36.0,1.0,1.0,Not Hispanic or Latino,Not applicable,1.0,3.0,American Indian or Alaska Native,Not applicable,1.0,3.0,Female,Not applicable,1.0,3.0,44.0,,0.0,,1111.0,1.0
2024,12060,13,89,2300.0,Conventional:First lien,Single family (1-4 units):Site-built,Not Hispanic or Latino,Black or African American,Male,1,1,310000.0,88.0,7.25,,0.0,8300.0,3300.0,2600.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,352273.0,Site-built,Owner-occupied as principal dwelling,Not applicable,Not applicable,1.0,,95000.0,43.0,1.0,1.0,Not Hispanic or Latino,Not Hispanic or Latino,1.0,1.0,Black or African American,Black or African American,1.0,1.0,Male,Male,1.0,1.0,37.0,35.0,0.0,0.0,1111.0,1.0
2024,14460,29,189,98700.0,Conventional:First lien,Single family (1-4 units):Site-built,Not Hispanic or Latino,White,Female,1,1,395000.0,78.0,6.65,,0.0,9000.0,3600.0,2700.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,506410.0,Site-built,Owner-occupied as principal dwelling,Not applicable,Not applicable,1.0,,130000.0,34.0,1.0,1.0,Not Hispanic or Latino,Not Hispanic or Latino,1.0,1.0,White,White,1.0,1.0,Female,Female,1.0,1.0,48.0,46.0,0.0,0.0,1111.0,1.0
2024,33100,41,51,7800.0,Conventional:First lien,Single family (1-4 units):Site-built,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,1,365000.0,90.0,6.8,,0.0,8800.0,3500.0,2700.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,405556.0,Site-built,Owner-occupied as principal dwelling,Not applicable,Not applicable,1.0,,115000.0,39.0,1.0,1.0,Hispanic or Latino,Hispanic or Latino,1.0,1.0,Native Hawaiian or Other Pacific Islander,Native Hawaiian or Other Pacific Islander,1.0,1.0,Male,Female,1.0,1.0,40.0,38.0,0.0,0.0,1111.0,1.0
