activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,25795,GA,43591.0,61445142051.7,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Female,Denied,2,243245.88,,7.097,-0.984,2,,,3680.0399015496496,298.64621017673466,,180,,2,2,2,2,2,523051.5238003398,2,3,1,5,4,,150.6,,10,6,4.9,1.6,2,4,4.9,2.3,1,1,5,5,3,4,9999,65-74,No,No,1,1
2024,10860,GA,92848.0,35198118429.1,USDA:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Race Not Available,Male,Loan originated,32,354760.6,86.28582316099745,5.928,1.417,3,7732.042627342631,,3680.0399015496496,,,360,,,2,2,2,2,,1,1,1,5,3,,124.5,,9,9,3.7,2.5,7,5,2.0,7.1,1,4,5,5,1,2,25-34,35-44,No,No,1,1
2024,86820,NY,77641.0,79254363986.5,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,File closed for incompleteness,1,172771.07,,4.833,-0.154,2,,,3680.0399015496496,298.64621017673466,,360,,,2,2,2,2,523051.5238003398,2,3,1,5,1,,206.4,,3,2,2.1,2.5,9,4,7.4,8.9,4,3,3,6,1,6,25-34,25-34,No,,1,1
2024,64886,GA,46395.0,26833937370.0,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Asian,Sex Not Available,Application withdrawn,1,377188.01,86.28582316099745,6.403,-1.023,3,7732.042627342631,,,298.64621017673466,,180,,,2,2,2,2,,2,3,1,5,3,,88.7,,5,1,3.3,1.6,2,6,3.0,8.6,5,1,6,2,2,6,45-54,25-34,No,Yes,1,1
2024,16265,IL,32700.0,39131131276.1,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Denied,2,657695.12,86.28582316099745,6.812,-0.959,2,7732.042627342631,,3680.0399015496496,298.64621017673466,,180,,2,2,2,2,2,523051.5238003398,1,2,1,5,1,,143.2,,8,10,1.4,4.2,7,3,8.2,2.6,9,2,3,5,4,4,25-34,65-74,No,Yes,1,1
2024,92386,CA,44620.0,48289279475.1,VA:First Lien,Multifamily:Site-Built,Hispanic or Latino,Asian,Female,Loan originated,1,424930.45,,4.509,-1.205,3,7732.042627342631,,3680.0399015496496,298.64621017673466,956.5701817380927,240,,,2,2,2,2,,2,3,3,5,4,,102.3,,6,3,4.9,3.8,4,8,8.3,8.0,7,5,3,5,1,6,25-34,45-54,Yes,No,1,1
2024,47194,NC,30559.0,55684934081.1,VA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Asian,Male,Loan originated,2,92960.06,,7.077,0.911,2,,,3680.0399015496496,298.64621017673466,,360,,2,2,2,2,2,,1,2,1,5,3,,223.9,,4,4,1.7,1.8,2,6,8.5,6.6,7,8,1,2,5,6,65-74,45-54,Yes,,1,1
2024,97498,TX,71642.0,31816875917.1,FHA:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Asian,Sex Not Available,File closed for incompleteness,2,383439.71,,5.058,-1.134,2,7732.042627342631,,3680.0399015496496,,,240,,2,2,2,2,2,523051.5238003398,2,3,1,5,3,,286.1,,8,5,3.6,2.5,7,5,5.2,4.6,8,1,2,6,5,5,9999,45-54,Yes,Yes,1,1
2024,54131,TX,86539.0,20335314226.4,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Hispanic or Latino,Race Not Available,Joint,Denied,1,99566.01,,6.156,-1.125,3,7732.042627342631,,3680.0399015496496,,,240,,,2,2,2,2,,1,1,1,5,1,,298.9,,3,3,2.0,1.4,5,2,6.4,5.3,5,4,5,5,1,1,45-54,9999,No,Yes,1,1
2024,70263,NC,31732.0,64955803819.1,USDA:First Lien,Multifamily:Site-Built,Not Hispanic or Latino,White,Joint,Application withdrawn,32,775695.26,86.28582316099745,5.747,1.051,2,,,3680.0399015496496,,,240,,,2,2,2,2,,1,1,1,5,3,,162.6,,3,10,3.9,3.5,1,7,7.2,7.8,5,4,5,4,2,2,9999,45-54,Yes,No,1,1
