activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,38060,PA,42101.0,42101842037.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Joint,Application withdrawn by applicant,32,331523.7,95.9,,,1,,1218.2,,,,300,,,1,2,1,2,,2,3,5,3,2,,251705.7,49.2,3,9,4,7,9,1,9,1,2,3,1,2,2,1,<25,25-34,Yes,,1,2
2024,33100,PA,42101.0,42101609524.0,Conventional:First Lien,Multifamily:5+ Units,Ethnicity Not Available,Asian,Female,Application approved but not accepted,1,780192.4,82.1,3.101,,3,14351.2,5869.8,5673.2,2386.2,2826.9,360,0,0.4,1,1,1,1,1096512.1,2,3,1,2,60,12,290273.5,,2,3,13,1,3,1,7,1,2,3,1,1,1,2,55-64,45-54,Yes,Yes,1,2
2024,19100,MA,25017.0,25017229748.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Sex Not Available,Application approved but not accepted,31,449735.8,69.7,9.306,,2,,2922.9,8362.3,2073.1,,180,,1.1,2,1,1,2,538123.0,1,1,2,5,1,,191829.7,39.4,3,2,21,1,9,2,3,3,1,9,4,1,9,4,65-74,45-54,No,No,1,2
2024,33100,OH,39049.0,39049519683.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Manufactured,Hispanic or Latino,Asian,Sex Not Available,Loan originated,1,595162.4,,7.147,4.924,3,16057.3,,,,,360,,,1,2,1,1,885216.9,2,1,1,2,12,0,203687.1,37.0,9,9,22,9,3,4,2,7,2,3,3,1,3,9,25-34,45-54,Yes,No,2,2
2024,16980,CA,6001.0,6001437677.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Application denied,32,900454.0,77.0,,,3,,,894.7,,,180,24,,1,1,1,2,,1,1,2,5,2,,,,3,1,44,4,3,9,1,1,9,2,3,1,9,3,35-44,25-34,Yes,No,1,2
2024,33100,GA,13121.0,13121192866.0,FHA:First Lien,Single Family (1-4 Units):Manufactured,Joint,Asian,Male,Application approved but not accepted,31,689561.4,56.7,8.687,-0.47,1,9045.3,,5114.3,4517.6,,240,,,1,1,1,1,961153.9,1,3,3,1,60,12,95733.8,54.0,1,1,11,7,9,2,3,5,2,1,4,1,9,4,45-54,45-54,Yes,No,1,2
2024,47900,FL,12011.0,12011185903.0,HELOC:Open-End Line of Credit,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Race Not Available,Sex Not Available,Application withdrawn by applicant,32,664827.7,76.4,5.193,4.56,3,,3555.6,7497.8,,,180,,,2,1,2,1,786108.2,1,1,3,3,24,4,,39.7,3,1,41,4,4,3,1,4,9,2,4,3,9,2,45-54,65-74,Yes,Yes,2,1
2024,42660,VA,51087.0,51087709884.0,VA:First Lien,Multifamily:5+ Units,Not Hispanic or Latino,Asian,Sex Not Available,Application withdrawn by applicant,1,333977.9,59.5,4.363,0.968,3,,,,1641.8,,240,,,1,2,2,1,391371.2,2,3,1,1,5,1,272079.0,28.7,2,3,12,7,4,1,7,7,4,4,3,2,2,9,<25,9999,No,Yes,2,2
2024,26420,WA,53061.0,53061828523.0,FHA:First Lien,Multifamily:5+ Units,Not Hispanic or Latino,White,Male,Application denied,31,431426.7,92.3,6.494,-0.285,2,8032.2,,,,3035.1,360,,0.8,1,1,1,1,,1,2,2,3,60,0,141100.0,53.8,2,9,14,9,9,2,3,4,1,3,2,2,3,4,65-74,55-64,No,Yes,2,2
2024,38060,IL,17031.0,17031137074.0,HELOC:Open-End Line of Credit,Multifamily:5+ Units,Ethnicity Not Available,Black or African American,Joint,Application denied,31,343945.8,86.6,6.411,,1,,,,,,300,,,2,1,1,2,497731.8,2,2,2,5,1,,175208.3,19.3,3,1,23,7,4,2,8,4,9,2,1,2,9,9,55-64,65-74,Yes,No,2,1
