activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,19740,04,04013,04013126325,Conventional,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,1,161140,60,5.906,1.016,1,10760.54,6444.18,4446.89,3775.68,4042.88,300,0,0,No,No,No,No,269000,Site-Built,Principal residence,NA,NA,1,NA,95,50-<60%,3,1,Hispanic or Latino,Not Hispanic or Latino,Collected on the basis of visual observation or surname,Not collected,Black or African American,Asian,Collected on the basis of visual observation or surname,Not applicable,Female,Female,Not collected,Not applicable,53,56,No,No,Email,No
2024,26420,48,48201,48201678956,FHA,Single Family (1-4 Units):Site-Built,Joint,White,Female,1,1,330229,90,7.816,2.099,1,6086.56,5721.16,2697.13,3331.63,1885.56,300,0,0,No,No,No,No,367000,Site-Built,Principal residence,NA,NA,1,NA,85,37-<40%,3,9,Not Hispanic or Latino,Ethnicity Not Available,Collected on the basis of visual observation or surname,Not collected,White,Black or African American,Not collected,Collected on the basis of visual observation or surname,Female,Female,Collected on the basis of visual observation or surname,Not collected,37,NA,No,NA,Internet,No
2024,41860,06,06075,06075774179,Conventional,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,389373,95,8.242,-0.085,1,3000.01,424.05,1370.18,5647.01,7128.71,360,0,120,No,No,No,No,410000,Site-Built,Principal residence,NA,NA,1,NA,65,40-<45%,1,9,Hispanic or Latino,Ethnicity Not Available,Collected on the basis of visual observation or surname,Not applicable,White,Asian,Not collected,Collected on the basis of visual observation or surname,Female,Female,Not collected,Collected on the basis of visual observation or surname,24,NA,No,NA,Email,Yes
2024,12060,24,24031,24031211679,Conventional,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,575037,65,7.047,0.966,1,16830.13,7908.5,5124.66,2767.63,521.33,180,0,0,No,No,No,No,885000,Site-Built,Investment property,NA,NA,1,NA,85,20-<30%,4,9,Not Hispanic or Latino,Not Hispanic or Latino,Collected on the basis of visual observation or surname,Not applicable,White,Native Hawaiian or Other Pacific Islander,Collected on the basis of visual observation or surname,Not collected,Female,Sex Not Available,Not applicable,Not applicable,36,NA,No,NA,Internet,No
2024,41860,13,13121,13121642817,Conventional,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,878858,85,5.937,2.216,1,2669.15,2142.04,4278.68,1928.13,1190.81,360,24,0,No,No,No,No,1034000,Site-Built,Principal residence,NA,NA,1,NA,140,36%,4,4,Not Hispanic or Latino,Ethnicity Not Available,Not collected,Not applicable,White,2 or more minority races,Not applicable,Not collected,Male,Male,Collected on the basis of visual observation or surname,Not applicable,45,73,No,Yes,Internet,Yes
2024,38060,13,13121,13121247091,Conventional,Single Family (1-4 Units):Site-Built,Joint,White,Female,3,1,910427,75,7.758,2.407,1,NA,NA,NA,NA,NA,240,0,0,No,No,No,No,1214000,Site-Built,Principal residence,NA,NA,1,NA,140,<20%,4,3,Hispanic or Latino,Hispanic or Latino,Collected on the basis of visual observation or surname,Not applicable,White,2 or more minority races,Not applicable,Not applicable,Female,Sex Not Available,Collected on the basis of visual observation or surname,Not collected,36,40,No,No,Email,Yes
2024,35620,11,11001,11001160042,Conventional,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,1,729453,65,7.276,0.206,1,17036.34,5127.08,3810.38,357.67,737.85,300,36,84,No,No,No,No,1122000,Site-Built,Principal residence,NA,NA,1,NA,125,50-<60%,1,1,Hispanic or Latino,Ethnicity Not Available,Not applicable,Not collected,White,White,Not applicable,Not collected,Female,Male,Collected on the basis of visual observation or surname,Not collected,39,NA,No,NA,Internet,No
2024,12060,24,24031,24031108303,FHA,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,1,585187,85,6.067,1.314,1,4859.36,5708.14,2172.72,4396.79,8148.03,180,0,0,No,No,No,No,688000,Site-Built,Second residence,NA,NA,1,NA,125,45%,3,2,Hispanic or Latino,Ethnicity Not Available,Collected on the basis of visual observation or surname,Not applicable,Native Hawaiian or Other Pacific Islander,2 or more minority races,Collected on the basis of visual observation or surname,Not applicable,Male,Male,Not collected,Not collected,68,31,Yes,No,In-person,Yes
2024,35620,06,06085,06085233736,Conventional,Multifamily:5-24,Hispanic or Latino,Asian,Female,1,1,218178,90,7.59,2.152,1,17568.31,6745.3,5613.97,2130.64,1462.52,240,0,84,No,No,No,No,242000,Site-Built,Principal residence,NA,NA,1,NA,95,30-<36%,1,4,Hispanic or Latino,Not Hispanic or Latino,Collected on the basis of visual observation or surname,Not collected,Asian,Black or African American,Collected on the basis of visual observation or surname,Collected on the basis of visual observation or surname,Female,Female,Not collected,Not collected,25,64,No,Yes,Internet,No
2024,26420,48,48201,48201910991,Conventional,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,1,31,336702,60,6.992,2.451,1,3288.64,3911.07,4588.43,2823.1,5455.88,180,0,0,No,No,No,No,561000,Site-Built,Principal residence,NA,NA,1,NA,180,50-<60%,9,9,Hispanic or Latino,Ethnicity Not Available,Not applicable,Not applicable,Asian,2 or more minority races,Not collected,Collected on the basis of visual observation or surname,Male,Female,Not collected,Not applicable,45,NA,No,NA,Internet,Yes
