data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
2011,City,DE,Delaware,2011-05-21,1,0,1,0,0,White,Not Hispanic or Latino,1,Intimidation,1.0,Park/Playground,Anti-Black or African American,Individual,S,S
2009,Sheriff,LA,Louisiana,2009-01-04,1,0,1,1,0,White,Not Hispanic or Latino,1,Simple Assault,0.0,Restaurant,Anti-Native American or Alaska Native,Business,S,S
2008,Sheriff,ME,Maine,2008-11-12,0,0,1,0,1,Asian,Not Specified,1,Simple Assault,1.0,Commercial/Office Building,Anti-Hispanic or Latino,Individual,S,S
1999,University/College,VT,Vermont,1999-11-28,2,0,1,0,1,Black or African American,Not Hispanic or Latino,2,Simple Assault,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
1997,Sheriff,OR,Oregon,1997-06-11,0,0,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,1.0,Parking Lot/Garage,Anti-Islamic (Muslim),Individual,M,S
2011,State Police,HI,Hawaii,2011-08-05,0,0,1,0,1,Black or African American,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1.0,Restaurant,Anti-Asian,Individual,S,S
1991,Sheriff,WA,Washington,1991-05-15,0,0,1,0,1,White,Not Hispanic or Latino,3,Aggravated Assault,3.0,Park/Playground,Anti-Other Religion,Individual,S,S
2002,City,MD,Maryland,2002-05-04,0,1,1,1,0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Restaurant,Anti-Islamic (Muslim),Individual,S,S
2014,City,VT,Vermont,2014-06-09,1,0,2,0,0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
2001,County,CA,California,2001-05-23,1,0,1,0,1,Black or African American,Hispanic or Latino,1,Aggravated Assault,1.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Individual,S,M
2011,City,TN,Tennessee,2011-07-26,0,0,1,0,1,White,Not Specified,1,Aggravated Assault,1.0,Park/Playground,Anti-Black or African American,Individual,S,M
1993,Sheriff,WI,Wisconsin,1993-03-27,1,0,1,0,1,American Indian or Alaska Native,Not Specified,2,Simple Assault,2.0,Park/Playground,Anti-Hispanic or Latino,Individual,S,S
1992,State Police,PA,Pennsylvania,1992-02-01,1,0,1,0,1,White,Hispanic or Latino,1,Simple Assault,0.0,School/College,Anti-Jewish,Society/Public,S,S
1993,County,NE,Nebraska,1993-10-17,0,0,1,1,0,White,Not Hispanic or Latino,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
2008,County,IN,Indiana,2008-03-08,2,0,1,0,1,Black or African American,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1.0,Restaurant,Anti-Other Religion,Individual,S,S
1994,County,WV,West Virginia,1994-05-20,0,0,1,1,0,American Indian or Alaska Native,Hispanic or Latino,1,Intimidation,1.0,Restaurant,Anti-Black or African American,Individual,S,S
1996,City,WV,West Virginia,1996-12-27,0,0,1,1,0,Black or African American,Hispanic or Latino,1,Aggravated Assault,0.0,Restaurant,Anti-Jewish,Society/Public,S,M
2012,County,KS,Kansas,2012-06-30,0,0,1,1,0,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Society/Public,S,S
1999,State Police,HI,Hawaii,1999-02-25,2,0,1,1,0,Asian,Not Hispanic or Latino,2,Intimidation,2.0,Church/Synagogue/Temple/Mosque,Anti-White,Religious Organization,S,S
2012,City,OH,Ohio,2012-01-15,0,1,2,1,1,Black or African American,Not Hispanic or Latino,1,Intimidation,0.0,Park/Playground,Anti-Black or African American,Religious Organization,S,M
2007,County,OH,Ohio,2007-12-10,1,0,1,0,1,American Indian or Alaska Native,Not Hispanic or Latino,2,Intimidation,2.0,Bar/Nightclub,Anti-Jewish,Individual,S,S
2003,State Police,UT,Utah,2003-03-31,0,0,1,1,0,Black or African American,Not Hispanic or Latino,1,Simple Assault,1.0,School/College,Anti-Islamic (Muslim),Business,S,S
2007,County,TX,Texas,2007-06-21,2,1,1,0,0,Unknown,Not Hispanic or Latino,3,Intimidation,3.0,Commercial/Office Building,Anti-Jewish,Individual,S,S
2006,City,MT,Montana,2006-12-02,0,0,1,1,0,Black or African American,Not Specified,2,Aggravated Assault,2.0,Parking Lot/Garage,Anti-Asian,Individual,S,S
2005,Sheriff,SC,South Carolina,2005-09-16,0,0,2,2,0,Black or African American,Not Hispanic or Latino,1,Intimidation,1.0,Commercial/Office Building,Anti-Hispanic or Latino,Individual,M,S
1999,City,MI,Michigan,1999-10-04,0,0,1,0,1,White,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque,Anti-Transgender,Individual,S,S
2009,City,MO,Missouri,2009-06-30,2,0,1,0,1,Asian,Not Hispanic or Latino,2,Simple Assault,2.0,Commercial/Office Building,Anti-Black or African American,Individual,S,S
1996,University/College,NJ,New Jersey,1996-11-14,0,0,2,2,0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Commercial/Office Building,Anti-White,Business,S,S
1993,City,NM,New Mexico,1993-10-04,0,0,1,0,0,White,Not Specified,3,Intimidation,3.0,School/College,Anti-Black or African American,Individual,S,S
2013,State Police,KY,Kentucky,2013-03-27,0,0,1,1,0,American Indian or Alaska Native,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Business,M,S
2013,City,WY,Wyoming,2013-12-17,0,0,1,0,1,Black or African American,Not Specified,1,Aggravated Assault,1.0,Bar/Nightclub,Anti-Hispanic or Latino,Government,S,S
2010,State Police,OH,Ohio,2010-08-27,1,0,1,0,1,White,Not Hispanic or Latino,1,Intimidation,1.0,Church/Synagogue/Temple/Mosque,Anti-White,Individual,S,S
2002,City,KY,Kentucky,2002-11-02,0,0,1,1,0,Black or African American,Not Hispanic or Latino,1,Intimidation,1.0,Commercial/Office Building,Anti-Jewish,Individual,S,S
1998,County,MD,Maryland,1998-07-08,1,0,1,0,1,White,Hispanic or Latino,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Society/Public,S,S
2014,Other,PA,Pennsylvania,2014-09-26,2,0,1,0,1,White,Hispanic or Latino,2,Aggravated Assault,2.0,Restaurant,Anti-Hispanic or Latino,Individual,S,S
1991,City,OR,Oregon,1991-09-03,1,0,1,0,1,White,Not Hispanic or Latino,1,Aggravated Assault,0.0,Parking Lot/Garage,Anti-Native American or Alaska Native,Society/Public,M,S
2004,County,RI,Rhode Island,2004-11-12,1,0,2,2,0,Black or African American,Not Hispanic or Latino,1,Intimidation,1.0,School/College,Anti-Hispanic or Latino,Individual,M,S
2008,City,CA,California,2008-07-28,0,0,1,0,1,Black or African American,Not Specified,1,Intimidation,1.0,School/College,Anti-Jewish,Individual,S,S
1995,City,CA,California,1995-06-07,0,0,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,0.0,Residence/Home,Anti-Lesbian (Female),Business,S,M
