EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Acorn Property Services Ltd,64209,14.8,11.9,71.9,35.4,58.2,70.1,31.9,81.9,41.9,56.9,48.9,22.8,66.7,34.5,1000-4999,2024-09-15 10:12:01
Eclipse Group Holdings Ltd,70229,24.1,19.3,48.5,25.6,52.9,65.1,25.1,73.9,39.9,51.9,41.1,28.9,62.2,30.5,500-999,2024-05-22 14:05:01
Campbell Tickell,66190,12.5,9.6,82.1,40.9,59.4,68.1,27.4,75.6,37.3,54.3,46.5,24.5,64.9,36.1,1000-4999,2024-07-01 12:23:05
Interserve Plc,64209,20.9,16.1,63.4,30.2,55.8,64.6,32.1,76.8,43.2,59.2,51.9,29.4,68.5,32.9,5000+,2024-02-28 11:11:01
Kier Group Plc,70229,28.5,23.7,52.9,26.4,51.5,65.3,24.8,74.2,40.2,52.8,42.9,27.2,63.3,31.2,5000+,2024-08-19 15:36:05
Stantec UK Ltd,66190,15.3,12.4,76.2,38.1,60.3,69.4,28.9,79.1,41.9,55.9,49.1,26.5,66.3,34.2,1000-4999,2024-03-25 14:49:01
WR Berkley Syndicates Ltd,64209,18.2,14.3,68.9,32.5,56.1,63.9,30.4,78.2,39.4,58.4,50.9,28.1,65.3,33.9,500-999,2024-04-18 10:45:01
AECOM Ltd,70229,22.9,18.1,58.5,27.9,53.2,64.5,29.1,76.9,41.5,57.5,48.8,29.7,67.3,31.4,5000+,2024-06-17 13:30:05
National Grid plc,66190,16.5,13.6,70.9,36.9,62.2,69.1,30.9,80.2,43.9,60.1,53.9,29.5,70.2,35.4,5000+,2024-01-10 11:58:01
Pattonair Ltd,64209,19.8,15.9,65.2,31.5,56.9,62.5,32.6,79.3,43.1,59.1,52.3,30.2,68.1,33.1,500-999,2024-06-26 14:11:05
Quintain Estates and Development plc,70229,25.6,20.8,51.9,26.1,51.3,63.9,27.4,75.6,40.5,56.3,45.5,29.9,64.7,31.8,5000+,2024-05-13 10:59:01
Savills Plc,66190,11.9,9.0,85.2,42.9,60.8,69.8,26.8,78.3,38.1,56.1,48.3,25.9,67.5,36.8,5000+,2024-08-29 12:03:05
Ramboll UK Ltd,64209,17.3,13.4,72.9,34.6,58.5,65.6,30.3,80.9,40.3,59.4,52.5,30.2,70.3,33.4,1000-4999,2024-03-16 14:45:01
Expowersoft Ltd,70229,21.9,17.1,59.2,28.9,52.2,62.5,29.9,78.1,41.3,57.3,49.2,30.6,67.9,32.5,500-999,2024-02-12 11:15:05
Balfour Beatty Plc,66190,14.1,10.2,79.9,39.5,61.3,68.1,29.9,82.1,42.9,60.3,53.9,31.5,72.3,35.6,5000+,2024-07-29 13:35:05
Mace Group Ltd,64209,18.9,15.1,67.3,32.2,57.5,61.9,32.4,80.9,42.6,59.3,52.9,31.6,71.7,33.9,5000+,2024-01-26 11:20:01
Chevron UK Ltd,70229,23.5,19.7,49.8,26.5,51.4,61.9,26.6,75.3,39.3,55.3,44.9,28.3,63.9,32.1,5000+,2024-06-05 10:22:01
University of Edinburgh,66190,13.4,10.5,80.5,41.2,61.6,69.3,28.3,82.9,42.2,61.3,54.8,30.2,74.3,35.8,5000+,2024-09-02 14:15:05
Cardiff and Vale University Health Board,64209,16.1,12.2,71.9,34.8,59.3,65.4,30.5,80.9,41.9,59.1,53.5,31.3,72.2,34.2,1000-4999,2024-04-25 10:51:01
NHS Trust,70229,20.3,16.5,62.2,29.4,53.5,62.5,29.9,78.3,40.4,59.5,50.9,29.8,69.5,31.6,5000+,2024-08-01 11:28:05
