EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
"MISHCON DE REYA GROUP (OPERATIONS) LIMITED",64209,27.9,21.1,70.2,25.5,53.4,65.5,23.9,75.3,14.2,83.2,25.8,71.9,53.1,43.9,1000-4999,2024-09-12 14:30:19
"THE CO-OPERATIVE BANK PLC",64205,31.7,24.9,75.1,32.1,56.7,63.2,26.4,76.9,15.6,84.5,28.1,72.4,56.3,45.1,500-999,2024-06-25 11:05:02
"EAST MIDLANDS TRAINING POOOL",89902,26.3,20.5,69.4,24.8,52.7,66.3,22.9,74.9,13.9,82.9,24.5,70.9,52.1,42.7,1000-4999,2024-03-17 10:40:15
"BBA Aviation PLC",64204,30.2,23.3,72.9,29.5,54.9,64.8,24.9,75.7,14.8,83.5,26.4,72.2,54.2,44.2,500-999,2024-08-22 15:20:42
"THE PRUDENTIAL PLC",64204,29.5,22.7,71.1,28.3,53.4,65.2,23.7,75.1,14.3,83.1,25.5,71.8,53.0,43.5,5000+,2024-11-15 14:00:05
"THE WILKINSON EYRE ARCHITECTS LLP",64209,28.1,21.9,69.8,26.2,52.5,65.9,22.9,74.6,13.5,82.9,24.7,70.6,51.9,42.3,50-99,2024-10-24 11:10:35
"CARLTON HERRING SHANNON LLP",64209,29.8,23.5,72.3,29.9,54.7,64.5,25.3,75.8,15.2,83.4,26.2,72.1,54.1,44.0,50-99,2024-07-05 10:55:01
"KENNEDYS BAKER MCKENNA (A SOLICITORS) LLP",64209,27.2,20.9,69.1,25.3,52.1,65.6,22.7,74.4,13.8,82.7,24.1,70.5,51.6,42.1,500-999,2024-02-28 14:45:59
"DAWSON TURNER WATERHOUSE GROUP LIMITED",64204,30.9,24.7,74.4,31.4,56.5,63.6,27.4,76.9,16.2,84.9,29.1,72.8,56.1,45.3,5000+,2024-05-15 14:20:32
"THE CO-OPERATIVE BANK PLC",64205,32.1,25.3,76.2,33.5,57.2,62.9,27.9,77.4,16.1,85.2,30.3,73.1,57.0,46.1,500-999,2024-01-18 11:35:04
"EAST MIDLANDS TRAINING POOOL",89902,25.6,19.9,68.2,24.2,51.9,66.2,21.9,74.2,13.3,82.4,23.5,69.9,51.2,41.5,1000-4999,2024-12-12 10:50:18
"THE WILKINSON EYRE ARCHITECTS LLP",64209,27.9,21.3,70.1,26.5,53.2,65.5,23.1,74.9,13.9,82.9,24.7,70.7,52.9,42.8,50-99,2024-09-01 11:00:21
"THE PRUDENTIAL PLC",64204,29.2,22.5,70.9,28.5,53.7,65.3,24.2,75.3,14.4,83.2,25.7,71.5,53.3,43.7,5000+,2024-08-01 10:30:41
"BBA Aviation PLC",64204,31.4,24.5,74.9,30.8,56.8,63.9,26.9,77.1,16.5,84.7,29.4,72.9,56.5,45.4,500-999,2024-04-25 14:50:42
"THE CO-OPERATIVE BANK PLC",64205,30.5,23.8,74.6,30.4,55.8,63.4,26.2,76.8,15.8,84.6,28.3,72.3,55.3,44.4,500-999,2024-10-05 11:25:05
"EAST MIDLANDS TRAINING POOOL",89902,26.8,20.7,69.5,25.8,52.5,66.1,23.3,74.6,14.1,82.8,24.9,70.7,52.0,42.4,1000-4999,2024-07-19 10:10:13
"CARLTON HERRING SHANNON LLP",64209,28.5,22.1,70.5,27.3,53.3,65.5,24.0,74.9,14.6,82.9,25.4,71.0,53.0,43.3,50-99,2024-02-06 10:20:53
"KENNEDYS BAKER MCKENNA (A SOLICITORS) LLP",64209,28.9,22.9,72.1,28.7,54.7,64.3,25.5,75.5,15.4,83.2,27.1,72.0,54.2,44.2,500-999,2024-11-22 14:15:39
"DAWSON TURNER WATERHOUSE GROUP LIMITED",64204,31.6,25.1,75.5,32.6,57.2,63.7,28.1,77.4,17.1,85.3,30.9,73.4,57.0,46.3,5000+,2024-03-20 14:30:48
"THE CO-OPERATIVE BANK PLC",64205,31.9,25.5,76.8,33.8,58.0,62.8,29.0,78.1,16.8,85.6,31.9,73.6,57.8,46.6,500-999,2024-06-14 10:50:22
"EAST MIDLANDS TRAINING POOOL",89902,25.3,19.5,68.1,24.1,51.5,66.0,21.6,74.0,13.0,82.2,23.0,69.5,50.9,40.8,1000-4999,2024-04-11 14:00:59
"THE WILKINSON EYRE ARCHITECTS LLP",64209,28.4,21.6,70.4,26.8,53.0,65.4,23.5,74.7,14.0,82.9,24.9,70.5,52.4,42.5,50-99,2024-12-06 11:20:36
"THE PRUDENTIAL PLC",64204,28.9,22.4,70.9,28.2,53.5,65.1,24.4,75.2,14.6,83.1,25.9,71.4,53.1,43.6,5000+,2024-01-24 14:10:44
"BBA Aviation PLC",64204,30.7,24.2,74.1,29.9,55.8,63.9,26.5,76.7,15.9,84.5,28.3,72.4,55.4,44.4,500-999,2024-09-28 10:45:19
"KENNEDYS BAKER MCKENNA (A SOLICITORS) LLP",64209,27.7,20.8,69.5,25.5,52.4,65.5,22.9,74.4,13.9,82.6,24.3,70.3,51.9,42.1,500-999,2024-08-29 15:00:23
"DAWSON TURNER WATERHOUSE GROUP LIMITED",64204,31.1,24.9,75.3,31.4,56.4,63.9,27.7,77.3,16.2,84.8,29.6,73.2,56.1,45.5,5000+,2024-05-23 14:45:01
"THE CO-OPERATIVE BANK PLC",64205,32.4,25.9,77.1,34.1,58.4,62.7,29.5,78.5,17.1,86.0,32.4,74.1,58.1,47.0,500-999,2024-03-01 10:15:03
"EAST MIDLANDS TRAINING POOOL",89902,26.5,20.3,68.7,25.3,52.1,66.1,22.8,74.3,13.6,82.5,24.2,70.1,51.5,41.7,1000-4999,2024-11-14 14:30:51
"CARLTON HERRING SHANNON LLP",64209,28.2,22.0,70.9,27.4,53.5,65.3,24.2,74.9,14.7,82.9,25.7,71.2,53.1,43.5,50-99,2024-09-19 15:15:38
"THE WILKINSON EYRE ARCHITECTS LLP",64209,27.7,21.2,70.1,26.3,52.7,65.4,23.1,74.4,13.9,82.6,24.6,70.2,52.2,42.2,50-99,2024-04-25 11:00:00
"THE PRUDENTIAL PLC",64204,29.7,22.9,71.7,29.3,54.5,65.2,25.3,75.3,15.1,83.4,26.7,71.9,53.8,43.9,5000+,2024-07-03 14:45:59
"BBA Aviation PLC",64204,31.0,24.4,74.7,30.6,56.1,63.8,27.1,76.9,16.3,84.6,29.5,72.8,55.9,45.1,500-999,2024-10-26 11:05:05
"KENNEDYS BAKER MCKENNA (A SOLICITORS) LLP",64209,28.3,22.2,71.1,27.7,53.6,65.1,24.4,74.7,14.8,82.8,25.5,70.9,52.9,42.9,500-999,2024-05-16 11:10:11
"DAWSON TURNER WATERHOUSE GROUP LIMITED",64204,32.5,25.8,76.4,33.2,57.6,63.6,29.3,78.2,17.4,85.9,32.2,74.4,57.3,47.1,5000+,2024-08-08 15:20:49
"THE CO-OPERATIVE BANK PLC",64205,30.8,23.9,75.1,30.3,56.3,63.2,26.9,77.1,16.2,84.8,29.4,72.6,55.9,45.2,500-999,2024-09-06 15:15:14
"EAST MIDLANDS TRAINING POOOL",89902,26.1,19.8,68.4,24.9,52.0,66.2,22.3,74.4,13.5,82.6,23.9,69.8,50.6,40.9,1000-4999,2024-01-04 10:50:23
