EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Bristol City Council, 84142,7.2,5.5,12.1,10.3,30.5,20.9,50.2,45.7,67.8,65.3,78.5,80.2,85.6,87.1,Small,2024-04-20
Independent Living Solutions, 93110,2.1,1.3,8.5,6.2,25.6,18.3,48.9,43.2,65.1,61.5,75.2,73.8,82.5,80.9,Medium,2024-03-15
South West Water, 35110,4.8,3.2,15.6,12.9,35.1,24.5,52.3,48.1,70.2,66.9,81.1,78.5,88.3,85.8,Large,2024-02-25
Wessex Water, 35110,3.5,2.1,14.1,11.4,32.3,22.9,51.1,47.5,69.3,65.6,79.2,76.9,86.5,83.6,Medium,2024-01-18
Western Power Distribution, 35110,2.9,1.7,13.4,10.7,30.6,21.4,50.5,46.2,68.5,64.9,78.3,75.6,85.2,82.3,Large,2024-12-22
Aldi, 47110,1.8,1.1,7.8,6.1,22.9,16.3,47.4,42.9,63.2,59.5,74.1,70.8,81.3,78.1,Medium,2024-11-15
Co-op Group, 47110,3.2,2.1,10.3,8.5,25.1,18.8,49.5,44.9,65.8,62.3,76.2,73.5,84.1,80.8,Large,2024-10-28
Sainsbury's, 47110,2.5,1.5,9.2,7.3,23.4,17.2,48.1,43.5,63.9,60.3,74.9,71.7,82.5,79.3,Large,2024-09-22
Waitrose, 47110,3.8,2.5,11.1,9.2,26.3,19.5,50.3,45.8,66.4,63.1,77.1,74.4,85.9,82.7,Medium,2024-08-25
University of Bristol, 85210,5.6,4.2,16.5,14.3,38.3,27.9,54.2,50.7,72.9,69.6,84.5,81.3,92.1,88.9,Large,2024-07-18
Bristol City Council, 84142,7.5,5.7,12.5,10.7,31.5,22.1,51.3,46.9,68.2,65.5,79.5,76.3,88.1,85.5,Small,2024-06-20
Independent Living Solutions, 93110,2.3,1.5,8.8,6.8,26.3,19.1,49.3,44.7,65.9,62.5,76.2,73.1,85.5,82.1,Medium,2024-05-15
South West Water, 35110,4.2,2.9,15.1,12.5,34.5,24.9,52.9,49.5,70.9,67.3,82.3,79.6,89.1,86.4,Large,2024-04-25
Wessex Water, 35110,3.8,2.6,14.5,11.9,33.2,23.7,51.6,48.4,69.9,66.2,80.2,77.3,88.8,85.9,Medium,2024-03-18
Western Power Distribution, 35110,2.7,1.8,13.7,11.1,31.9,22.5,50.7,46.9,68.3,65.2,79.1,76.3,86.9,83.6,Large,2024-02-22
