EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
KPMG UK,N1412,1.23,3.45,-0.56,5.67,12.89,8.21,12000,9500,13500,10500,16000,12500,18000,15500,Large,2024-05-15
Coventry University,M6499,4.32,6.78,1.23,-0.98,15.67,10.21,14000,11000,16500,13500,18000,16000,20000,18500,Very Large,2024-03-20
University of Sussex,M6499,2.11,3.45,-0.21,2.56,11.89,8.67,13000,10500,14500,12000,17000,15500,21000,20000,Large,2024-02-15
Thames Water Utilities Ltd,N3510,0.56,1.23,0.89,-1.01,14.56,9.23,14500,11500,16500,14500,19500,17500,22000,21500,Very Large,2024-06-10
London Borough of Hackney,S8510,3.45,5.67,1.01,-0.45,13.89,9.56,12500,10000,14000,12500,17500,15500,20000,19000,Medium,2024-04-25
City of London Corporation,S8510,4.56,6.78,0.45,1.23,14.21,9.89,15000,12500,16500,14500,19000,16500,21500,21000,Medium,2024-05-01
Harrods Ltd,N5610,1.23,2.11,-0.89,0.56,12.56,8.45,13500,10500,15500,13500,17000,15500,20500,19500,Very Large,2024-03-15
Arup Group Ltd,M6499,2.89,4.56,0.56,1.23,13.89,9.45,14000,11500,16000,14500,18500,16500,22000,21500,Large,2024-02-10
British Transport Police Authority,N1412,3.78,5.67,-0.21,2.11,15.45,10.89,15500,13000,17000,15500,19500,17500,22000,21500,Medium,2024-06-20
Barts Health NHS Trust,N3510,2.56,3.45,1.01,-0.45,14.89,9.56,14000,11500,16000,14500,18000,16500,21000,20500,Large,2024-05-10
Haringey Council,S8510,4.11,6.78,0.45,1.23,13.45,9.67,13000,10500,14500,13000,17500,15500,20500,20000,Medium,2024-03-25
University of the Arts London,M6499,1.01,2.11,-0.56,0.89,12.21,8.23,12500,10000,14500,12500,16500,15500,19500,19000,Large,2024-04-15
Transport for London,N3510,3.45,5.67,1.01,-0.45,14.56,9.89,16000,13500,18000,16500,20500,19000,22500,22000,Very Large,2024-02-20
London Borough of Lewisham,S8510,2.89,4.56,0.56,1.23,13.89,9.56,14000,11500,15500,14500,18500,16500,21500,21000,Medium,2024-05-20
British Gas Ltd,N5610,1.01,2.11,-0.89,0.56,12.45,8.45,13500,10500,15500,13500,17000,15500,20500,19500,Very Large,2024-06-15
University of Westminster,M6499,2.56,3.45,0.56,1.01,13.21,9.45,13000,10500,14500,13000,17000,15500,19500,19000,Large,2024-04-10
Anglian Water Services Ltd,N3510,0.56,1.01,0.89,-0.45,14.45,9.89,15500,13500,17500,16500,20500,19500,23000,22500,Very Large,2024-03-10
RSPCA,S8510,4.56,6.78,1.23,-0.56,14.21,9.23,14500,12000,16500,15000,19500,17500,22000,21500,Medium,2024-05-25
London Borough of Camden,S8510,3.45,5.67,0.56,1.01,13.89,9.67,13500,11000,15500,14500,18500,16500,21500,21000,Medium,2024-02-15
Accenture UK Ltd,M6499,2.11,3.45,0.89,-0.21,13.56,9.45,14000,11500,16000,14500,19000,16500,22000,21500,Large,2024-06-10
ONS,N1412,3.78,5.67,1.01,-0.45,15.12,10.45,15500,13500,17500,16500,20500,19500,23000,22500,Medium,2024-04-20
Arup Group Ltd,M6499,2.56,3.45,-0.56,0.89,13.21,9.35,13000,10500,14500,13000,17500,15500,20500,20000,Large,2024-03-15
Merton Council,S8510,4.11,6.78,0.56,1.01,14.45,9.67,14500,12000,16500,15000,19500,17500,22000,21500,Medium,2024-05-01
London Borough of Haringey,S8510,3.45,5.67,-0.21,2.11,13.89,9.67,13500,11000,15500,14500,18500,16500,21500,21000,Medium,2024-02-10
Birmingham City Council,S8510,4.56,6.78,0.89,-0.45,14.21,9.45,14000,11500,15500,14500,18500,16500,21500,21000,Medium,2024-03-25
Feeding Britain,S8510,2.89,4.56,1.01,-0.45,13.56,9.45,13000,10500,14500,13500,17500,15500,20500,20000,Medium,2024-06-20
South Western Ambulance Service NHS FT,N3510,2.56,3.45,0.56,1.01,14.45,9.89,15500,13500,17500,16500,20500,19500,23000,22500,Large,2024-04-15
Islington Council,S8510,4.32,6.78,-0.21,2.11,14.45,9.56,14500,12000,16500,15500,19500,17500,22000,21500,Medium,2024-05-10
British Geological Survey,N1412,3.45,5.67,1.01,-0.45,15.67,10.67,16000,14000,18000,16500,21000,19500,24000,23500,Medium,2024-06-01
City of Bristol College,M6499,2.11,3.45,0.89,-0.21,13.56,9.45,13000,10500,14500,13000,17500,15500,20500,20000,Large,2024-03-20
University of Bedfordshire,M6499,3.45,5.67,1.01,-0.45,14.21,9.56,14000,11500,15500,14500,18500,16500,21500,21000,Large,2024-02-10
National Trust,S8510,4.56,6.78,0.56,1.01,14.21,9.56,14500,12000,16500,15500,19500,17500,22000,21500,Medium,2024-04-25
Croydon Council,S8510,3.78,5.67,-0.56,0.89,13.56,9.45,13500,11000,15500,14500,18500,16500,21500,21000,Medium,2024-05-15
Angus Council,S8510,4.11,6.78,1.01,-0.45,14.45,9.45,14500,12000,16500,15500,19500,17500,22000,21500,Medium,2024-03-10
London Borough of Hounslow,S8510,2.89,4.56,0.56,1.01,13.89,9.56,14000,11500,15500,14500,18500,16500,21500,21000,Medium,2024-02-15
Lloyds Banking Group,N5610,3.45,5.67,1.01,-0.45,14.56,9.89,15500,13500,17500,16500,20500,19500,23000,22500,Very Large,2024-04-20
London Borough of Wandsworth,S8510,4.56,6.78,0.56,1.01,14.21,9.56,14500,12000,16500,15500,19500,17500,22000,21500,Medium,2024-06-10
Greater Manchester Fire and Rescue Service,N3510,2.56,3.45,0.56,1.01,14.45,9.89,15500,13500,17500,16500,20500,19500,23000,22500,Large,2024-05-01
University of Salford,M6499,3.45,5.67,1.01,-0.45,14.21,9.56,14000,11500,15500,14500,18500,16500,21500,21000,Large,2024-03-25
Thurrock Council,S8510,4.11,6.78,0.56,1.01,14.45,9.56,14500,12000,16500,15500,19500,17500,22000,21500,Medium,2024-02-10
Police and Crime Commissioner for Lancashire,N1412,4.56,6.78,-0.56,0.89,15.67,10.67,16000,14000,18000,16500,21000,19500,24000,23500,Medium,2024-06-20
Greater London Authority,N3510,2.89,4.56,0.89,-0.21,14.45,9.45,15500,13500,17500,16500,20500,19500,23000,22500,Very Large,2024-03-15
South Wales Police,N1412,3.45,5.67,1.01,-0.45,15.67,10.67,16000,14000,18000,16500,21000,19500,24000,23500,Medium,2024-04-01
University of Hertfordshire,M6499,2.11,3.45,0.89,-0.21,13.56,9.45,13000,10500,14500,13000,17500,15500,20500,20000,Large,2024-05-20
Northern Ireland Fire and Rescue Service,N3510,4.56,6.78,0.56,1.01,14.21,9.56,14500,12000,16500,15500,19500,17500,22000,21500,Medium,2024-06-15
Greater Manchester Police,N1412,3.78,5.67,-0.21,2.11,15.67,10.67,16000,14000,18000,16500,21000,19500,24000,23500,Medium,2024-04-25
Birmingham City Council,S8510,4.11,6.78,1.01,-0.45,14.45,9.45,14000,11500,15500,14500,18500,16500,21500,21000,Medium,2024-03-01
