2004,City,NY,New York,2004-05-13,,,0,Unknown,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Street,Anti-Hispanic or Latino,Other,S,S
2005,Town,NJ,New Jersey,2005-07-25,0,0,1,1,0,Asian,Asian or Pacific Islander,2,Simple Assault,2.0,Supermarket,Racial Bias,Other,M,M
2003,City,FL,Florida,2003-03-01,1,0,2,1,0,White,White,3,Intimidation,3.0,Parking Lot,Anti-Jewish,Other,M,M
2008,County,CA,California,2008-11-17,0,0,1,0,1,Unknown,Unknown,1,Hate Crime Against a Business,1.0,Office Building,Anti-Gay,Lesbian, Gay, Bisexual, or Transgender,B,M
2009,Municipality,IL,Illinois,2009-02-21,0,0,1,1,0,Hispanic or Latino,Hispanic or Latino,1,Simple Assault,1.0,Restaurant,Anti-White,Other,M,S
2006,Town,MA,Massachusetts,2006-09-15,0,0,1,0,1,Unknown,Unknown,1,Hate Crime Against a Business,1.0,Convenience Store,Anti-Asian,Other,M,M
2002,City,MI,Michigan,2002-08-12,0,0,1,1,0,White,White,1,Damage/Vandalism,1.0,Apartment Building,Anti-Indian or Alaska Native,Other,M,M
2005,Municipality,OH,Ohio,2005-04-17,1,0,1,1,0,White,White,2,Intimidation,2.0,University Campus,Anti-Arab or Middle Eastern,Other,M,M
2007,City,GA,Georgia,2007-01-03,0,0,1,0,1,Unknown,Unknown,1,Aggravated Assault,1.0,Residence,Anti-White,Other,M,M
2009,County,NC,North Carolina,2009-09-14,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Simple Assault,1.0,Bar or Nightclub,Anti-Black or African American,Other,M,S
2006,City,PA,Pennsylvania,2006-03-09,0,1,1,1,0,White,Unknown,2,Simple Assault,2.0,Street,Anti-Other Bias,Other,M,M
2003,City,IN,Indiana,2003-11-24,0,0,1,1,0,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Place of Worship,Anti-Jewish,Other,M,M
2008,Town,MO,Missouri,2008-06-19,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Simple Assault,1.0,Restaurant,Anti-White,Other,M,S
2004,County,MD,Maryland,2004-02-10,0,0,1,0,0,Unknown,Unknown,1,Hate Crime Against a Business,1.0,Convenience Store,Anti-Asian,Other,M,M
2007,Municipality,AL,Alabama,2007-11-14,0,0,1,0,1,Unknown,Unknown,1,Aggravated Assault,1.0,Residence,Anti-White,Other,M,M
2003,City,CT,Connecticut,2003-04-24,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1.0,High School,Anti-Black or African American,Other,M,M
2009,City,SC,South Carolina,2009-03-31,0,0,1,0,1,Unknown,Unknown,1,Simple Assault,1.0,Restaurant,Anti-Black or African American,Other,M,S
2008,County,CT,Connecticut,2008-09-07,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Hate Crime Against a Business,1.0,Hotel or Motel,Anti-White,Other,M,M
2004,Town,OR,Oregon,2004-01-28,0,0,1,0,0,Unknown,Unknown,1,Intimidation,1.0,Street,Anti-Other Bias,Other,M,M
2006,City,CO,Colorado,2006-07-13,0,0,1,0,0,White,White,1,Hate Crime Against a Business,1.0,Office Building,Anti-Gay,Lesbian, Gay, Bisexual, or Transgender,B,M
2005,County,IA,Iowa,2005-09-15,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Simple Assault,1.0,Restaurant,Anti-White,Other,M,S
2009,Municipality,DE,Delaware,2009-05-02,1,0,1,1,0,White,White,2,Simple Assault,2.0,University Campus,Anti-Asian,Other,M,M
2008,City,AR,Arkansas,2008-08-19,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Simple Assault,1.0,Bar or Nightclub,Anti-Black or African American,Other,M,S
