"Data Year","Agency Type Name","State Abbr","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location Name","Bias Desc","Victim Types","Multiple Offense","Multiple Bias"
1991,"Local","CA","California","1991-01-01","1","0","1","1","0","White","Non-Hispanic","1","Anti-Religious","1","Residence","Anti-Religious","Adult","No","No"
1991,"State","TX","Texas","1991-06-15","0","1","1","0","1","Asian","Hispanic","1","Anti-Disability","1","School","Anti-Disability","Juvenile","No","No"
1992,"Federal","FL","Florida","1992-03-20","1","0","2","1","1","Black","Non-Hispanic","2","Anti-Gender Identity","2","Park","Anti-Gender Identity","Adult","No","No"
1992,"Local","NY","New York","1992-08-25","0","1","1","0","1","Hispanic","Non-Hispanic","1","Anti-Religious","1","Place of Worship","Anti-Religious","Juvenile","No","No"
1993,"State","IL","Illinois","1993-01-10","0","0","1","0","1","White","Non-Hispanic","1","Anti-Racial/Ethnic","1","Business","Anti-Racial/Ethnic","Adult","No","No"
1993,"Federal","GA","Georgia","1993-04-01","1","0","2","1","1","Asian","Non-Hispanic","2","Anti-Government","2","Road/Highway","Anti-Government","Adult","No","No"
1993,"Local","OH","Ohio","1993-07-25","0","1","1","0","1","Black","Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Juvenile","No","No"
1993,"State","MI","Michigan","1993-10-15","1","0","2","1","1","White","Hispanic","2","Anti-Racial/Ethnic","2","Business","Anti-Racial/Ethnic","Adult","No","No"
1994,"Federal","WA","Washington","1994-01-20","0","1","1","0","1","Black","Non-Hispanic","1","Anti-Gender Identity","1","School","Anti-Gender Identity","Juvenile","No","No"
1994,"Local","NC","North Carolina","1994-03-01","1","0","1","1","0","Asian","Non-Hispanic","1","Anti-Religious","1","Residence","Anti-Religious","Adult","No","No"
1994,"State","AZ","Arizona","1994-05-25","0","0","1","0","1","Hispanic","Non-Hispanic","1","Anti-Disability","1","Business","Anti-Disability","Adult","No","No"
1994,"Federal","VT","Vermont","1994-08-10","1","0","1","1","0","White","Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
1994,"Local","NJ","New Jersey","1994-11-01","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Government","1","Residence","Anti-Government","Juvenile","No","No"
1995,"State","TN","Tennessee","1995-01-15","1","0","2","1","1","Black","Hispanic","2","Anti-Religious","2","Business","Anti-Religious","Adult","No","No"
1995,"Federal","KS","Kansas","1995-03-20","0","1","1","0","1","White","Non-Hispanic","1","Anti-Disability","1","School","Anti-Disability","Juvenile","No","No"
1995,"Local","SC","South Carolina","1995-06-01","0","0","1","0","1","Hispanic","Non-Hispanic","1","Anti-Racial/Ethnic","1","Residence","Anti-Racial/Ethnic","Adult","No","No"
1995,"State","OK","Oklahoma","1995-08-25","1","0","1","1","0","Asian","Non-Hispanic","1","Anti-Government","1","Park","Anti-Government","Adult","No","No"
1995,"Federal","NE","Nebraska","1995-10-10","0","1","1","0","1","Black","Hispanic","1","Anti-Disability","1","Business","Anti-Disability","Juvenile","No","No"
1996,"Local","MA","Massachusetts","1996-01-01","1","0","2","1","1","White","Non-Hispanic","2","Anti-Racial/Ethnic","2","Residence","Anti-Racial/Ethnic","Adult","No","No"
1996,"State","MO","Missouri","1996-03-15","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Government","1","School","Anti-Government","Juvenile","No","No"
1996,"Federal","IN","Indiana","1996-06-20","1","0","1","1","0","Hispanic","Non-Hispanic","1","Anti-Disability","1","Park","Anti-Disability","Adult","No","No"
1996,"Local","KY","Kentucky","1996-09-01","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Racial/Ethnic","1","Business","Anti-Racial/Ethnic","Adult","No","No"
1996,"State","IA","Iowa","1996-11-15","1","0","2","1","1","White","Hispanic","2","Anti-Gender Identity","2","Residence","Anti-Gender Identity","Adult","No","No"
1997,"Federal","WV","West Virginia","1997-01-10","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Disability","1","School","Anti-Disability","Juvenile","No","No"
1997,"Local","LA","Louisiana","1997-03-25","1","0","1","1","0","Hispanic","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
1997,"State","UT","Utah","1997-06-01","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Religious","1","Residence","Anti-Religious","Adult","No","No"
1997,"Federal","NV","Nevada","1997-08-15","1","0","2","1","1","White","Hispanic","2","Anti-Racial/Ethnic","2","Business","Anti-Racial/Ethnic","Adult","No","No"
1997,"Local","WI","Wisconsin","1997-10-25","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Government","1","School","Anti-Government","Juvenile","No","No"
1998,"State","AR","Arkansas","1998-01-01","1","0","1","1","0","Hispanic","Non-Hispanic","1","Anti-Disability","1","Park","Anti-Disability","Adult","No","No"
1998,"Federal","DE","Delaware","1998-03-20","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Racial/Ethnic","1","Residence","Anti-Racial/Ethnic","Adult","No","No"
1998,"Local","OR","Oregon","1998-06-10","1","0","2","1","1","White","Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
1998,"State","MS","Mississippi","1998-08-25","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
1998,"Federal","MT","Montana","1998-10-01","1","0","1","1","0","Hispanic","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
