"Data Year","Agency Type Name","State Abbreviation","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location Name","Bias Description","Victim Types","Multiple Offense","Multiple Bias"
"1991","Police Department","NY","New York","1991-01-01",2,0,1,1,0,"White","Non-Hispanic","2","Simple Assault","2","Public Place","Anti-White","Adult","Yes","None"
"1991","Sheriff's Office","FL","Florida","1991-02-15",1,0,1,1,0,"Black","Non-Hispanic","1","Intimidation","1","Residence","Anti-Black","Adult","No","None"
"1991","Police Department","CA","California","1991-03-20",1,0,1,1,0,"Asian","Non-Hispanic","1","Simple Assault","1","Public Place","Anti-Asian","Adult","Yes","None"
"1991","City or Town","TX","Texas","1991-04-05",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Vandalism","2","Public Place","Anti-Hispanic","Adult","Yes","None"
"1991","Sheriff's Office","IL","Illinois","1991-05-10",1,0,1,1,0,"White","Hispanic","1","Intimidation","1","Residence","Anti-White","Adult","No","None"
"1991","Police Department","MI","Michigan","1991-06-15",1,0,1,1,0,"Black","Non-Hispanic","1","Simple Assault","1","Public Place","Anti-Black","Adult","Yes","None"
"1991","City or Town","NJ","New Jersey","1991-07-01",2,0,2,2,0,"Asian","Hispanic","2","Vandalism","2","Public Place","Anti-Asian","Adult","Yes","None"
"1991","Sheriff's Office","GA","Georgia","1991-08-05",1,0,1,1,0,"White","Non-Hispanic","1","Intimidation","1","Residence","Anti-White","Adult","No","None"
"1991","Police Department","MA","Massachusetts","1991-09-15",1,0,1,1,0,"Black","Non-Hispanic","1","Simple Assault","1","Public Place","Anti-Black","Adult","Yes","None"
"1991","City or Town","AZ","Arizona","1991-10-01",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Vandalism","2","Public Place","Anti-Hispanic","Adult","Yes","None"
"1992","Sheriff's Office","IN","Indiana","1992-01-01",1,0,1,1,0,"White","Non-Hispanic","1","Intimidation","1","Residence","Anti-White","Adult","No","None"
"1992","Police Department","NC","North Carolina","1992-02-15",2,0,2,2,0,"Black","Non-Hispanic","2","Simple Assault","2","Public Place","Anti-Black","Adult","Yes","None"
