"Year","Agency Type","State","State Name","Incident Date","Adult Victims","Juvenile Victims","Total Offenders","Adult Offenders","Juvenile Offenders","Offender Race","Offender Ethnicity","Total Victims","Offense Type","Total Individual Victims","Location","Bias","Victim Type","Multiple Offense","Multiple Bias"
1991,"Local",AL,"Alabama","1991-01-01","1","0","1","1","0","White","Not Hispanic or Latino","1","Anti-Black or African American","1","Park or Playground","Race/Ethnicity","Adults","False","0"
1991,"Federal",AK,"Alaska","1991-02-01","0","1","1","0","1","Asian","Not Hispanic or Latino","1","Anti-White","1","Street","Disability","Juveniles","True","0"
1991,"State",AZ,"Arizona","1991-03-01","1","0","1","1","0","Hispanic or Latino","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Adults","False","0"
1991,"Local",AR,"Arkansas","1991-04-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Juveniles","True","0"
1991,"Federal",CA,"California","1991-05-01","1","0","1","1","0","Asian","Not Hispanic or Latino","1","Anti-Gay, Lesbian, or Bisexual","1","Residence","Sexual Orientation","Adults","False","0"
1991,"State",CO,"Colorado","1991-06-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Black or African American","1","Park or Playground","Race/Ethnicity","Juveniles","True","0"
1991,"Local",CT,"Connecticut","1991-07-01","1","0","1","1","0","Hispanic or Latino","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Adults","False","0"
1991,"Federal",DE,"Delaware","1991-08-01","0","1","1","0","1","Asian","Not Hispanic or Latino","1","Anti-White","1","Street","Disability","Juveniles","True","0"
1991,"State",FL,"Florida","1991-09-01","1","0","1","1","0","White","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Adults","False","0"
1991,"Local",GA,"Georgia","1991-10-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Gay, Lesbian, or Bisexual","1","Residence","Sexual Orientation","Juveniles","True","0"
1991,"Federal",HI,"Hawaii","1991-11-01","1","0","1","1","0","Asian","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Adults","False","0"
1991,"State",ID,"Idaho","1991-12-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Black or African American","1","Park or Playground","Race/Ethnicity","Juveniles","True","0"
1992,"Local",IL,"Illinois","1992-01-01","1","0","1","1","0","Hispanic or Latino","Not Hispanic or Latino","1","Anti-White","1","Street","Disability","Adults","False","0"
1992,"Federal",IN,"Indiana","1992-02-01","0","1","1","0","1","Asian","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Juveniles","True","0"
1992,"State",IA,"Iowa","1992-03-01","1","0","1","1","0","White","Not Hispanic or Latino","1","Anti-Gay, Lesbian, or Bisexual","1","Residence","Sexual Orientation","Adults","False","0"
1992,"Local",KS,"Kansas","1992-04-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Juveniles","True","0"
1992,"Federal",KY,"Kentucky","1992-05-01","1","0","1","1","0","Asian","Not Hispanic or Latino","1","Anti-Black or African American","1","Park or Playground","Race/Ethnicity","Adults","False","0"
1992,"State",LA,"Louisiana","1992-06-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Juveniles","True","0"
1992,"Local",ME,"Maine","1992-07-01","1","0","1","1","0","White","Not Hispanic or Latino","1","Anti-Gay, Lesbian, or Bisexual","1","Residence","Sexual Orientation","Adults","False","0"
1992,"Federal",MD,"Maryland","1992-08-01","0","1","1","0","1","Asian","Not Hispanic or Latino","1","Anti-White","1","Street","Disability","Juveniles","True","0"
1992,"State",MA,"Massachusetts","1992-09-01","1","0","1","1","0","Hispanic or Latino","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Adults","False","0"
1992,"Local",MI,"Michigan","1992-10-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Black or African American","1","Park or Playground","Race/Ethnicity","Juveniles","True","0"
1992,"Federal",MN,"Minnesota","1992-11-01","1","0","1","1","0","Asian","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Adults","False","0"
1992,"State",MS,"Mississippi","1992-12-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Gay, Lesbian, or Bisexual","1","Residence","Sexual Orientation","Juveniles","True","0"
1993,"Local",MO,"Missouri","1993-01-01","1","0","1","1","0","White","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Adults","False","0"
1993,"Federal",MT,"Montana","1993-02-01","0","1","1","0","1","Asian","Not Hispanic or Latino","1","Anti-White","1","Street","Disability","Juveniles","True","0"
1993,"State",NE,"Nebraska","1993-03-01","1","0","1","1","0","Hispanic or Latino","Not Hispanic or Latino","1","Anti-Black or African American","1","Park or Playground","Race/Ethnicity","Adults","False","0"
1993,"Local",NV,"Nevada","1993-04-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Juveniles","True","0"
1993,"Federal",NH,"New Hampshire","1993-05-01","1","0","1","1","0","Asian","Not Hispanic or Latino","1","Anti-Gay, Lesbian, or Bisexual","1","Residence","Sexual Orientation","Adults","False","0"
1993,"State",NJ,"New Jersey","1993-06-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Juveniles","True","0"
1993,"Local",NM,"New Mexico","1993-07-01","1","0","1","1","0","White","Not Hispanic or Latino","1","Anti-White","1","Street","Disability","Adults","False","0"
1993,"Federal",NY,"New York","1993-08-01","0","1","1","0","1","Asian","Not Hispanic or Latino","1","Anti-Black or African American","1","Park or Playground","Race/Ethnicity","Juveniles","True","0"
1993,"State",NC,"North Carolina","1993-09-01","1","0","1","1","0","Hispanic or Latino","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Adults","False","0"
1993,"Local",ND,"North Dakota","1993-10-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Gay, Lesbian, or Bisexual","1","Residence","Sexual Orientation","Juveniles","True","0"
1993,"Federal",OH,"Ohio","1993-11-01","1","0","1","1","0","Asian","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Adults","False","0"
1993,"State",OK,"Oklahoma","1993-12-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Black or African American","1","Park or Playground","Race/Ethnicity","Juveniles","True","0"
1994,"Local",OR,"Oregon","1994-01-01","1","0","1","1","0","Hispanic or Latino","Not Hispanic or Latino","1","Anti-White","1","Street","Disability","Adults","False","0"
1994,"Federal",PA,"Pennsylvania","1994-02-01","0","1","1","0","1","Asian","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Juveniles","True","0"
1994,"State",RI,"Rhode Island","1994-03-01","1","0","1","1","0","White","Not Hispanic or Latino","1","Anti-Gay, Lesbian, or Bisexual","1","Residence","Sexual Orientation","Adults","False","0"
1994,"Local",SC,"South Carolina","1994-04-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Juveniles","True","0"
1994,"Federal",SD,"South Dakota","1994-05-01","1","0","1","1","0","Asian","Not Hispanic or Latino","1","Anti-White","1","Street","Disability","Adults","False","0"
1994,"State",TN,"Tennessee","1994-06-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Black or African American","1","Park or Playground","Race/Ethnicity","Juveniles","True","0"
1994,"Local",TX,"Texas","1994-07-01","1","0","1","1","0","Hispanic or Latino","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Adults","False","0"
1994,"Federal",UT,"Utah","1994-08-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Gay, Lesbian, or Bisexual","1","Residence","Sexual Orientation","Juveniles","True","0"
1994,"State",VT,"Vermont","1994-09-01","1","0","1","1","0","Asian","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Adults","False","0"
1994,"Local",VA,"Virginia","1994-10-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-White","1","Street","Disability","Juveniles","True","0"
1994,"Federal",WA,"Washington","1994-11-01","1","0","1","1","0","Hispanic or Latino","Not Hispanic or Latino","1","Anti-Black or African American","1","Park or Playground","Race/Ethnicity","Adults","False","0"
1994,"State",WV,"West Virginia","1994-12-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Juveniles","True","0"
1995,"Local",WI,"Wisconsin","1995-01-01","1","0","1","1","0","Asian","Not Hispanic or Latino","1","Anti-Gay, Lesbian, or Bisexual","1","Residence","Sexual Orientation","Adults","False","0"
1995,"Federal",WY,"Wyoming","1995-02-01","0","1","1","0","1","White","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Juveniles","True","0"
2001,"Local",AL,"Alabama","2001-03-01","1","0","1","1","0","White","Not Hispanic or Latino","1","Anti-Hispanic or Latino","1","School","Sexual Orientation","Adults","False","0"
2001,"Federal",AK,"Alaska","2001-04-01","0","1","1","0","1","Asian","Not Hispanic or Latino","1","Anti-White","1","Street","Disability","Juveniles","True","0"
2001,"State",AZ,"Arizona","2001-05-01","1","0","1","1","0","Hispanic or Latino","Not Hispanic or Latino","1","Anti-Jewish","1","Commercial Building","Religion","Adults","False","0"
