"data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
,"2011","State": "State Police","CA","California","3/2/2011",1,0,1,1,0,"White","Hispanic or Latino",1,"Intimidation","1","Park or Playground","Racial Bias","Adult",TRUE,FALSE
,"2011","County": "County Police","FL","Florida","5/3/2011",0,1,2,2,0,"Black or African American","Asian","2","Simple Assault","2","Street","Ethnicity Bias","Juvenile",TRUE,FALSE
,"2011","City": "City Police Department","NY","New York","10/20/2011",1,0,1,1,0,"Hispanic or Latino","White","1","Vandalism","1","School","Racial Bias","Adult",TRUE,FALSE
,"2011","City": "City Police Department","TX","Texas","7/2/2011",0,1,1,1,0,"Asian","Hispanic or Latino","1","Aggravated Assault","1","Street","Ethnicity Bias","Juvenile",TRUE,FALSE
,"2011","State": "State Police","IL","Illinois","9/15/2011",1,0,1,1,0,"White","Asian","1","Simple Assault","1","Park or Playground","Racial Bias","Adult",TRUE,FALSE
,"2011","County": "County Police","GA","Georgia","3/22/2011",0,1,2,2,0,"Black or African American","Hispanic or Latino","2","Vandalism","2","Street","Ethnicity Bias","Juvenile",TRUE,FALSE
,"2011","City": "City Police Department","NC","North Carolina","8/14/2011",1,0,1,1,0,"Hispanic or Latino","White","1","Intimidation","1","School","Racial Bias","Adult",TRUE,FALSE
,"2011","City": "City Police Department","OH","Ohio","6/17/2011",0,1,1,1,0,"Asian","Black or African American","1","Simple Assault","1","Street","Ethnicity Bias","Juvenile",TRUE,FALSE
,"2011","State": "State Police","AZ","Arizona","4/28/2011",1,0,1,1,0,"White","Asian","1","Vandalism","1","Park or Playground","Racial Bias","Adult",TRUE,FALSE
,"2011","County": "County Police","CO","Colorado","11/15/2011",0,1,2,2,0,"Black or African American","Hispanic or Latino","2","Aggravated Assault","2","Street","Ethnicity Bias","Juvenile",TRUE,FALSE
