"Data Year","Agency Type Name","State Abbrev","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location Name","Bias Desc","Victim Types","Multiple Offense","Multiple Bias"
"1992","State Police","NY","New York","1992-01-01","2","0","1","1","0","White","Non Hispanic","3","Simple Assault","3","Road/Highway","Sexual Orientation","Adult","TRUE","TRUE"
"1992","County Sheriff","FL","Florida","1992-02-01","1","0","1","1","0","Black","Hispanic","2","Vandalism","2","Residential Area","Religion","Adult","FALSE","FALSE"
"1992","Local Police","CA","California","1992-03-01","0","1","1","1","0","Asian","Non Hispanic","2","Intimidation","2","University/BCollege","Race/Ethnicity","Juvenile","TRUE","FALSE"
"1993","State Police","IL","Illinois","1993-04-01","1","0","2","1","1","White","Non Hispanic","3","Aggravated Assault","3","Park","Sexual Orientation","Adult","FALSE","FALSE"
"1993","County Sheriff","TX","Texas","1993-05-01","0","0","1","1","0","Black","Hispanic","2","Hate Crime Against People With Disability","2","Residential Area","Disability","Adult","TRUE","TRUE"
"1994","Local Police","NY","New York","1994-06-01","1","0","1","1","0","White","Non Hispanic","2","Simple Assault","2","Road/Highway","Sexual Orientation","Adult","FALSE","FALSE"
"1994","State Police","FL","Florida","1994-07-01","0","1","1","1","0","Asian","Non Hispanic","2","Intimidation","2","University/BCollege","Race/Ethnicity","Juvenile","TRUE","TRUE"
"1995","County Sheriff","CA","California","1995-08-01","1","0","1","1","0","White","Non Hispanic","2","Aggravated Assault","2","Park","Sexual Orientation","Adult","FALSE","FALSE"
"1995","Local Police","IL","Illinois","1995-09-01","0","0","1","1","0","Black","Hispanic","2","Vandalism","2","Residential Area","Religion","Adult","TRUE","TRUE"
"1996","State Police","TX","Texas","1996-10-01","1","0","2","1","1","White","Non Hispanic","3","Hate Crime Against People With Disability","3","Park","Disability","Adult","FALSE","FALSE"
