"Year","Agency Type","State","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location","Bias Desc","Victim Types","Multiple Offense","Multiple Bias"
"1995","State Police","AL","Alabama","1995-01-01","1","0","1","1","0","W","H","1","Anti-Religious","1","Church","Religious Bias","Adult","Yes","No"
"1995","County Police","AK","Alaska","1995-02-01","0","1","1","0","1","A","W","1","Anti-Government","1","School","Racial Bias","Juvenile","Yes","No"
"1995","City Police","AZ","Arizona","1995-03-01","1","0","2","1","1","B","H","2","Anti-Race","2","Park","Racial Bias","Adult/Juvenile","Yes","Yes"
"1995","State Police","AR","Arkansas","1995-04-01","0","1","1","0","1","A","W","1","Anti-Religious","1","Church","Religious Bias","Juvenile","Yes","No"
"1995","Federal Bureau","CA","California","1995-05-01","2","0","3","2","1","W/H","B","3","Anti-Gender","3","School","Sexual Orientation Bias","Adult","Yes","No"
"1995","County Police","CO","Colorado","1995-06-01","1","0","1","1","0","A","W","1","Anti-Race","1","Park","Racial Bias","Adult","Yes","No"
"1995","City Police","CT","Connecticut","1995-07-01","0","1","1","0","1","B","H","1","Anti-Gender","1","School","Sexual Orientation Bias","Juvenile","Yes","No"
"1995","State Police","DE","Delaware","1995-08-01","1","0","2","1","1","W","H","2","Anti-Government","2","Church","Racial Bias","Adult/Juvenile","Yes","Yes"
"1995","Federal Bureau","FL","Florida","1995-09-01","3","0","4","3","1","W/H/B","H","4","Anti-Religious","4","School","Religious Bias","Adult","Yes","No"
"1995","County Police","GA","Georgia","1995-10-01","0","1","1","0","1","A","W","1","Anti-Race","1","School","Racial Bias","Juvenile","Yes","No"
"1995","City Police","HI","Hawaii","1995-11-01","1","0","2","1","1","B","H","2","Anti-Government","2","Park","Racial Bias","Adult/Juvenile","Yes","Yes"
"1995","State Police","ID","Idaho","1995-12-01","0","1","1","0","1","A","W","1","Anti-Religious","1","Church","Religious Bias","Juvenile","Yes","No"
"1998","Federal Bureau","IL","Illinois","1998-01-01","2","0","3","2","1","W/H","B","3","Anti-Gender","3","School","Sexual Orientation Bias","Adult","Yes","No"
"1998","County Police","IN","Indiana","1998-02-01","1","0","1","1","0","A","W","1","Anti-Race","1","Park","Racial Bias","Adult","Yes","No"
"1998","City Police","IA","Iowa","1998-03-01","0","1","1","0","1","B","H","1","Anti-Government","1","School","Racial Bias","Juvenile","Yes","No"
"1998","State Police","KS","Kansas","1998-04-01","1","0","2","1","1","W","H","2","Anti-Religious","2","Church","Religious Bias","Adult/Juvenile","Yes","Yes"
"1998","Federal Bureau","KY","Kentucky","1998-05-01","3","0","4","3","1","W/H/B","H","4","Anti-Government","4","School","Racial Bias","Adult","Yes","No"
"1998","County Police","LA","Louisiana","1998-06-01","0","1","1","0","1","A","W","1","Anti-Race","1","Park","Racial Bias","Juvenile","Yes","No"
"1998","City Police","ME","Maine","1998-07-01","1","0","1","1","0","B","H","1","Anti-Gender","1","Church","Sexual Orientation Bias","Adult","Yes","No"
"1998","State Police","MD","Maryland","1998-08-01","2","0","3","2","1","W/H","B","3","Anti-Religious","3","School","Religious Bias","Adult","Yes","No"
"1998","Federal Bureau","MA","Massachusetts","1998-09-01","1","0","2","1","1","A","W","2","Anti-Government","2","Park","Racial Bias","Adult/Juvenile","Yes","Yes"
"1998","County Police","MI","Michigan","1998-10-01","0","1","1","0","1","B","H","1","Anti-Race","1","School","Racial Bias","Juvenile","Yes","No"
"1998","City Police","MN","Minnesota","1998-11-01","1","0","1","1","0","W","H","1","Anti-Gender","1","Church","Sexual Orientation Bias","Adult","Yes","No"
"1998","State Police","MS","Mississippi","1998-12-01","0","1","1","0","1","A","W","1","Anti-Religious","1","Park","Racial Bias","Juvenile","Yes","No"
"2001","Federal Bureau","MO","Missouri","2001-01-01","2","0","3","2","1","W/H","B","3","Anti-Gender","3","School","Sexual Orientation Bias","Adult","Yes","No"
"2001","County Police","MT","Montana","2001-02-01","1","0","1","1","0","A","W","1","Anti-Race","1","Church","Racial Bias","Adult","Yes","No"
"2001","City Police","NE","Nebraska","2001-03-01","0","1","1","0","1","B","H","1","Anti-Government","1","Park","Racial Bias","Juvenile","Yes","No"
"2001","State Police","NV","Nevada","2001-04-01","1","0","2","1","1","W","H","2","Anti-Religious","2","School","Religious Bias","Adult/Juvenile","Yes","Yes"
"2001","Federal Bureau","NH","New Hampshire","2001-05-01","3","0","4","3","1","W/H/B","H","4","Anti-Government","4","Church","Racial Bias","Adult","Yes","No"
"2001","County Police","NJ","New Jersey","2001-06-01","0","1","1","0","1","A","W","1","Anti-Race","1","School","Racial Bias","Juvenile","Yes","No"
"2001","City Police","NM","New Mexico","2001-07-01","1","0","1","1","0","B","H","1","Anti-Gender","1","Park","Sexual Orientation Bias","Adult","Yes","No"
"2001","State Police","NY","New York","2001-08-01","2","0","3","2","1","W/H","B","3","Anti-Religious","3","Church","Religious Bias","Adult","Yes","No"
"2001","Federal Bureau","NC","North Carolina","2001-09-01","1","0","2","1","1","A","W","2","Anti-Government","2","School","Racial Bias","Adult/Juvenile","Yes","Yes"
"2001","County Police","ND","North Dakota","2001-10-01","0","1","1","0","1","B","H","1","Anti-Race","1","Park","Racial Bias","Juvenile","Yes","No"
"2001","City Police","OH","Ohio","2001-11-01","1","0","1","1","0","W","H","1","Anti-Gender","1","Church","Sexual Orientation Bias","Adult","Yes","No"
"2001","State Police","OK","Oklahoma","2001-12-01","0","1","1","0","1","A","W","1","Anti-Religious","1","School","Racial Bias","Juvenile","Yes","No"
"2004","Federal Bureau","OR","Oregon","2004-01-01","2","0","3","2","1","W/H","B","3","Anti-Gender","3","Park","Sexual Orientation Bias","Adult","Yes","No"
