"Domain,FBI Hate Crime Statistics","Time Period,1991-2014","REQUIRED COLUMNS","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"1995","Local",,1995,"Sheriff's Office",,,"1995-07-12",1,0,2,2,0,White,Non-Hispanic,2,"Simple Assault",1,"Residential Area","Anti-White","Adult","No","Anti-Government"
"1995","Local",,1995,"Sheriff's Office",,,"1995-08-25",0,0,1,0,1,Asian,Asian,1,"Intimidation",1,"Highway/Street","Anti-Asian","Juvenile","No","Anti-Racial"
"1993","Local",,1993,"City Police Department",,,"1993-01-15",1,0,1,1,0,White,Non-Hispanic,1,"Vandalism",1,"Commercial Area","Anti-White","Adult","Yes","Anti-Racial"
"1992","Local",,1992,"Sheriff's Office",,,"1992-09-11",0,1,1,0,1,Hispanic,Hispanic,1,"Simple Assault",1,"Residential Area","Anti-Hispanic","Juvenile","No","Anti-Racial"
"1994","Local",,1994,"City Police Department",,,"1994-03-25",1,0,2,2,0,Black,Non-Hispanic,2,"Simple Assault",2,"Highway/Street","Anti-Black","Adult","No","Anti-Religious"
"1993","Local",,1993,"Sheriff's Office",,,"1993-04-10",0,0,1,0,1,Native American,Native American,1,"Intimidation",1,"Residential Area","Anti-Native American","Juvenile","No","Anti-Racial"
"1991","Local",,1991,"City Police Department",,,"1991-06-28",1,0,1,1,0,White,Non-Hispanic,1,"Vandalism",1,"Commercial Area","Anti-White","Adult","Yes","Anti-Racial"
"1992","Federal",,1992,"Federal Bureau of Investigation",,,"1992-02-14",0,0,1,0,1,White,Non-Hispanic,1,"Simple Assault",1,"Highway/Street","Anti-White","Adult","No","Anti-Racial"
"1996","Local",,1996,"Sheriff's Office",,,"1996-09-02",0,0,1,0,1,Hispanic,Hispanic,1,"Intimidation",1,"Residential Area","Anti-Hispanic","Juvenile","No","Anti-Racial"
"1993","Federal",,1993,"Federal Bureau of Investigation",,,"1993-05-16",1,0,2,2,0,White,Non-Hispanic,2,"Simple Assault",2,"Highway/Street","Anti-White","Adult","No","Anti-Religious"
