activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,215543,NM,037,1460010100,FHA:First Lien,Single Family (1-4 Units):Manufactured Home,Hispanic or Latino,Asian,Female,File closed for incompleteness,32,55000.0,80.0,4.25,2.0,N,150000.0,5000.0,1500.0,4,1,30,3,120,0,0,240000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,28-34,3,Yes,1,2,,,,,,,,,,
2024,99999,CA,049,4890505100,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application denied,32,400000.0,70.0,3.75,1.0,N,225000.0,10000.0,2000.0,2,1,30,3,120,0,0,400000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,35-44,3,Yes,1,2,,,,,,,,,,,
2024,12054,TX,057,5703050100,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,File closed for incompleteness,32,70000.0,60.0,4.0,1.5,N,375000.0,25000.0,5000.0,3,1,20,2,120,0,0,375000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,45-54,3,Yes,1,2,,,,,,,,,,,
2024,215543,FL,051,5110010200,FHA:First Lien,Single Family (1-4 Units):Manufactured Home,Not Hispanic or Latino,Black or African American,Male,File closed for incompleteness,32,60000.0,90.0,3.5,2.0,Y,275000.0,10000.0,2000.0,2,1,20,3,180,0,0,300000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,55-64,2,Yes,1,2,,,,,,,,,,
2024,12054,IL,041,4112010300,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,File closed for incompleteness,32,80000.0,65.0,4.25,1.5,N,325000.0,15000.0,2500.0,1,1,30,3,120,0,0,325000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,28-34,3,Yes,1,2,,,,,,,,,,,
2024,99999,NY,036,3660330600,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,File closed for incompleteness,32,45000.0,75.0,3.75,1.0,N,200000.0,5000.0,1000.0,2,1,30,3,120,0,0,200000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,35-44,3,Yes,1,2,,,,,,,,,,,
2024,215543,OH,071,7160300200,FHA:First Lien,Single Family (1-4 Units):Manufactured Home,Not Hispanic or Latino,White,Female,File closed for incompleteness,32,70000.0,85.0,4.0,2.0,Y,325000.0,15000.0,2500.0,2,1,20,3,180,0,0,325000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,45-54,3,Yes,1,2,,,,,,,,,,
2024,99999,GA,059,5920170100,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,File closed for incompleteness,32,65000.0,70.0,4.25,1.5,N,375000.0,20000.0,4000.0,3,1,30,3,120,0,0,375000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,35-44,3,Yes,1,2,,,,,,,,,,,
2024,12054,AZ,003,3000150100,FHA:First Lien,Single Family (1-4 Units):Manufactured Home,Not Hispanic or Latino,Black or African American,Female,File closed for incompleteness,32,55000.0,80.0,3.5,2.0,Y,275000.0,10000.0,2000.0,2,1,20,3,180,0,0,275000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,55-64,2,Yes,1,2,,,,,,,,,,
2024,215543,SC,047,4710100200,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,32,60000.0,65.0,4.0,1.5,N,325000.0,25000.0,5000.0,2,1,30,3,120,0,0,325000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,45-54,3,Yes,1,2,,,,,,,,,,,
2024,99999,MI,093,9310010400,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,File closed for incompleteness,32,45000.0,75.0,4.25,2.0,N,275000.0,15000.0,3000.0,1,1,30,3,120,0,0,275000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,55-64,2,Yes,1,2,,,,,,,,,,,
2024,12054,NC,051,5110390200,FHA:First Lien,Single Family (1-4 Units):Manufactured Home,Not Hispanic or Latino,Asian,Male,File closed for incompleteness,32,65000.0,85.0,3.75,1.0,Y,325000.0,20000.0,4000.0,2,1,20,3,180,0,0,325000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,45-54,3,Yes,1,2,,,,,,,,,,
2024,215543,IN,027,2730140100,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,File closed for incompleteness,32,70000.0,70.0,4.25,1.5,N,375000.0,20000.0,4000.0,3,1,30,3,120,0,0,375000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,35-44,3,Yes,1,2,,,,,,,,,,,
2024,99999,TN,055,5500260500,VA:First Lien,Single Family (1-4 Units):Manufactured Home,Not Hispanic or Latino,White,Male,File closed for incompleteness,32,50000.0,80.0,4.0,2.0,Y,275000.0,10000.0,2000.0,2,1,20,3,180,0,0,275000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,55-64,2,Yes,1,2,,,,,,,,,,
2024,12054,AK,002,2000100200,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,File closed for incompleteness,32,80000.0,65.0,4.25,1.5,N,325000.0,30000.0,6000.0,3,1,30,3,120,0,0,325000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,45-54,3,Yes,1,2,,,,,,,,,,,
2024,215543,KY,041,4110030200,Conventional:Subordinate Lien,Single Family (1-4 Units):Manufactured Home,Hispanic or Latino,White,Male,File closed for incompleteness,32,45000.0,75.0,4.0,2.0,N,275000.0,15000.0,3000.0,1,1,30,3,120,0,0,275000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,55-64,2,Yes,1,2,,,,,,,,,,
2024,99999,VT,049,4910300200,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,File closed for incompleteness,32,55000.0,65.0,4.25,1.5,N,325000.0,25000.0,5000.0,2,1,30,3,120,0,0,325000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,45-54,3,Yes,1,2,,,,,,,,,,,
2024,12054,WV,053,5310010100,Conventional:First Lien,Single Family (1-4 Units):Manufactured Home,Not Hispanic or Latino,White,Male,File closed for incompleteness,32,70000.0,75.0,4.0,2.0,Y,325000.0,20000.0,4000.0,2,1,20,3,180,0,0,325000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,35-44,3,Yes,1,2,,,,,,,,,,
2024,215543,ID,016,1600010100,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Female,File closed for incompleteness,32,60000.0,65.0,4.25,1.5,N,325000.0,20000.0,4000.0,2,1,30,3,120,0,0,325000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,55-64,2,Yes,1,2,,,,,,,,,,,
2024,99999,NJ,034,3420650300,FHA:First Lien,Single Family (1-4 Units):Manufactured Home,Not Hispanic or Latino,Black or African American,Male,File closed for incompleteness,32,45000.0,75.0,4.0,2.0,Y,275000.0,10000.0,2000.0,2,1,20,3,180,0,0,275000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,45-54,3,Yes,1,2,,,,,,,,,,
2024,12054,OR,041,4110140100,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,File closed for incompleteness,32,50000.0,80.0,4.25,2.0,N,325000.0,20000.0,4000.0,3,1,30,3,120,0,0,325000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,35-44,3,Yes,1,2,,,,,,,,,,,
2024,215543,MO,051,5110390200,FHA:First Lien,Single Family (1-4 Units):Manufactured Home,Not Hispanic or Latino,White,Male,File closed for incompleteness,32,65000.0,85.0,4.0,1.5,Y,325000.0,15000.0,3000.0,2,1,20,3,180,0,0,325000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,45-54,3,Yes,1,2,,,,,,,,,,
2024,99999,LA,048,4810170100,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,File closed for incompleteness,32,70000.0,65.0,4.25,1.5,N,325000.0,25000.0,5000.0,3,1,30,3,120,0,0,325000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,35-44,3,Yes,1,2,,,,,,,,,,,
2024,12054,AR,005,5000250500,Conventional:Subordinate Lien,Single Family (1-4 Units):Manufactured Home,Hispanic or Latino,Asian,Male,File closed for incompleteness,32,50000.0,75.0,4.0,2.0,N,275000.0,15000.0,3000.0,1,1,30,3,120,0,0,275000.0,Manufactured Home,Manufactured Home - Secured Property,1,0,2,2,2,4,1,1,1,2,3,4,5,45-54,3,Yes,1,2,,,,,,,,,,
2024,215543,VT,049,4910300200,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,File closed for incompleteness,32,55000.0,65.0,4.25,1.5,N,325000.0,25000.0,5000.0,2,1,30,3,120,0,0,325000.0,Site-Built,1,0,2,2,2,4,1,1,1,2,3,4,5,55-64,2,Yes,1,2,,,,,,,,,,,
